year,Country_of_residence,value
1972,Canada,15614
1972,Germany,153
1972,United States,131986
1973,Canada,18247
1974,Canada,18894
1974,United States,144887
1975,United States,157287
1976,United States,161755
1977,United States,151115
1978,United States,170094
1980,Canada,38479
1980,Germany,2179
1980,Switzerland,539
1980,United Kingdom,286
1981,Canada,48331
1981,United Kingdom,644
1982,United States,155177
1983,Australia,892
1984,Switzerland,792
1984,United Kingdom,455
1985,France,109
1985,Switzerland,617
1986,France,361
1986,Germany,3132
1986,Italy,151
1987,Mexico,260
1987,Switzerland,1208
1988,France,386
1988,Japan,101
1988,Mexico,136
1988,Switzerland,1640
1989,Australia,1736
1989,New Zealand,505
1990,Austria,309
1990,Canada,66995
1990,United Kingdom,1113
1991,Japan,131
1991,Switzerland,2213
1991,United Kingdom,1413
1992,Canada,76945
1992,United Kingdom,1649
1993,Australia,1935
1993,Austria,840
1993,New Zealand,279
1993,Switzerland,3083
1993,United States,218622
1994,France,837
1994,Netherlands,538
1994,United States,222019
1995,Australia,2326
1995,Israel,117
1995,New Zealand,555
1995,Switzerland,2646
1995,United Kingdom,2251
1995,United States,231475
1996,Austria,1194
1996,Belgium,167
1996,Canada,71142
1996,France,856
1996,Israel,115
1996,Italy,419
1997,Australia,3001
1997,Canada,69733
1997,Czechia,145
1997,Germany,11470
1997,Japan,268
1997,United States,232561
1998,Australia,3121
1998,Austria,844
1998,Czechia,143
1998,Spain,133
1998,United States,264364
1999,Australia,2766
1999,United Kingdom,3995
1999,United States,282054
2000,Australia,3146
2000,Czechia,223
2000,Denmark,182
2000,France,743
2000,Germany,15202
2000,Netherlands,1520
2000,United States,270215
2002,United Kingdom,3732
2002,United States,276670
2003,Austria,645
2003,Czechia,224
2003,Israel,215
2003,Netherlands,1187
2003,Switzerland,3155
2003,United Kingdom,3975
2004,Belgium,101
2004,Czechia,123
2004,Mexico,335
2004,Netherlands,1195
2004,Switzerland,2893
2005,Australia,4178
2005,Austria,725
2005,Canada,66778
2005,Italy,631
2006,Australia,4655
2006,Belgium,123
2006,France,713
2007,Australia,4964
2007,Austria,580
2007,Netherlands,1222
2007,New Zealand,964
2007,Spain,258
2007,Switzerland,2582
2007,United Kingdom,5992
2007,United States,325292
2008,Austria,797
2008,Belgium,107
2008,Canada,64387
2008,France,931
2008,United States,294119
2009,Australia,3978
2009,Austria,528
2009,United Kingdom,4674
2009,United States,260513
2010,Australia,5441
2010,Czechia,253
2010,Germany,9782
2010,Italy,490
2011,China,888
2011,Indonesia,321
2011,Japan,233
2011,Mexico,442
2011,Switzerland,3404
2012,Canada,72048
2012,China,1404
2012,Czechia,327
2012,Italy,185
2012,Malaysia,125
2012,Mexico,726
2012,Netherlands,731
2012,New Zealand,1141
2012,Switzerland,2644
2013,Austria,746
2013,India,1290
2013,Israel,326
2013,Thailand,114
2014,Canada,78226
2014,Indonesia,207
2014,Malaysia,131
2015,Italy,485
2015,Japan,264
2015,Switzerland,2680
2015,Taiwan,482
2015,United States,292962
2016,Australia,7262
2016,Germany,9710
2016,Singapore,404
2016,United States,301676
2017,Australia,8423
2017,Belgium,123
2017,China,2850
2017,Czechia,350
2017,France,1034
2017,"Korea, South",799
2018,Australia,8707
2018,Austria,390
2018,Brazil,412
2018,France,1112
2018,Hong Kong,107
2018,Indonesia,495
2018,Japan,175
2018,Malaysia,420
2019,Czechia,729
2019,Denmark,132
2019,Hungary,184
1973,Germany,169
1973,United States,151869
1975,Germany,766
1979,Canada,38971
1979,United States,168346
1981,Australia,894
1981,Germany,3869
