year,geo,value
1973,Dawson,209
1973,Little Gold Creek,12638
1973,Fraser,41273
1973,Beaver Creek,86468
1973,Pleasant Camp,33749
1973,Old Crow,0
1973,Whitehorse,7809
1975,Beaver Creek,86595
1975,Fraser,45203
1975,Dawson,405
1975,Little Gold Creek,12260
1975,Old Crow,148
1975,Pleasant Camp,43874
1975,Whitehorse,10795
1982,Beaver Creek,90674
1982,Little Gold Creek,12990
1982,Dawson,611
1982,Fraser,62327
1982,Old Crow,166
1982,Pleasant Camp,37672
1982,Whitehorse,9534
1984,Dawson,906
1984,Fraser,66835
1984,Beaver Creek,118563
1984,Little Gold Creek,12922
1984,Old Crow,279
1984,Pleasant Camp,38475
1984,Whitehorse,8935
1989,Beaver Creek,119040
1989,Dawson,4362
1989,Little Gold Creek,18359
1989,Fraser,100690
1989,Old Crow,523
1989,Whitehorse,5476
1989,Pleasant Camp,40074
1991,Little Gold Creek,18610
1991,Beaver Creek,119240
1991,Old Crow,303
1991,Fraser,96777
1991,Dawson,5422
1991,Pleasant Camp,46252
1991,Whitehorse,5552
1998,Beaver Creek,127442
1998,Little Gold Creek,24185
1998,Dawson,8066
1998,Fraser,170621
1998,Old Crow,289
1998,Pleasant Camp,45989
1998,Whitehorse,13344
2000,Beaver Creek,123106
2000,Fraser,175758
2000,Dawson,10020
2000,Little Gold Creek,24240
2000,Old Crow,93
2000,Pleasant Camp,42471
2000,Whitehorse,11543
2007,Beaver Creek,100413
2007,Dawson,9767
2007,Little Gold Creek,16306
2007,Fraser,266414
2007,Old Crow,23
2007,Pleasant Camp,37538
2007,Whitehorse,6847
2009,Beaver Creek,79431
2009,Fraser,239149
2009,Dawson,4328
2009,Little Gold Creek,13168
2009,Old Crow,41
2009,Pleasant Camp,29505
2009,Whitehorse,6405
2014,Beaver Creek,71508
2014,Little Gold Creek,12839
2014,Dawson,7767
2014,Fraser,298382
2014,Whitehorse,5600
2014,Old Crow,18
2014,Pleasant Camp,31075
2016,Beaver Creek,78643
2016,Little Gold Creek,14930
2016,Dawson,7380
2016,Fraser,288204
2016,Old Crow,6
2016,Pleasant Camp,39598
2016,Whitehorse,5242
2018,Dawson,7994
2018,Fraser,356306
2018,Beaver Creek,90990
2018,Little Gold Creek,15249
2018,Pleasant Camp,38252
2018,Old Crow,10
2018,Whitehorse,5018
2023,Beaver Creek,74983
2023,Dawson,6674
2023,Little Gold Creek,10455
2023,Fraser,341479
2023,Old Crow,19
2023,Pleasant Camp,33786
2023,Whitehorse,3905
1974,Dawson,258
1974,Little Gold Creek,10335
1974,Beaver Creek,80014
1974,Fraser,41865
1974,Old Crow,103
1974,Pleasant Camp,40790
1974,Whitehorse,9727
1976,Beaver Creek,83038
1976,Fraser,48770
1976,Dawson,537
1976,Little Gold Creek,12224
1976,Pleasant Camp,36923
1976,Old Crow,122
1976,Whitehorse,12360
1981,Beaver Creek,86969
1981,Dawson,758
1981,Little Gold Creek,14113
1981,Fraser,66855
1981,Old Crow,253
1981,Pleasant Camp,37105
1981,Whitehorse,10499
1983,Little Gold Creek,13717
1983,Beaver Creek,104177
