year,geo,Traveller_characteristics,value
1972,Dawson,Residents of countries other than the United States of America entering Canada,0
1972,Dawson,Canadian-resident visitors returning to Canada,1
1972,Dawson,United States of America residents entering Canada,172
1972,Beaver Creek,Canadian-resident visitors returning to Canada,4969
1972,Fraser,Canadian-resident visitors returning to Canada,2687
1972,Fraser,United States of America residents entering Canada,25829
1972,Fraser,Residents of countries other than the United States of America entering Canada,299
1972,Beaver Creek,Residents of countries other than the United States of America entering Canada,206
1972,Pleasant Camp,United States of America residents entering Canada,22706
1972,Little Gold Creek,Canadian-resident visitors returning to Canada,1823
1972,Pleasant Camp,Residents of countries other than the United States of America entering Canada,44
1972,Beaver Creek,United States of America residents entering Canada,69057
1972,Whitehorse,Canadian-resident visitors returning to Canada,1143
1972,Little Gold Creek,Residents of countries other than the United States of America entering Canada,101
1972,Whitehorse,Residents of countries other than the United States of America entering Canada,47
1972,Little Gold Creek,United States of America residents entering Canada,8034
1972,Old Crow,Canadian-resident visitors returning to Canada,48
1972,Old Crow,United States of America residents entering Canada,115
1972,Old Crow,Residents of countries other than the United States of America entering Canada,0
1972,Pleasant Camp,Canadian-resident visitors returning to Canada,4943
1972,Whitehorse,United States of America residents entering Canada,6073
1985,Dawson,United States of America residents entering Canada,2907
1985,Dawson,Residents of countries other than the United States of America entering Canada,134
1985,Beaver Creek,United States of America residents entering Canada,113939
1985,Beaver Creek,Canadian-resident visitors returning to Canada,9641
1985,Fraser,Residents of countries other than the United States of America entering Canada,2160
1985,Beaver Creek,Residents of countries other than the United States of America entering Canada,2269
1985,Dawson,Canadian-resident visitors returning to Canada,747
1985,Little Gold Creek,United States of America residents entering Canada,9874
1985,Whitehorse,Residents of countries other than the United States of America entering Canada,84
1985,Old Crow,United States of America residents entering Canada,143
1985,Fraser,Canadian-resident visitors returning to Canada,23975
1985,Pleasant Camp,Residents of countries other than the United States of America entering Canada,564
1985,Fraser,United States of America residents entering Canada,54884
1985,Little Gold Creek,Canadian-resident visitors returning to Canada,3742
1985,Little Gold Creek,Residents of countries other than the United States of America entering Canada,443
1985,Old Crow,Canadian-resident visitors returning to Canada,112
1985,Old Crow,Residents of countries other than the United States of America entering Canada,0
1985,Pleasant Camp,Canadian-resident visitors returning to Canada,7060
1985,Pleasant Camp,United States of America residents entering Canada,24988
1985,Whitehorse,Canadian-resident visitors returning to Canada,1306
1985,Whitehorse,United States of America residents entering Canada,6004
1986,Beaver Creek,Residents of countries other than the United States of America entering Canada,2746
1986,Dawson,United States of America residents entering Canada,2668
1986,Beaver Creek,Canadian-resident visitors returning to Canada,8259
1974,Beaver Creek,Residents of countries other than the United States of America entering Canada,449
1974,Beaver Creek,United States of America residents entering Canada,64095
1974,Dawson,Canadian-resident visitors returning to Canada,13
1974,Beaver Creek,Canadian-resident visitors returning to Canada,6200
1974,Dawson,Residents of countries other than the United States of America entering Canada,0
1974,Dawson,United States of America residents entering Canada,245
1974,Fraser,Canadian-resident visitors returning to Canada,2547
1974,Little Gold Creek,Canadian-resident visitors returning to Canada,2581
1974,Little Gold Creek,United States of America residents entering Canada,7025
1974,Old Crow,Canadian-resident visitors returning to Canada,16
1974,Fraser,Residents of countries other than the United States of America entering Canada,362
1974,Whitehorse,United States of America residents entering Canada,6846
1974,Old Crow,United States of America residents entering Canada,87
1974,Fraser,United States of America residents entering Canada,34800
1974,Pleasant Camp,United States of America residents entering Canada,31789
1974,Little Gold Creek,Residents of countries other than the United States of America entering Canada,247
1974,Old Crow,Residents of countries other than the United States of America entering Canada,0
1974,Pleasant Camp,Canadian-resident visitors returning to Canada,5994
1974,Pleasant Camp,Residents of countries other than the United States of America entering Canada,168
1974,Whitehorse,Canadian-resident visitors returning to Canada,1543
1974,Whitehorse,Residents of countries other than the United States of America entering Canada,0
1976,Dawson,Residents of countries other than the United States of America entering Canada,0
1976,Beaver Creek,Canadian-resident visitors returning to Canada,4420
1976,Beaver Creek,United States of America residents entering Canada,72905
1976,Dawson,Canadian-resident visitors returning to Canada,32
1976,Dawson,United States of America residents entering Canada,469
1976,Beaver Creek,Residents of countries other than the United States of America entering Canada,552
