year,type,geo,count
1976,Train,Fraser,42855
1979,Train,Fraser,31293
1982,Train,Fraser,15128
1989,Train,Fraser,9
1992,Train,Fraser,418
1995,Train,Fraser,2670
1998,Train,Fraser,27263
2005,Train,Fraser,54480
2008,Train,Fraser,80273
2011,Train,Fraser,76150
2014,Train,Fraser,71174
1974,Train,Fraser,35913
1977,Train,Fraser,48609
1981,Train,Fraser,16999
1997,Train,Fraser,14966
2000,Train,Fraser,38441
2003,Train,Fraser,50680
2006,Train,Fraser,71436
2013,Train,Fraser,75056
2016,Train,Fraser,73383
2019,Train,Fraser,65970
2022,Train,Fraser,16
1972,Train,Fraser,26183
1975,Train,Fraser,38647
1978,Train,Fraser,39382
1994,Train,Fraser,4601
2001,Train,Fraser,50868
2004,Train,Fraser,50815
2007,Train,Fraser,77776
2010,Train,Fraser,76478
2017,Train,Fraser,66691
2023,Train,Fraser,90643
1973,Train,Fraser,34262
1980,Train,Fraser,15967
1993,Train,Fraser,14
1996,Train,Fraser,5328
1999,Train,Fraser,30971
2002,Train,Fraser,38778
2009,Train,Fraser,69943
2012,Train,Fraser,75769
2015,Train,Fraser,74587
2018,Train,Fraser,89471
1972,Motorcycle,Beaver Creek,180
1975,Motorcycle,Beaver Creek,45
1978,Motorcycle,Beaver Creek,511
1981,Motorcycle,Beaver Creek,442
1988,Motorcycle,Beaver Creek,548
1991,Motorcycle,Beaver Creek,569
1994,Motorcycle,Beaver Creek,508
1997,Motorcycle,Beaver Creek,501
2004,Motorcycle,Beaver Creek,445
2007,Motorcycle,Beaver Creek,1592
2010,Motorcycle,Beaver Creek,922
2017,Motorcycle,Beaver Creek,878
2020,Motorcycle,Beaver Creek,29
2023,Motorcycle,Beaver Creek,864
1973,Motorcycle,Fraser,1
1980,Motorcycle,Fraser,113
1983,Motorcycle,Fraser,145
1986,Motorcycle,Fraser,309
1993,Motorcycle,Fraser,360
1996,Motorcycle,Fraser,425
1999,Motorcycle,Fraser,535
2002,Motorcycle,Fraser,479
2009,Motorcycle,Fraser,1004
2012,Motorcycle,Fraser,764
2015,Motorcycle,Fraser,541
2018,Motorcycle,Fraser,413
1972,Motorcycle,Little Gold Creek,2
1975,Motorcycle,Little Gold Creek,26
1978,Motorcycle,Little Gold Creek,63
1985,Motorcycle,Little Gold Creek,62
1988,Motorcycle,Little Gold Creek,76
1991,Motorcycle,Little Gold Creek,71
1994,Motorcycle,Little Gold Creek,66
2001,Motorcycle,Little Gold Creek,135
2004,Motorcycle,Little Gold Creek,150
2007,Motorcycle,Little Gold Creek,495
2014,Motorcycle,Little Gold Creek,448
2017,Motorcycle,Little Gold Creek,661
2023,Motorcycle,Little Gold Creek,524
1974,Motorcycle,Pleasant Camp,187
1977,Motorcycle,Pleasant Camp,125
1980,Motorcycle,Pleasant Camp,192
1987,Motorcycle,Pleasant Camp,232
1990,Motorcycle,Pleasant Camp,296
1993,Motorcycle,Pleasant Camp,397
2000,Motorcycle,Pleasant Camp,309
2003,Motorcycle,Pleasant Camp,334
2006,Motorcycle,Pleasant Camp,402
2009,Motorcycle,Pleasant Camp,72
2016,Motorcycle,Pleasant Camp,59
2019,Motorcycle,Pleasant Camp,169
2022,Motorcycle,Pleasant Camp,109
1973,Motorcycle,Beaver Creek,191
1980,Motorcycle,Beaver Creek,582
1983,Motorcycle,Beaver Creek,521
1986,Motorcycle,Beaver Creek,751
1989,Motorcycle,Beaver Creek,643
1996,Motorcycle,Beaver Creek,274
1999,Motorcycle,Beaver Creek,721
2002,Motorcycle,Beaver Creek,582
2005,Motorcycle,Beaver Creek,648
2012,Motorcycle,Beaver Creek,1334
2015,Motorcycle,Beaver Creek,1296
2018,Motorcycle,Beaver Creek,432
1985,Motorcycle,Fraser,219
1988,Motorcycle,Fraser,208
1991,Motorcycle,Fraser,228
1994,Motorcycle,Fraser,564
2001,Motorcycle,Fraser,260
2004,Motorcycle,Fraser,436
2007,Motorcycle,Fraser,385
2010,Motorcycle,Fraser,912
2017,Motorcycle,Fraser,514
2020,Motorcycle,Fraser,3
2023,Motorcycle,Fraser,249
1977,Motorcycle,Little Gold Creek,29
1980,Motorcycle,Little Gold Creek,51
1983,Motorcycle,Little Gold Creek,46
1986,Motorcycle,Little Gold Creek,39
1993,Motorcycle,Little Gold Creek,112
1996,Motorcycle,Little Gold Creek,142
1999,Motorcycle,Little Gold Creek,119
2002,Motorcycle,Little Gold Creek,125
2009,Motorcycle,Little Gold Creek,411
2012,Motorcycle,Little Gold Creek,400
2015,Motorcycle,Little Gold Creek,337
2022,Motorcycle,Little Gold Creek,402
1972,Motorcycle,Pleasant Camp,75
1979,Motorcycle,Pleasant Camp,265
1982,Motorcycle,Pleasant Camp,244
1985,Motorcycle,Pleasant Camp,198
1992,Motorcycle,Pleasant Camp,391
1995,Motorcycle,Pleasant Camp,470
1998,Motorcycle,Pleasant Camp,273
2001,Motorcycle,Pleasant Camp,431
2008,Motorcycle,Pleasant Camp,459
2011,Motorcycle,Pleasant Camp,100
2014,Motorcycle,Pleasant Camp,390
2017,Motorcycle,Pleasant Camp,257
1976,Motorcycle,Beaver Creek,169
1979,Motorcycle,Beaver Creek,286
1982,Motorcycle,Beaver Creek,482
1985,Motorcycle,Beaver Creek,653
1992,Motorcycle,Beaver Creek,1340
1995,Motorcycle,Beaver Creek,564
1998,Motorcycle,Beaver Creek,595
2001,Motorcycle,Beaver Creek,697
2008,Motorcycle,Beaver Creek,895
2011,Motorcycle,Beaver Creek,1095
2014,Motorcycle,Beaver Creek,1576
2021,Motorcycle,Beaver Creek,62
1976,Motorcycle,Fraser,10
1979,Motorcycle,Fraser,80
1982,Motorcycle,Fraser,187
