arrivalyear,visitorResidencyStatus,visitors
2007,Non-resident,31394.0
2006,Unspecified,520.0
2011,Resident,14086.0
2013,Unspecified,173.0
2019,Unspecified,25.0
2021,Unspecified,16.0
2006,Unspecified,35.0
2017,Resident,26079.0
2017,Unspecified,175.0
2021,Unspecified,271.0
2015,Unspecified,260.0
2017,Unspecified,432.0
2019,Unspecified,269.0
2023,Resident,30267.0
2016,Resident,23042.0
2008,Non-resident,32391.0
2015,Non-resident,44257.0
2017,Non-resident,55513.0
2011,Unspecified,108.0
2016,Non-resident,49832.0
2018,Unspecified,235.0
2020,Resident,32206.0
2009,Unspecified,117.0
2010,Unspecified,55.0
2015,Resident,20034.0
2021,Resident,36032.0
2008,Unspecified,18.0
2009,Non-resident,34630.0
2009,Unspecified,67.0
2010,Non-resident,36663.0
2013,Unspecified,127.0
2022,Unspecified,106.0
2014,Unspecified,55.0
2014,Resident,17528.0
2019,Resident,27203.0
2020,Non-resident,7713.0
2022,Resident,25842.0
2008,Unspecified,791.0
2011,Non-resident,32802.0
2015,Unspecified,308.0
2021,Non-resident,17019.0
2023,Unspecified,766.0
2006,Resident,6288.0
2012,Non-resident,31005.0
2018,Resident,26533.0
2018,Unspecified,62.0
2020,Unspecified,396.0
2006,Non-resident,16102.0
2012,Unspecified,16.0
2016,Unspecified,853.0
2018,Non-resident,64242.0
2023,Unspecified,1120.0
2023,Non-resident,62689.0
2009,Resident,13244.0
2010,Resident,15096.0
2013,Non-resident,33178.0
2014,Unspecified,58.0
2016,Unspecified,223.0
2022,Non-resident,56652.0
2007,Resident,11980.0
2007,Unspecified,1221.0
2008,Resident,13014.0
2012,Unspecified,237.0
2013,Resident,16716.0
2014,Non-resident,36586.0
2019,Non-resident,64079.0
2022,Unspecified,1327.0
2020,Unspecified,21.0
2007,Unspecified,196.0
2010,Unspecified,92.0
2011,Unspecified,122.0
2012,Resident,15131.0
