date,year,month,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_month_range
2009-01-01,2009,1,7039,,,7039,0,,January - January
2009-02-01,2009,2,7349,,,14388,0,,January - February
2009-03-01,2009,3,8655,,,23043,0,,January - March
2009-04-01,2009,4,7540,,,30583,0,,January - April
2009-05-01,2009,5,9375,,,39958,0,,January - May
2009-06-01,2009,6,12351,,,52309,0,,January - June
2009-07-01,2009,7,14437,,,66746,0,,January - July
2009-08-01,2009,8,14029,,,80775,0,,January - August
2009-09-01,2009,9,10012,,,90787,0,,January - September
2009-10-01,2009,10,8425,,,99212,0,,January - October
2009-11-01,2009,11,7236,,,106448,0,,January - November
2009-12-01,2009,12,8130,,,114578,0,,January - December
2010-01-01,2010,1,7624,7039,8.3,7624,7039,8.3,January - January
2010-02-01,2010,2,7390,7349,0.6,15014,14388,4.4,January - February
2010-03-01,2010,3,10041,8655,16.0,25055,23043,8.7,January - March
2010-04-01,2010,4,8197,7540,8.7,33252,30583,8.7,January - April
2010-05-01,2010,5,11077,9375,18.2,44329,39958,10.9,January - May
2010-06-01,2010,6,13649,12351,10.5,57978,52309,10.8,January - June
2010-07-01,2010,7,15164,14437,5.0,73142,66746,9.6,January - July
2010-08-01,2010,8,15031,14029,7.1,88173,80775,9.2,January - August
2010-09-01,2010,9,10849,10012,8.4,99022,90787,9.1,January - September
2010-10-01,2010,10,9120,8425,8.2,108142,99212,9.0,January - October
2010-11-01,2010,11,8388,7236,15.9,116530,106448,9.5,January - November
2010-12-01,2010,12,8747,8130,7.6,125277,114578,9.3,January - December
2011-01-01,2011,1,8531,7624,11.9,8531,7624,11.9,January - January
2011-02-01,2011,2,8796,7390,19.0,17327,15014,15.4,January - February
2011-03-01,2011,3,10318,10041,2.8,27645,25055,10.3,January - March
2011-04-01,2011,4,8787,8197,7.2,36432,33252,9.6,January - April
2011-05-01,2011,5,11429,11077,3.2,47861,44329,8.0,January - May
2011-06-01,2011,6,13184,13649,-3.4,61045,57978,5.3,January - June
2011-07-01,2011,7,15708,15164,3.6,76753,73142,4.9,January - July
2011-08-01,2011,8,16604,15031,10.5,93357,88173,5.9,January - August
2011-09-01,2011,9,12272,10849,13.1,105629,99022,6.7,January - September
2011-10-01,2011,10,10073,9120,10.4,115702,108142,7.0,January - October
2011-11-01,2011,11,8984,8388,7.1,124686,116530,7.0,January - November
2011-12-01,2011,12,9561,8747,9.3,134247,125277,7.2,January - December
2012-01-01,2012,1,9392,8531,10.1,9392,8531,10.1,January - January
2012-02-01,2012,2,9786,8796,11.3,19178,17327,10.7,January - February
2012-03-01,2012,3,10789,10318,4.6,29967,27645,8.4,January - March
2012-04-01,2012,4,10173,8787,15.8,40140,36432,10.2,January - April
2012-05-01,2012,5,12412,11429,8.6,52552,47861,9.8,January - May
2012-06-01,2012,6,15234,13184,15.5,67786,61045,11.0,January - June
2012-07-01,2012,7,18435,15708,17.4,86221,76753,12.3,January - July
2012-08-01,2012,8,17704,16604,6.6,103925,93357,11.3,January - August
2012-09-01,2012,9,13227,12272,7.8,117152,105629,10.9,January - September
2012-10-01,2012,10,10515,10073,4.4,127667,115702,10.3,January - October
2012-11-01,2012,11,9122,8984,1.5,136789,124686,9.7,January - November
2012-12-01,2012,12,10286,9561,7.6,147075,134247,9.6,January - December
2013-01-01,2013,1,9396,9392,0.0,9396,9392,0.0,January - January
2013-02-01,2013,2,9725,9786,-0.6,19121,19178,-0.3,January - February
2013-03-01,2013,3,12106,10789,12.2,31227,29967,4.2,January - March
2013-04-01,2013,4,9183,10173,-9.7,40410,40140,0.7,January - April
2013-05-01,2013,5,11299,12412,-9.0,51709,52552,-1.6,January - May
2013-06-01,2013,6,15050,15234,-1.2,66759,67786,-1.5,January - June
2013-07-01,2013,7,17415,18435,-5.5,84174,86221,-2.4,January - July
2013-08-01,2013,8,16887,17704,-4.6,101061,103925,-2.8,January - August
2013-09-01,2013,9,14702,13227,11.2,115763,117152,-1.2,January - September
2013-10-01,2013,10,10894,10515,3.6,126657,127667,-0.8,January - October
2013-11-01,2013,11,9533,9122,4.5,136190,136789,-0.4,January - November
2013-12-01,2013,12,10859,10286,5.6,147049,147075,0.0,January - December
2014-01-01,2014,1,9793,9396,4.2,9793,9396,4.2,January - January
2014-02-01,2014,2,10043,9725,3.3,19836,19121,3.7,January - February
2014-03-01,2014,3,10549,12106,-12.9,30385,31227,-2.7,January - March
2014-04-01,2014,4,10603,9183,15.5,40988,40410,1.4,January - April
2014-05-01,2014,5,11965,11299,5.9,52953,51709,2.4,January - May
2014-06-01,2014,6,14491,15050,-3.7,67444,66759,1.0,January - June
2014-07-01,2014,7,19087,17415,9.6,86531,84174,2.8,January - July
2014-08-01,2014,8,19163,16887,13.5,105694,101061,4.6,January - August
2014-09-01,2014,9,13643,14702,-7.2,119337,115763,3.1,January - September
2014-10-01,2014,10,11990,10894,10.1,131327,126657,3.7,January - October
2014-11-01,2014,11,10296,9533,8.0,141623,136190,4.0,January - November
2014-12-01,2014,12,11730,10859,8.0,153353,147049,4.3,January - December
2015-01-01,2015,1,9630,9793,-1.7,9630,9793,-1.7,January - January
2015-02-01,2015,2,11420,10043,13.7,21050,19836,6.1,January - February
2015-03-01,2015,3,13019,10549,23.4,34069,30385,12.1,January - March
2015-04-01,2015,4,11419,10603,7.7,45488,40988,11.0,January - April
2015-05-01,2015,5,12236,11965,2.3,57724,52953,9.0,January - May
2015-06-01,2015,6,15385,14491,6.2,73109,67444,8.4,January - June
2015-07-01,2015,7,18200,19087,-4.6,91309,86531,5.5,January - July
2015-08-01,2015,8,18581,19163,-3.0,109890,105694,4.0,January - August
2015-09-01,2015,9,13772,13643,0.9,123662,119337,3.6,January - September
2015-10-01,2015,10,10992,11990,-8.3,134654,131327,2.5,January - October
2015-11-01,2015,11,9796,10296,-4.9,144450,141623,2.0,January - November
2015-12-01,2015,12,11568,11730,-1.4,156018,153353,1.7,January - December
2016-01-01,2016,1,9942,9630,3.2,9942,9630,3.2,January - January
2016-02-01,2016,2,12289,11420,7.6,22231,21050,5.6,January - February
2016-03-01,2016,3,14393,13019,10.6,36624,34069,7.5,January - March
2016-04-01,2016,4,10925,11419,-4.3,47549,45488,4.5,January - April
2016-05-01,2016,5,13836,12236,13.1,61385,57724,6.3,January - May
2016-06-01,2016,6,17349,15385,12.8,78734,73109,7.7,January - June
2016-07-01,2016,7,19982,18200,9.8,98716,91309,8.1,January - July
2016-08-01,2016,8,20111,18581,8.2,118827,109890,8.1,January - August
2016-09-01,2016,9,14674,13772,6.5,133501,123662,8.0,January - September
2016-10-01,2016,10,12083,10992,9.9,145584,134654,8.1,January - October
2016-11-01,2016,11,10905,9796,11.3,156489,144450,8.3,January - November
2016-12-01,2016,12,12959,11568,12.0,169448,156018,8.6,January - December
2017-01-01,2017,1,11461,9942,15.3,11461,9942,15.3,January - January
2017-02-01,2017,2,11532,12289,-6.2,22993,22231,3.4,January - February
2017-03-01,2017,3,14135,14393,-1.8,37128,36624,1.4,January - March
2017-04-01,2017,4,12924,10925,18.3,50052,47549,5.3,January - April
2017-05-01,2017,5,13934,13836,0.7,63986,61385,4.2,January - May
2017-06-01,2017,6,18549,17349,6.9,82535,78734,4.8,January - June
2017-07-01,2017,7,21796,19982,9.1,104331,98716,5.7,January - July
2017-08-01,2017,8,22240,20111,10.6,126571,118827,6.5,January - August
2017-09-01,2017,9,16756,14674,14.2,143327,133501,7.4,January - September
2017-10-01,2017,10,13266,12083,9.8,156593,145584,7.6,January - October
2017-11-01,2017,11,11837,10905,8.5,168430,156489,7.6,January - November
