date,year,month,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_avg,prev_year_ytd_avg,ytd_percentage_difference,ytd_total_2019,c2019_percentage_difference,ytd_month_range
2013-01-01,2013,1,94.50,,,94.500000,0.000000,,109.700000,-13.9,January - January
2013-02-01,2013,2,91.70,,,93.100000,0.000000,,110.600000,-15.9,January - February
2013-03-01,2013,3,90.80,,,92.300000,0.000000,,113.100000,-18.4,January - March
2013-04-01,2013,4,74.50,,,87.900000,0.000000,,112.800000,-22.1,January - April
2013-05-01,2013,5,91.70,,,88.600000,0.000000,,114.300000,-22.5,January - May
2013-06-01,2013,6,95.40,,,89.700000,0.000000,,115.100000,-22.1,January - June
2013-07-01,2013,7,94.20,,,90.400000,0.000000,,116.000000,-22.1,January - July
2013-08-01,2013,8,97.90,,,91.300000,0.000000,,116.000000,-21.3,January - August
2013-09-01,2013,9,106.90,,,93.000000,0.000000,,115.500000,-19.4,January - September
2013-10-01,2013,10,104.00,,,94.100000,0.000000,,114.900000,-18.0,January - October
2013-11-01,2013,11,100.90,,,94.800000,0.000000,,114.600000,-17.3,January - November
2013-12-01,2013,12,91.60,,,94.500000,0.000000,,113.600000,-16.8,January - December
2014-01-01,2014,1,92.80,94.50,-1.8,92.800000,94.500000,-1.8,109.700000,-15.4,January - January
2014-02-01,2014,2,99.10,91.70,8.1,96.000000,93.100000,3.1,110.600000,-13.3,January - February
2014-03-01,2014,3,102.80,90.80,13.3,98.200000,92.300000,6.4,113.100000,-13.1,January - March
2014-04-01,2014,4,104.40,74.50,40.2,99.800000,87.900000,13.6,112.800000,-11.5,January - April
2014-05-01,2014,5,101.20,91.70,10.4,100.100000,88.600000,12.9,114.300000,-12.4,January - May
2014-06-01,2014,6,100.30,95.40,5.1,100.100000,89.700000,11.5,115.100000,-13.1,January - June
2014-07-01,2014,7,99.00,94.20,5.1,100.000000,90.400000,10.6,116.000000,-13.8,January - July
2014-08-01,2014,8,103.20,97.90,5.4,100.400000,91.300000,9.9,116.000000,-13.5,January - August
2014-09-01,2014,9,102.30,106.90,-4.3,100.600000,93.000000,8.1,115.500000,-12.9,January - September
2014-10-01,2014,10,96.20,104.00,-7.5,100.100000,94.100000,6.4,114.900000,-12.8,January - October
2014-11-01,2014,11,94.30,100.90,-6.6,99.600000,94.800000,5.1,114.600000,-13.1,January - November
2014-12-01,2014,12,104.40,91.60,14.0,100.000000,94.500000,5.8,113.600000,-11.9,January - December
2015-01-01,2015,1,107.00,92.80,15.3,107.000000,92.800000,15.3,109.700000,-2.5,January - January
2015-02-01,2015,2,95.60,99.10,-3.5,101.300000,96.000000,5.6,110.600000,-8.4,January - February
2015-03-01,2015,3,108.50,102.80,5.6,103.700000,98.200000,5.6,113.100000,-8.3,January - March
2015-04-01,2015,4,94.70,104.40,-9.3,101.500000,99.800000,1.7,112.800000,-10.0,January - April
2015-05-01,2015,5,99.80,101.20,-1.4,101.100000,100.100000,1.1,114.300000,-11.5,January - May
2015-06-01,2015,6,102.70,100.30,2.4,101.400000,100.100000,1.3,115.100000,-11.9,January - June
2015-07-01,2015,7,98.60,99.00,-0.4,101.000000,100.000000,1.0,116.000000,-12.9,January - July
2015-08-01,2015,8,91.90,103.20,-11.0,99.900000,100.400000,-0.5,116.000000,-13.9,January - August
2015-09-01,2015,9,90.60,102.30,-11.4,98.800000,100.600000,-1.7,115.500000,-14.4,January - September
2015-10-01,2015,10,95.30,96.20,-1.0,98.500000,100.100000,-1.7,114.900000,-14.3,January - October
2015-11-01,2015,11,103.80,94.30,10.1,99.000000,99.600000,-0.7,114.600000,-13.7,January - November
2015-12-01,2015,12,91.00,104.40,-12.8,98.300000,100.000000,-1.7,113.600000,-13.5,January - December
2016-01-01,2016,1,80.10,107.00,-25.2,80.100000,107.000000,-25.2,109.700000,-27.0,January - January
2016-02-01,2016,2,83.90,95.60,-12.2,82.000000,101.300000,-19.1,110.600000,-25.9,January - February
2016-03-01,2016,3,92.20,108.50,-15.0,85.400000,103.700000,-17.6,113.100000,-24.5,January - March
2016-04-01,2016,4,94.50,94.70,-0.3,87.700000,101.500000,-13.6,112.800000,-22.3,January - April
2016-05-01,2016,5,101.80,99.80,2.0,90.500000,101.100000,-10.5,114.300000,-20.8,January - May
2016-06-01,2016,6,99.80,102.70,-2.8,92.000000,101.400000,-9.2,115.100000,-20.1,January - June
2016-07-01,2016,7,104.60,98.60,6.1,93.800000,101.000000,-7.1,116.000000,-19.1,January - July
2016-08-01,2016,8,101.50,91.90,10.4,94.800000,99.900000,-5.1,116.000000,-18.3,January - August
2016-09-01,2016,9,102.90,90.60,13.6,95.700000,98.800000,-3.2,115.500000,-17.1,January - September
2016-10-01,2016,10,96.70,95.30,1.5,95.800000,98.500000,-2.7,114.900000,-16.6,January - October
2016-11-01,2016,11,102.70,103.80,-1.0,96.400000,99.000000,-2.5,114.600000,-15.9,January - November
2016-12-01,2016,12,103.80,91.00,14.1,97.000000,98.300000,-1.3,113.600000,-14.6,January - December
2017-01-01,2017,1,107.70,80.10,34.5,107.700000,80.100000,34.5,109.700000,-1.9,January - January
2017-02-01,2017,2,110.60,83.90,31.8,109.100000,82.000000,33.1,110.600000,-1.3,January - February
2017-03-01,2017,3,111.70,92.20,21.1,110.000000,85.400000,28.8,113.100000,-2.7,January - March
2017-04-01,2017,4,109.40,94.50,15.8,109.800000,87.700000,25.3,112.800000,-2.6,January - April
2017-05-01,2017,5,111.50,101.80,9.5,110.200000,90.500000,21.7,114.300000,-3.6,January - May
2017-06-01,2017,6,111.50,99.80,11.8,110.400000,92.000000,19.9,115.100000,-4.1,January - June
2017-07-01,2017,7,113.60,104.60,8.6,110.900000,93.800000,18.1,116.000000,-4.4,January - July
2017-08-01,2017,8,121.70,101.50,19.9,112.200000,94.800000,18.4,116.000000,-3.3,January - August
2017-09-01,2017,9,112.40,102.90,9.2,112.200000,95.700000,17.3,115.500000,-2.8,January - September
