date,year,month,monthly_avg_daily_room_rate,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_daily_room_rate,prev_year_ytd_avg,ytd_percentage_difference,monthly_avg_daily_room_rate_2019,c2019_percentage_difference,ytd_month_range
2016-01-01,2016,1,113.000000,106.200000,6.400000,113.000000,106.200000,6.400000,125.800000,-10.200000,January - January
2016-02-01,2016,2,109.800000,102.300000,7.300000,111.400000,104.300000,6.800000,131.100000,-16.200000,January - February
2016-03-01,2016,3,111.300000,116.000000,-4.100000,111.400000,108.200000,3.000000,129.800000,-14.300000,January - March
2016-04-01,2016,4,117.000000,110.000000,6.400000,112.800000,108.600000,3.900000,133.000000,-12.000000,January - April
2016-05-01,2016,5,128.800000,113.500000,13.500000,116.000000,109.600000,5.800000,161.100000,-20.000000,January - May
2016-06-01,2016,6,133.300000,128.200000,4.000000,118.900000,112.700000,5.500000,170.100000,-21.600000,January - June
2016-07-01,2016,7,135.400000,130.900000,3.400000,121.200000,115.300000,5.100000,168.000000,-19.400000,January - July
2016-08-01,2016,8,134.600000,127.300000,5.700000,122.900000,116.800000,5.200000,169.400000,-20.500000,January - August
2016-09-01,2016,9,131.800000,127.500000,3.400000,123.900000,118.000000,5.000000,164.300000,-19.800000,January - September
2016-10-01,2016,10,121.900000,118.400000,3.000000,123.700000,118.000000,4.800000,140.600000,-13.300000,January - October
2016-11-01,2016,11,118.600000,114.700000,3.400000,123.200000,117.700000,4.700000,135.600000,-12.500000,January - November
2016-12-01,2016,12,114.100000,109.800000,3.900000,122.500000,117.100000,4.600000,126.400000,-9.700000,January - December
2017-01-01,2017,1,113.000000,113.000000,0.000000,113.000000,113.000000,0.000000,125.800000,-10.200000,January - January
2017-02-01,2017,2,115.400000,109.800000,5.100000,114.200000,111.400000,2.500000,131.100000,-12.000000,January - February
2017-03-01,2017,3,117.700000,111.300000,5.800000,115.400000,111.400000,3.600000,129.800000,-9.300000,January - March
2017-04-01,2017,4,116.400000,117.000000,-0.500000,115.600000,112.800000,2.500000,133.000000,-12.500000,January - April
2017-05-01,2017,5,142.300000,128.800000,10.500000,121.000000,116.000000,4.300000,161.100000,-11.700000,January - May
2017-06-01,2017,6,144.800000,133.300000,8.600000,124.900000,118.900000,5.000000,170.100000,-14.900000,January - June
2017-07-01,2017,7,146.900000,135.400000,8.500000,128.100000,121.200000,5.700000,168.000000,-12.600000,January - July
2017-08-01,2017,8,144.300000,134.600000,7.200000,130.100000,122.900000,5.900000,169.400000,-14.800000,January - August
2017-09-01,2017,9,143.500000,131.800000,8.900000,131.600000,123.900000,6.200000,164.300000,-12.700000,January - September
2017-10-01,2017,10,126.800000,121.900000,4.000000,131.100000,123.700000,6.000000,140.600000,-9.800000,January - October
2017-11-01,2017,11,123.200000,118.600000,3.900000,130.400000,123.200000,5.800000,135.600000,-9.100000,January - November
2017-12-01,2017,12,119.500000,114.100000,4.700000,129.500000,122.500000,5.700000,126.400000,-5.500000,January - December
2018-01-01,2018,1,120.300000,113.000000,6.500000,120.300000,113.000000,6.500000,125.800000,-4.400000,January - January
2018-02-01,2018,2,120.800000,115.400000,4.700000,120.600000,114.200000,5.600000,131.100000,-7.900000,January - February
2018-03-01,2018,3,127.400000,117.700000,8.200000,122.800000,115.400000,6.400000,129.800000,-1.800000,January - March
2018-04-01,2018,4,131.700000,116.400000,13.100000,125.100000,115.600000,8.200000,133.000000,-1.000000,January - April
2018-05-01,2018,5,153.600000,142.300000,7.900000,130.800000,121.000000,8.100000,161.100000,-4.700000,January - May
2018-06-01,2018,6,156.200000,144.800000,7.900000,135.000000,124.900000,8.100000,170.100000,-8.200000,January - June
2018-07-01,2018,7,158.800000,146.900000,8.100000,138.400000,128.100000,8.000000,168.000000,-5.500000,January - July
2018-08-01,2018,8,157.000000,144.300000,8.800000,140.700000,130.100000,8.100000,169.400000,-7.300000,January - August
2018-09-01,2018,9,157.300000,143.500000,9.600000,142.600000,131.600000,8.400000,164.300000,-4.300000,January - September
2018-10-01,2018,10,138.300000,126.800000,9.100000,142.100000,131.100000,8.400000,140.600000,-1.600000,January - October
2018-11-01,2018,11,129.700000,123.200000,5.300000,141.000000,130.400000,8.100000,135.600000,-4.400000,January - November
2018-12-01,2018,12,115.000000,119.500000,-3.800000,138.800000,129.500000,7.200000,126.400000,-9.000000,January - December
2019-01-01,2019,1,125.800000,120.300000,4.600000,125.800000,120.300000,4.600000,125.800000,0.000000,January - January
2019-02-01,2019,2,131.100000,120.800000,8.500000,128.500000,120.600000,6.600000,131.100000,0.000000,January - February
2019-03-01,2019,3,129.800000,127.400000,1.900000,128.900000,122.800000,5.000000,129.800000,0.000000,January - March
2019-04-01,2019,4,133.000000,131.700000,1.000000,129.900000,125.100000,3.800000,133.000000,0.000000,January - April
2019-05-01,2019,5,161.100000,153.600000,4.900000,136.200000,130.800000,4.100000,161.100000,0.000000,January - May
2019-06-01,2019,6,170.100000,156.200000,8.900000,141.800000,135.000000,5.000000,170.100000,0.000000,January - June
2019-07-01,2019,7,168.000000,158.800000,5.800000,145.600000,138.400000,5.200000,168.000000,0.000000,January - July
2019-08-01,2019,8,169.400000,157.000000,7.900000,148.500000,140.700000,5.500000,169.400000,0.000000,January - August
2019-09-01,2019,9,164.300000,157.300000,4.500000,150.300000,142.600000,5.400000,164.300000,0.000000,January - September
2019-10-01,2019,10,140.600000,138.300000,1.700000,149.300000,142.100000,5.100000,140.600000,0.000000,January - October
2019-11-01,2019,11,135.600000,129.700000,4.500000,148.100000,141.000000,5.000000,135.600000,0.000000,January - November
2019-12-01,2019,12,126.400000,115.000000,9.900000,146.300000,138.800000,5.400000,126.400000,0.000000,January - December
2020-01-01,2020,1,129.300000,125.800000,2.800000,129.300000,125.800000,2.800000,125.800000,2.800000,January - January
2020-02-01,2020,2,131.500000,131.100000,0.300000,130.400000,128.500000,1.500000,131.100000,0.300000,January - February
2020-03-01,2020,3,139.100000,129.800000,7.200000,133.300000,128.900000,3.400000,129.800000,7.200000,January - March
2020-04-01,2020,4,94.600000,133.000000,-28.900000,123.600000,129.900000,-4.800000,133.000000,-28.900000,January - April
2020-05-01,2020,5,95.600000,161.100000,-40.700000,118.000000,136.200000,-13.400000,161.100000,-40.700000,January - May
2020-06-01,2020,6,108.000000,170.100000,-36.500000,116.400000,141.800000,-17.900000,170.100000,-36.500000,January - June
2020-07-01,2020,7,136.800000,168.000000,-18.600000,119.300000,145.600000,-18.100000,168.000000,-18.600000,January - July
2020-08-01,2020,8,134.500000,169.400000,-20.600000,121.200000,148.500000,-18.400000,169.400000,-20.600000,January - August
2020-09-01,2020,9,127.000000,164.300000,-22.700000,121.800000,150.300000,-19.000000,164.300000,-22.700000,January - September
2020-10-01,2020,10,116.400000,140.600000,-17.200000,121.300000,149.300000,-18.800000,140.600000,-17.200000,January - October
2020-11-01,2020,11,117.700000,135.600000,-13.200000,121.000000,148.100000,-18.300000,135.600000,-13.200000,January - November
2020-12-01,2020,12,105.400000,126.400000,-16.600000,119.700000,146.300000,-18.200000,126.400000,-16.600000,January - December
2021-01-01,2021,1,101.600000,129.300000,-21.400000,101.600000,129.300000,-21.400000,125.800000,-19.200000,January - January
2021-02-01,2021,2,106.800000,131.500000,-18.800000,104.200000,130.400000,-20.100000,131.100000,-18.500000,January - February
2021-03-01,2021,3,103.700000,139.100000,-25.400000,104.000000,133.300000,-22.000000,129.800000,-20.100000,January - March
2021-04-01,2021,4,113.400000,94.600000,19.900000,106.400000,123.600000,-13.900000,133.000000,-14.700000,January - April
2021-05-01,2021,5,125.500000,95.600000,31.300000,110.200000,118.000000,-6.600000,161.100000,-22.100000,January - May
2021-06-01,2021,6,134.300000,108.000000,24.400000,114.200000,116.400000,-1.900000,170.100000,-21.000000,January - June
2021-07-01,2021,7,135.900000,136.800000,-0.700000,117.300000,119.300000,-1.700000,168.000000,-19.100000,January - July
2021-08-01,2021,8,146.700000,134.500000,9.100000,121.000000,121.200000,-0.200000,169.400000,-13.400000,January - August
2021-09-01,2021,9,140.400000,127.000000,10.600000,123.100000,121.800000,1.100000,164.300000,-14.500000,January - September
2021-10-01,2021,10,142.800000,116.400000,22.700000,125.100000,121.300000,3.100000,140.600000,1.600000,January - October
2021-11-01,2021,11,135.400000,117.700000,15.000000,126.000000,121.000000,4.100000,135.600000,-0.100000,January - November
2021-12-01,2021,12,131.900000,105.400000,25.100000,126.500000,119.700000,5.700000,126.400000,4.400000,January - December
2022-01-01,2022,1,128.500000,101.600000,26.500000,128.500000,101.600000,26.500000,125.800000,2.100000,January - January
2022-02-01,2022,2,135.700000,106.800000,27.100000,132.100000,104.200000,26.800000,131.100000,3.500000,January - February
2022-03-01,2022,3,136.300000,103.700000,31.400000,133.500000,104.000000,28.400000,129.800000,5.000000,January - March
2022-04-01,2022,4,151.700000,113.400000,33.800000,138.100000,106.400000,29.800000,133.000000,14.100000,January - April
2022-05-01,2022,5,185.200000,125.500000,47.600000,147.500000,110.200000,33.800000,161.100000,15.000000,January - May
2022-06-01,2022,6,204.900000,134.300000,52.600000,157.100000,114.200000,37.600000,170.100000,20.500000,January - June
2022-07-01,2022,7,206.500000,135.900000,51.900000,164.100000,117.300000,39.900000,168.000000,22.900000,January - July
2022-08-01,2022,8,213.600000,146.700000,45.600000,170.300000,121.000000,40.700000,169.400000,26.100000,January - August
2022-09-01,2022,9,202.700000,140.400000,44.400000,173.900000,123.100000,41.300000,164.300000,23.400000,January - September
2022-10-01,2022,10,171.700000,142.800000,20.200000,173.700000,125.100000,38.800000,140.600000,22.100000,January - October
2022-11-01,2022,11,162.600000,135.400000,20.100000,172.700000,126.000000,37.100000,135.600000,19.900000,January - November
2022-12-01,2022,12,149.600000,131.900000,13.400000,170.800000,126.500000,35.000000,126.400000,18.400000,January - December
2023-01-01,2023,1,149.500000,128.500000,16.300000,149.500000,128.500000,16.300000,125.800000,18.800000,January - January
2023-02-01,2023,2,154.300000,135.700000,13.700000,151.900000,132.100000,15.000000,131.100000,17.700000,January - February
2023-03-01,2023,3,160.500000,136.300000,17.800000,154.800000,133.500000,16.000000,129.800000,23.700000,January - March
2023-04-01,2023,4,167.900000,151.700000,10.700000,158.100000,138.100000,14.500000,133.000000,26.200000,January - April
2023-05-01,2023,5,198.000000,185.200000,6.900000,166.000000,147.500000,12.500000,161.100000,22.900000,January - May
2023-06-01,2023,6,207.000000,204.900000,1.000000,172.900000,157.100000,10.100000,170.100000,21.700000,January - June
2023-07-01,2023,7,205.200000,206.500000,-0.600000,177.500000,164.100000,8.200000,168.000000,22.100000,January - July
2023-08-01,2023,8,206.200000,213.600000,-3.500000,181.100000,170.300000,6.300000,169.400000,21.700000,January - August
2023-09-01,2023,9,199.500000,202.700000,-1.600000,183.100000,173.900000,5.300000,164.300000,21.400000,January - September
2023-10-01,2023,10,173.400000,171.700000,1.000000,182.200000,173.700000,4.900000,140.600000,23.300000,January - October
