date,year,month,monthly_avg_occupancy_rate,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_occupancy_rate,prev_year_ytd_avg,ytd_percentage_difference,monthly_avg_occupancy_rate_2019,c2019_percentage_difference,ytd_month_range
2016-01-01,2016,1,42.600000,,,42.600000,0.000000,,42.500000,0.200000,January - January
2016-02-01,2016,2,42.400000,,,42.500000,0.000000,,61.800000,-31.400000,January - February
2016-03-01,2016,3,62.400000,,,49.100000,0.000000,,55.500000,12.400000,January - March
2016-04-01,2016,4,57.300000,,,51.200000,0.000000,,49.700000,15.300000,January - April
2016-05-01,2016,5,65.400000,,,54.000000,0.000000,,61.500000,6.300000,January - May
2016-06-01,2016,6,91.000000,,,60.200000,0.000000,,83.600000,8.900000,January - June
2016-07-01,2016,7,87.200000,,,64.000000,0.000000,,85.400000,2.100000,January - July
2016-08-01,2016,8,89.900000,,,67.300000,0.000000,,86.500000,3.900000,January - August
2016-09-01,2016,9,82.500000,,,69.000000,0.000000,,74.400000,10.900000,January - September
2016-10-01,2016,10,59.100000,,,68.000000,0.000000,,57.500000,2.800000,January - October
2016-11-01,2016,11,58.200000,,,67.100000,0.000000,,53.000000,9.800000,January - November
2016-12-01,2016,12,44.900000,,,65.200000,0.000000,,42.100000,6.700000,January - December
2017-01-01,2017,1,46.200000,42.600000,8.500000,46.200000,42.600000,8.500000,42.500000,8.700000,January - January
2017-02-01,2017,2,59.600000,42.400000,40.600000,52.900000,42.500000,24.500000,61.800000,-3.600000,January - February
2017-03-01,2017,3,59.700000,62.400000,-4.300000,55.200000,49.100000,12.400000,55.500000,7.600000,January - March
2017-04-01,2017,4,52.700000,57.300000,-8.000000,54.600000,51.200000,6.600000,49.700000,6.000000,January - April
2017-05-01,2017,5,58.300000,65.400000,-10.900000,55.300000,54.000000,2.400000,61.500000,-5.200000,January - May
2017-06-01,2017,6,86.000000,91.000000,-5.500000,60.400000,60.200000,0.300000,83.600000,2.900000,January - June
2017-07-01,2017,7,90.900000,87.200000,4.200000,64.800000,64.000000,1.300000,85.400000,6.400000,January - July
2017-08-01,2017,8,88.400000,89.900000,-1.700000,67.700000,67.300000,0.600000,86.500000,2.200000,January - August
2017-09-01,2017,9,81.500000,82.500000,-1.200000,69.300000,69.000000,0.400000,74.400000,9.500000,January - September
2017-10-01,2017,10,56.200000,59.100000,-4.900000,68.000000,68.000000,0.000000,57.500000,-2.300000,January - October
2017-11-01,2017,11,56.800000,58.200000,-2.400000,66.900000,67.100000,-0.300000,53.000000,7.200000,January - November
2017-12-01,2017,12,41.200000,44.900000,-8.200000,64.800000,65.200000,-0.600000,42.100000,-2.100000,January - December
2018-01-01,2018,1,41.000000,46.200000,-11.300000,41.000000,46.200000,-11.300000,42.500000,-3.500000,January - January
2018-02-01,2018,2,61.400000,59.600000,3.000000,51.200000,52.900000,-3.200000,61.800000,-0.600000,January - February
2018-03-01,2018,3,57.600000,59.700000,-3.500000,53.300000,55.200000,-3.400000,55.500000,3.800000,January - March
2018-04-01,2018,4,49.700000,52.700000,-5.700000,52.400000,54.600000,-4.000000,49.700000,0.000000,January - April
2018-05-01,2018,5,55.200000,58.300000,-5.300000,53.000000,55.300000,-4.200000,61.500000,-10.200000,January - May
2018-06-01,2018,6,91.000000,86.000000,5.800000,59.300000,60.400000,-1.800000,83.600000,8.900000,January - June
2018-07-01,2018,7,91.700000,90.900000,0.900000,63.900000,64.800000,-1.400000,85.400000,7.400000,January - July
2018-08-01,2018,8,91.100000,88.400000,3.100000,67.300000,67.700000,-0.600000,86.500000,5.300000,January - August
2018-09-01,2018,9,78.700000,81.500000,-3.400000,68.600000,69.300000,-1.000000,74.400000,5.800000,January - September
2018-10-01,2018,10,57.400000,56.200000,2.100000,67.500000,68.000000,-0.700000,57.500000,-0.200000,January - October
2018-11-01,2018,11,54.500000,56.800000,-4.000000,66.300000,66.900000,-0.900000,53.000000,2.800000,January - November
2018-12-01,2018,12,43.900000,41.200000,6.600000,64.400000,64.800000,-0.600000,42.100000,4.300000,January - December
2019-01-01,2019,1,42.500000,41.000000,3.700000,42.500000,41.000000,3.700000,42.500000,0.000000,January - January
2019-02-01,2019,2,61.800000,61.400000,0.700000,52.200000,51.200000,2.000000,61.800000,0.000000,January - February
2019-03-01,2019,3,55.500000,57.600000,-3.600000,53.300000,53.300000,0.000000,55.500000,0.000000,January - March
2019-04-01,2019,4,49.700000,49.700000,0.000000,52.400000,52.400000,0.000000,49.700000,0.000000,January - April
2019-05-01,2019,5,61.500000,55.200000,11.400000,54.200000,53.000000,2.300000,61.500000,0.000000,January - May
2019-06-01,2019,6,83.600000,91.000000,-8.100000,59.100000,59.300000,-0.300000,83.600000,0.000000,January - June
2019-07-01,2019,7,85.400000,91.700000,-6.900000,62.900000,63.900000,-1.600000,85.400000,0.000000,January - July
2019-08-01,2019,8,86.500000,91.100000,-5.000000,65.800000,67.300000,-2.200000,86.500000,0.000000,January - August
2019-09-01,2019,9,74.400000,78.700000,-5.500000,66.800000,68.600000,-2.600000,74.400000,0.000000,January - September
2019-10-01,2019,10,57.500000,57.400000,0.200000,65.800000,67.500000,-2.500000,57.500000,0.000000,January - October
2019-11-01,2019,11,53.000000,54.500000,-2.800000,64.700000,66.300000,-2.400000,53.000000,0.000000,January - November
2019-12-01,2019,12,42.100000,43.900000,-4.100000,62.800000,64.400000,-2.500000,42.100000,0.000000,January - December
2020-01-01,2020,1,44.200000,42.500000,4.000000,44.200000,42.500000,4.000000,42.500000,4.000000,January - January
2020-02-01,2020,2,60.900000,61.800000,-1.500000,52.600000,52.200000,0.800000,61.800000,-1.500000,January - February
2020-03-01,2020,3,35.800000,55.500000,-35.500000,47.000000,53.300000,-11.800000,55.500000,-35.500000,January - March
2020-04-01,2020,4,16.700000,49.700000,-66.400000,39.400000,52.400000,-24.800000,49.700000,-66.400000,January - April
2020-05-01,2020,5,27.800000,61.500000,-54.800000,37.100000,54.200000,-31.500000,61.500000,-54.800000,January - May
2020-06-01,2020,6,25.800000,83.600000,-69.100000,35.200000,59.100000,-40.400000,83.600000,-69.100000,January - June
2020-07-01,2020,7,37.800000,85.400000,-55.700000,35.600000,62.900000,-43.400000,85.400000,-55.700000,January - July
2020-08-01,2020,8,39.900000,86.500000,-53.900000,36.100000,65.800000,-45.100000,86.500000,-53.900000,January - August
2020-09-01,2020,9,42.000000,74.400000,-43.500000,36.800000,66.800000,-44.900000,74.400000,-43.500000,January - September
2020-10-01,2020,10,34.800000,57.500000,-39.500000,36.600000,65.800000,-44.400000,57.500000,-39.500000,January - October
2020-11-01,2020,11,27.400000,53.000000,-48.300000,35.700000,64.700000,-44.800000,53.000000,-48.300000,January - November
2020-12-01,2020,12,19.400000,42.100000,-53.900000,34.400000,62.800000,-45.200000,42.100000,-53.900000,January - December
2021-01-01,2021,1,21.200000,44.200000,-52.000000,21.200000,44.200000,-52.000000,42.500000,-50.100000,January - January
2021-02-01,2021,2,27.100000,60.900000,-55.500000,24.200000,52.600000,-54.000000,61.800000,-56.100000,January - February
2021-03-01,2021,3,33.500000,35.800000,-6.400000,27.300000,47.000000,-41.900000,55.500000,-39.600000,January - March
2021-04-01,2021,4,30.400000,16.700000,82.000000,28.100000,39.400000,-28.700000,49.700000,-38.800000,January - April
2021-05-01,2021,5,34.700000,27.800000,24.800000,29.400000,37.100000,-20.800000,61.500000,-43.600000,January - May
2021-06-01,2021,6,35.100000,25.800000,36.000000,30.300000,35.200000,-13.900000,83.600000,-58.000000,January - June
2021-07-01,2021,7,52.200000,37.800000,38.100000,33.500000,35.600000,-5.900000,85.400000,-38.900000,January - July
2021-08-01,2021,8,65.400000,39.900000,63.900000,37.500000,36.100000,3.900000,86.500000,-24.400000,January - August
2021-09-01,2021,9,56.900000,42.000000,35.500000,39.600000,36.800000,7.600000,74.400000,-23.500000,January - September
2021-10-01,2021,10,46.000000,34.800000,32.200000,40.300000,36.600000,10.100000,57.500000,-20.000000,January - October
2021-11-01,2021,11,44.500000,27.400000,62.400000,40.600000,35.700000,13.700000,53.000000,-16.000000,January - November
2021-12-01,2021,12,41.300000,19.400000,112.900000,40.700000,34.400000,18.300000,42.100000,-1.900000,January - December
2022-01-01,2022,1,37.100000,21.200000,75.000000,37.100000,21.200000,75.000000,42.500000,-12.700000,January - January
2022-02-01,2022,2,46.200000,27.100000,70.500000,41.700000,24.200000,72.300000,61.800000,-25.200000,January - February
2022-03-01,2022,3,39.900000,33.500000,19.100000,41.100000,27.300000,50.500000,55.500000,-28.100000,January - March
2022-04-01,2022,4,40.100000,30.400000,31.900000,40.800000,28.100000,45.200000,49.700000,-19.300000,January - April
2022-05-01,2022,5,45.800000,34.700000,32.000000,41.800000,29.400000,42.200000,61.500000,-25.500000,January - May
2022-06-01,2022,6,70.400000,35.100000,100.600000,46.600000,30.300000,53.800000,83.600000,-15.800000,January - June
2022-07-01,2022,7,78.600000,52.200000,50.600000,51.200000,33.500000,52.800000,85.400000,-8.000000,January - July
2022-08-01,2022,8,82.700000,65.400000,26.500000,55.100000,37.500000,46.900000,86.500000,-4.400000,January - August
2022-09-01,2022,9,72.300000,56.900000,27.100000,57.000000,39.600000,43.900000,74.400000,-2.800000,January - September
2022-10-01,2022,10,53.200000,46.000000,15.700000,56.600000,40.300000,40.400000,57.500000,-7.500000,January - October
2022-11-01,2022,11,52.400000,44.500000,17.800000,56.200000,40.600000,38.400000,53.000000,-1.100000,January - November
2022-12-01,2022,12,41.600000,41.300000,0.700000,55.000000,40.700000,35.100000,42.100000,-1.200000,January - December
2023-01-01,2023,1,42.400000,37.100000,14.300000,42.400000,37.100000,14.300000,42.500000,-0.200000,January - January
2023-02-01,2023,2,57.300000,46.200000,24.000000,49.900000,41.700000,19.700000,61.800000,-7.300000,January - February
2023-03-01,2023,3,58.400000,39.900000,46.400000,52.700000,41.100000,28.200000,55.500000,5.200000,January - March
2023-04-01,2023,4,44.200000,40.100000,10.200000,50.600000,40.800000,24.000000,49.700000,-11.100000,January - April
2023-05-01,2023,5,58.400000,45.800000,27.500000,52.100000,41.800000,24.600000,61.500000,-5.000000,January - May
2023-06-01,2023,6,79.100000,70.400000,12.400000,56.600000,46.600000,21.500000,83.600000,-5.400000,January - June
2023-07-01,2023,7,86.600000,78.600000,10.200000,60.900000,51.200000,18.900000,85.400000,1.400000,January - July
2023-08-01,2023,8,89.400000,82.700000,8.100000,64.500000,55.100000,17.100000,86.500000,3.400000,January - August
2023-09-01,2023,9,80.800000,72.300000,11.800000,66.300000,57.000000,16.300000,74.400000,8.600000,January - September
2023-10-01,2023,10,59.600000,53.200000,12.000000,65.600000,56.600000,15.900000,57.500000,3.700000,January - October
2023-11-01,2023,11,51.900000,52.400000,-1.000000,64.400000,56.200000,14.600000,53.000000,-2.100000,January - November
2023-12-01,2023,12,42.600000,41.600000,2.400000,62.600000,55.000000,13.800000,42.100000,1.200000,January - December
2024-01-01,2024,1,46.200000,42.400000,9.000000,46.200000,42.400000,9.000000,42.500000,8.700000,January - January
2024-02-01,2024,2,59.900000,57.300000,4.500000,53.100000,49.900000,6.400000,61.800000,-3.100000,January - February
2024-03-01,2024,3,63.600000,58.400000,8.900000,56.600000,52.700000,7.400000,55.500000,14.600000,January - March
2024-04-01,2024,4,49.600000,44.200000,12.200000,54.800000,50.600000,8.300000,49.700000,-0.200000,January - April
2024-05-01,2024,5,58.200000,58.400000,-0.300000,55.500000,52.100000,6.500000,61.500000,-5.400000,January - May
2024-06-01,2024,6,83.300000,79.100000,5.300000,60.100000,56.600000,6.200000,83.600000,-0.400000,January - June
2024-07-01,2024,7,84.400000,86.600000,-2.500000,63.600000,60.900000,4.400000,85.400000,-1.200000,January - July
2024-08-01,2024,8,86.100000,89.400000,-3.700000,66.400000,64.500000,2.900000,86.500000,-0.500000,January - August
2024-09-01,2024,9,78.200000,80.800000,-3.200000,67.700000,66.300000,2.100000,74.400000,5.100000,January - September
2024-10-01,2024,10,53.300000,59.600000,-10.600000,66.300000,65.600000,1.100000,57.500000,-7.300000,January - October
2024-11-01,2024,11,50.100000,51.900000,-3.500000,64.800000,64.400000,0.600000,53.000000,-5.500000,January - November
2024-12-01,2024,12,40.300000,42.600000,-5.400000,62.800000,62.600000,0.300000,42.100000,-4.300000,January - December
2025-01-01,2025,1,40.700000,46.200000,-11.900000,40.700000,46.200000,-11.900000,42.500000,-4.200000,January - January
2025-02-01,2025,2,55.300000,59.900000,-7.700000,48.000000,53.100000,-9.600000,61.800000,-10.500000,January - February
2025-03-01,2025,3,55.200000,63.600000,-13.200000,50.400000,56.600000,-11.000000,55.500000,-0.500000,January - March
2025-04-01,2025,4,48.800000,49.600000,-1.600000,50.000000,54.800000,-8.800000,49.700000,-1.800000,January - April
2025-05-01,2025,5,54.300000,58.200000,-6.700000,50.900000,55.500000,-8.300000,61.500000,-11.700000,January - May
2025-06-01,2025,6,79.700000,83.300000,-4.300000,55.700000,60.100000,-7.300000,83.600000,-4.700000,January - June
2025-07-01,2025,7,87.200000,84.400000,3.300000,60.200000,63.600000,-5.300000,85.400000,2.100000,January - July
2025-08-01,2025,8,76.700000,86.100000,-10.900000,62.200000,66.400000,-6.300000,86.500000,-11.300000,January - August
2025-09-01,2025,9,77.000000,78.200000,-1.500000,63.900000,67.700000,-5.600000,74.400000,3.500000,January - September
2025-10-01,2025,10,53.300000,53.300000,0.000000,62.800000,66.300000,-5.300000,57.500000,-7.300000,January - October
2025-11-01,2025,11,45.700000,50.100000,-8.800000,61.300000,64.800000,-5.400000,53.000000,-13.800000,January - November
