ref_date,year,month,monthly_avg_employment,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_employment,prev_year_ytd_avg,ytd_percentage_difference,ytd_avg_employment_2019,c2019_percentage_difference,ytd_month_range
2001-01-01,2001,1,1683.0,,,1683.0,0.0,,1912.0,-12.0,January - January
2001-02-01,2001,2,1623.0,,,1653.0,0.0,,1919.5,-13.9,January - February
2001-03-01,2001,3,1638.0,,,1648.0,0.0,,1939.67,-15.0,January - March
2001-04-01,2001,4,1714.0,,,1665.0,0.0,,1937.5,-14.1,January - April
2001-05-01,2001,5,1673.0,,,1666.0,0.0,,1928.4,-13.6,January - May
2001-06-01,2001,6,1783.0,,,1686.0,0.0,,1929.33,-12.6,January - June
2001-07-01,2001,7,1701.0,,,1688.0,0.0,,1927.0,-12.4,January - July
2001-08-01,2001,8,1778.0,,,1699.0,0.0,,1927.25,-11.8,January - August
2001-09-01,2001,9,1767.0,,,1707.0,0.0,,1929.78,-11.6,January - September
2001-10-01,2001,10,1652.0,,,1701.0,0.0,,1923.1,-11.5,January - October
2001-11-01,2001,11,1621.0,,,1694.0,0.0,,1919.64,-11.8,January - November
2001-12-01,2001,12,1527.0,,,1680.0,0.0,,1912.33,-12.1,January - December
2002-01-01,2002,1,1597.0,1683.0,-5.11,1597.0,1683.0,-5.11,1912.0,-16.5,January - January
2002-02-01,2002,2,1817.0,1623.0,11.95,1707.0,1653.0,3.27,1919.5,-11.1,January - February
2002-03-01,2002,3,1770.0,1638.0,8.06,1728.0,1648.0,4.85,1939.67,-10.9,January - March
2002-04-01,2002,4,1695.0,1714.0,-1.11,1720.0,1665.0,3.32,1937.5,-11.2,January - April
2002-05-01,2002,5,1554.0,1673.0,-7.11,1687.0,1666.0,1.22,1928.4,-12.5,January - May
2002-06-01,2002,6,1535.0,1783.0,-13.91,1661.0,1686.0,-1.44,1929.33,-13.9,January - June
2002-07-01,2002,7,1614.0,1701.0,-5.11,1655.0,1688.0,-1.97,1927.0,-14.1,January - July
2002-08-01,2002,8,1619.0,1778.0,-8.94,1650.0,1699.0,-2.88,1927.25,-14.4,January - August
2002-09-01,2002,9,1571.0,1767.0,-11.09,1641.0,1707.0,-3.83,1929.78,-14.9,January - September
2002-10-01,2002,10,1706.0,1652.0,3.27,1648.0,1701.0,-3.14,1923.1,-14.3,January - October
2002-11-01,2002,11,1991.0,1621.0,22.83,1679.0,1694.0,-0.88,1919.64,-12.5,January - November
2002-12-01,2002,12,1655.0,1527.0,8.38,1677.0,1680.0,-0.18,1912.33,-12.3,January - December
2003-01-01,2003,1,1885.0,1597.0,18.03,1885.0,1597.0,18.03,1912.0,-1.4,January - January
2003-02-01,2003,2,1737.0,1817.0,-4.4,1811.0,1707.0,6.09,1919.5,-5.7,January - February
2003-03-01,2003,3,1792.0,1770.0,1.24,1805.0,1728.0,4.44,1939.67,-7.0,January - March
2003-04-01,2003,4,1746.0,1695.0,3.01,1790.0,1720.0,4.08,1937.5,-7.6,January - April
2003-05-01,2003,5,1854.0,1554.0,19.31,1803.0,1687.0,6.89,1928.4,-6.5,January - May
2003-06-01,2003,6,1712.0,1535.0,11.53,1788.0,1661.0,7.6,1929.33,-7.3,January - June
2003-07-01,2003,7,1792.0,1614.0,11.03,1788.0,1655.0,8.08,1927.0,-7.2,January - July
2003-08-01,2003,8,1731.0,1619.0,6.92,1781.0,1650.0,7.94,1927.25,-7.6,January - August
2003-09-01,2003,9,1730.0,1571.0,10.12,1775.0,1641.0,8.17,1929.78,-8.0,January - September
2003-10-01,2003,10,1739.0,1706.0,1.93,1772.0,1648.0,7.53,1923.1,-7.9,January - October
2003-11-01,2003,11,1615.0,1991.0,-18.88,1758.0,1679.0,4.68,1919.64,-8.4,January - November
2003-12-01,2003,12,1786.0,1655.0,7.92,1760.0,1677.0,4.94,1912.33,-8.0,January - December
2004-01-01,2004,1,1511.0,1885.0,-19.84,1511.0,1885.0,-19.84,1912.0,-21.0,January - January
2004-02-01,2004,2,1522.0,1737.0,-12.38,1517.0,1811.0,-16.26,1919.5,-21.0,January - February
2004-03-01,2004,3,1508.0,1792.0,-15.85,1514.0,1805.0,-16.12,1939.67,-22.0,January - March
2004-04-01,2004,4,1609.0,1746.0,-7.85,1538.0,1790.0,-14.11,1937.5,-20.6,January - April
2004-05-01,2004,5,1956.0,1854.0,5.5,1621.0,1803.0,-10.07,1928.4,-15.9,January - May
2004-06-01,2004,6,1785.0,1712.0,4.26,1649.0,1788.0,-7.78,1929.33,-14.6,January - June
2004-07-01,2004,7,1738.0,1792.0,-3.01,1661.0,1788.0,-7.1,1927.0,-13.8,January - July
2004-08-01,2004,8,1688.0,1731.0,-2.48,1665.0,1781.0,-6.54,1927.25,-13.6,January - August
2004-09-01,2004,9,1678.0,1730.0,-3.01,1666.0,1775.0,-6.16,1929.78,-13.7,January - September
2004-10-01,2004,10,1680.0,1739.0,-3.39,1668.0,1772.0,-5.89,1923.1,-13.3,January - October
2004-11-01,2004,11,1630.0,1615.0,0.93,1664.0,1758.0,-5.32,1919.64,-13.3,January - November
2004-12-01,2004,12,1758.0,1786.0,-1.57,1672.0,1760.0,-5.0,1912.33,-12.6,January - December
2005-01-01,2005,1,1640.0,1511.0,8.54,1640.0,1511.0,8.54,1912.0,-14.2,January - January
2005-02-01,2005,2,1632.0,1522.0,7.23,1636.0,1517.0,7.88,1919.5,-14.8,January - February
2005-03-01,2005,3,1629.0,1508.0,8.02,1634.0,1514.0,7.93,1939.67,-15.8,January - March
2005-04-01,2005,4,1607.0,1609.0,-0.12,1627.0,1538.0,5.82,1937.5,-16.0,January - April
2005-05-01,2005,5,1549.0,1956.0,-20.81,1611.0,1621.0,-0.6,1928.4,-16.4,January - May
2005-06-01,2005,6,1705.0,1785.0,-4.48,1627.0,1649.0,-1.3,1929.33,-15.7,January - June
2005-07-01,2005,7,1733.0,1738.0,-0.29,1642.0,1661.0,-1.15,1927.0,-14.8,January - July
2005-08-01,2005,8,1758.0,1688.0,4.15,1657.0,1665.0,-0.48,1927.25,-14.0,January - August
2005-09-01,2005,9,1785.0,1678.0,6.38,1671.0,1666.0,0.29,1929.78,-13.4,January - September
2005-10-01,2005,10,1777.0,1680.0,5.77,1682.0,1668.0,0.84,1923.1,-12.6,January - October
2005-11-01,2005,11,1847.0,1630.0,13.31,1697.0,1664.0,1.95,1919.64,-11.6,January - November
2005-12-01,2005,12,1769.0,1758.0,0.63,1703.0,1672.0,1.83,1912.33,-11.0,January - December
2006-01-01,2006,1,1899.0,1640.0,15.79,1899.0,1640.0,15.79,1912.0,-0.7,January - January
2006-02-01,2006,2,1891.0,1632.0,15.87,1895.0,1636.0,15.83,1919.5,-1.3,January - February
2006-03-01,2006,3,1849.0,1629.0,13.51,1880.0,1634.0,15.06,1939.67,-3.1,January - March
2006-04-01,2006,4,1835.0,1607.0,14.19,1869.0,1627.0,14.84,1937.5,-3.6,January - April
2006-05-01,2006,5,1672.0,1549.0,7.94,1829.0,1611.0,13.52,1928.4,-5.1,January - May
2006-06-01,2006,6,1630.0,1705.0,-4.4,1796.0,1627.0,10.39,1929.33,-6.9,January - June
2006-07-01,2006,7,1631.0,1733.0,-5.89,1772.0,1642.0,7.93,1927.0,-8.0,January - July
2006-08-01,2006,8,1660.0,1758.0,-5.57,1758.0,1657.0,6.14,1927.25,-8.8,January - August
2006-09-01,2006,9,1667.0,1785.0,-6.61,1748.0,1671.0,4.63,1929.78,-9.4,January - September
2006-10-01,2006,10,1579.0,1777.0,-11.14,1731.0,1682.0,2.96,1923.1,-10.0,January - October
2006-11-01,2006,11,1598.0,1847.0,-13.48,1719.0,1697.0,1.33,1919.64,-10.4,January - November
2006-12-01,2006,12,1569.0,1769.0,-11.31,1707.0,1703.0,0.24,1912.33,-10.8,January - December
2007-01-01,2007,1,1575.0,1899.0,-17.06,1575.0,1899.0,-17.06,1912.0,-17.6,January - January
2007-02-01,2007,2,1643.0,1891.0,-13.11,1609.0,1895.0,-15.09,1919.5,-16.2,January - February
2007-03-01,2007,3,1607.0,1849.0,-13.09,1608.0,1880.0,-14.44,1939.67,-17.1,January - March
2007-04-01,2007,4,1614.0,1835.0,-12.04,1610.0,1869.0,-13.85,1937.5,-16.9,January - April
2007-05-01,2007,5,1577.0,1672.0,-5.68,1603.0,1829.0,-12.36,1928.4,-16.9,January - May
2007-06-01,2007,6,1649.0,1630.0,1.17,1611.0,1796.0,-10.31,1929.33,-16.5,January - June
2007-07-01,2007,7,1659.0,1631.0,1.72,1618.0,1772.0,-8.73,1927.0,-16.1,January - July
2007-08-01,2007,8,1631.0,1660.0,-1.75,1619.0,1758.0,-7.91,1927.25,-16.0,January - August
2007-09-01,2007,9,1607.0,1667.0,-3.6,1618.0,1748.0,-7.45,1929.78,-16.2,January - September
2007-10-01,2007,10,1697.0,1579.0,7.47,1626.0,1731.0,-6.09,1923.1,-15.5,January - October
2007-11-01,2007,11,1506.0,1598.0,-5.76,1615.0,1719.0,-6.06,1919.64,-15.9,January - November
2007-12-01,2007,12,1556.0,1569.0,-0.83,1610.0,1707.0,-5.66,1912.33,-15.8,January - December
2008-01-01,2008,1,1649.0,1575.0,4.7,1649.0,1575.0,4.7,1912.0,-13.8,January - January
2008-02-01,2008,2,1572.0,1643.0,-4.32,1611.0,1609.0,0.09,1919.5,-16.1,January - February
2008-03-01,2008,3,1637.0,1607.0,1.87,1619.0,1608.0,0.68,1939.67,-16.5,January - March
2008-04-01,2008,4,1563.0,1614.0,-3.16,1605.0,1610.0,-0.28,1937.5,-17.1,January - April
