ref_date,year,month,monthly_avg_weekly_earnings,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_weekly_earnings,prev_year_ytd_avg,ytd_percentage_difference,monthly_avg_earnings_2019,c2019_percentage_difference,ytd_month_range
2001-01-01,2001,1,361.99,,,361.99,0.0,,519.73,-30.4,January - January
2001-02-01,2001,2,345.01,,,353.5,0.0,,544.68,-35.1,January - February
2001-03-01,2001,3,350.93,,,352.64,0.0,,561.97,-37.2,January - March
2001-04-01,2001,4,356.45,,,353.6,0.0,,519.07,-31.9,January - April
2001-05-01,2001,5,352.53,,,353.38,0.0,,529.95,-33.3,January - May
2001-06-01,2001,6,364.24,,,355.19,0.0,,551.53,-35.6,January - June
2001-07-01,2001,7,352.85,,,354.86,0.0,,579.97,-38.8,January - July
2001-08-01,2001,8,341.28,,,353.16,0.0,,582.16,-39.3,January - August
2001-09-01,2001,9,369.84,,,355.01,0.0,,563.98,-37.1,January - September
2001-10-01,2001,10,360.01,,,355.51,0.0,,597.33,-40.5,January - October
2001-11-01,2001,11,378.76,,,357.63,0.0,,538.39,-33.6,January - November
2001-12-01,2001,12,395.8,,,360.81,0.0,,583.73,-38.2,January - December
2002-01-01,2002,1,374.31,361.99,3.4,374.31,361.99,3.4,519.73,-28.0,January - January
2002-02-01,2002,2,396.09,345.01,14.81,385.2,353.5,8.97,544.68,-29.3,January - February
2002-03-01,2002,3,378.46,350.93,7.84,382.95,352.64,8.6,561.97,-31.9,January - March
2002-04-01,2002,4,380.91,356.45,6.86,382.44,353.6,8.16,519.07,-26.3,January - April
2002-05-01,2002,5,389.61,352.53,10.52,383.88,353.38,8.63,529.95,-27.6,January - May
2002-06-01,2002,6,374.9,364.24,2.93,382.38,355.19,7.66,551.53,-30.7,January - June
2002-07-01,2002,7,379.47,352.85,7.54,381.96,354.86,7.64,579.97,-34.1,January - July
2002-08-01,2002,8,364.99,341.28,6.95,379.84,353.16,7.55,582.16,-34.8,January - August
2002-09-01,2002,9,372.16,369.84,0.63,378.99,355.01,6.75,563.98,-32.8,January - September
2002-10-01,2002,10,380.37,360.01,5.66,379.13,355.51,6.64,597.33,-36.5,January - October
2002-11-01,2002,11,354.73,378.76,-6.34,376.91,357.63,5.39,538.39,-30.0,January - November
2002-12-01,2002,12,340.64,395.8,-13.94,373.89,360.81,3.63,583.73,-35.9,January - December
2003-01-01,2003,1,320.71,374.31,-14.32,320.71,374.31,-14.32,519.73,-38.3,January - January
2003-02-01,2003,2,367.92,396.09,-7.11,344.31,385.2,-10.62,544.68,-36.8,January - February
2003-03-01,2003,3,335.97,378.46,-11.23,341.53,382.95,-10.82,561.97,-39.2,January - March
2003-04-01,2003,4,358.61,380.91,-5.85,345.8,382.44,-9.58,519.07,-33.4,January - April
2003-05-01,2003,5,351.7,389.61,-9.73,346.98,383.88,-9.61,529.95,-34.5,January - May
2003-06-01,2003,6,369.93,374.9,-1.33,350.81,382.38,-8.26,551.53,-36.4,January - June
2003-07-01,2003,7,364.93,379.47,-3.83,352.82,381.96,-7.63,579.97,-39.2,January - July
2003-08-01,2003,8,377.52,364.99,3.43,355.91,379.84,-6.3,582.16,-38.9,January - August
2003-09-01,2003,9,380.9,372.16,2.35,358.69,378.99,-5.36,563.98,-36.4,January - September
2003-10-01,2003,10,364.54,380.37,-4.16,359.27,379.13,-5.24,597.33,-39.9,January - October
2003-11-01,2003,11,366.78,354.73,3.4,359.96,376.91,-4.5,538.39,-33.1,January - November
2003-12-01,2003,12,353.42,340.64,3.75,359.41,373.89,-3.87,583.73,-38.4,January - December
2004-01-01,2004,1,398.09,320.71,24.13,398.09,320.71,24.13,519.73,-23.4,January - January
2004-02-01,2004,2,371.15,367.92,0.88,384.62,344.31,11.71,544.68,-29.4,January - February
2004-03-01,2004,3,399.34,335.97,18.86,389.53,341.53,14.05,561.97,-30.7,January - March
2004-04-01,2004,4,380.15,358.61,6.01,387.18,345.8,11.97,519.07,-25.4,January - April
2004-05-01,2004,5,401.47,351.7,14.15,390.04,346.98,12.41,529.95,-26.4,January - May
2004-06-01,2004,6,394.62,369.93,6.67,390.8,350.81,11.4,551.53,-29.1,January - June
2004-07-01,2004,7,395.22,364.93,8.3,391.43,352.82,10.94,579.97,-32.5,January - July
2004-08-01,2004,8,403.04,377.52,6.76,392.88,355.91,10.39,582.16,-32.5,January - August
2004-09-01,2004,9,391.48,380.9,2.78,392.73,358.69,9.49,563.98,-30.4,January - September
2004-10-01,2004,10,396.95,364.54,8.89,393.15,359.27,9.43,597.33,-34.2,January - October
2004-11-01,2004,11,401.4,366.78,9.44,393.9,359.96,9.43,538.39,-26.8,January - November
2004-12-01,2004,12,392.4,353.42,11.03,393.78,359.41,9.56,583.73,-32.5,January - December
2005-01-01,2005,1,402.64,398.09,1.14,402.64,398.09,1.14,519.73,-22.5,January - January
2005-02-01,2005,2,383.43,371.15,3.31,393.03,384.62,2.19,544.68,-27.8,January - February
2005-03-01,2005,3,408.1,399.34,2.19,398.06,389.53,2.19,561.97,-29.2,January - March
2005-04-01,2005,4,401.75,380.15,5.68,398.98,387.18,3.05,519.07,-23.1,January - April
2005-05-01,2005,5,399.2,401.47,-0.57,399.02,390.04,2.3,529.95,-24.7,January - May
2005-06-01,2005,6,372.42,394.62,-5.63,394.59,390.8,0.97,551.53,-28.5,January - June
