ref_date,year,month,monthly_spending,prev_year_monthly,monthly_percentage_difference,ytd_spending,prev_year_ytd,ytd_percentage_difference,ytd_spending_2019,ytd_percentage_difference_from_2019,ytd_month_range
1999-04-01,1999,4,4066000,,,4066000,0,,23307000,-82.6,January - April
1999-05-01,1999,5,3863000,,,7929000,0,,30574000,-74.1,January - May
1999-06-01,1999,6,4621000,,,12550000,0,,38706000,-67.6,January - June
1999-07-01,1999,7,5395000,,,17945000,0,,47280000,-62.0,January - July
1999-08-01,1999,8,4947000,,,22892000,0,,56004000,-59.1,January - August
1999-09-01,1999,9,4105000,,,26997000,0,,63392000,-57.4,January - September
1999-10-01,1999,10,3725000,,,30722000,0,,70427000,-56.4,January - October
1999-11-01,1999,11,3382000,,,34104000,0,,77079000,-55.8,January - November
1999-12-01,1999,12,3468000,,,37572000,0,,83891000,-55.2,January - December
2000-01-01,2000,1,2912000,,,2912000,0,,5250000,-44.5,January - January
2000-02-01,2000,2,3329000,,,6241000,0,,10619000,-41.2,January - February
2000-03-01,2000,3,3814000,,,10055000,0,,17063000,-41.1,January - March
2000-04-01,2000,4,3435000,4066000,-15.5,13490000,4066000,231.8,23307000,-42.1,January - April
2000-05-01,2000,5,3965000,3863000,2.6,17455000,7929000,120.1,30574000,-42.9,January - May
2000-06-01,2000,6,5153000,4621000,11.5,22608000,12550000,80.1,38706000,-41.6,January - June
2000-07-01,2000,7,6204000,5395000,15.0,28812000,17945000,60.6,47280000,-39.1,January - July
2000-08-01,2000,8,5883000,4947000,18.9,34695000,22892000,51.6,56004000,-38.0,January - August
2000-09-01,2000,9,4554000,4105000,10.9,39249000,26997000,45.4,63392000,-38.1,January - September
2000-10-01,2000,10,3806000,3725000,2.2,43055000,30722000,40.1,70427000,-38.9,January - October
2000-11-01,2000,11,3247000,3382000,-4.0,46302000,34104000,35.8,77079000,-39.9,January - November
2000-12-01,2000,12,3352000,3468000,-3.3,49654000,37572000,32.2,83891000,-40.8,January - December
2001-01-01,2001,1,3213000,2912000,10.3,3213000,2912000,10.3,5250000,-38.8,January - January
2001-02-01,2001,2,3509000,3329000,5.4,6722000,6241000,7.7,10619000,-36.7,January - February
2001-03-01,2001,3,4231000,3814000,10.9,10953000,10055000,8.9,17063000,-35.8,January - March
2001-04-01,2001,4,3922000,3435000,14.2,14875000,13490000,10.3,23307000,-36.2,January - April
2001-05-01,2001,5,4406000,3965000,11.1,19281000,17455000,10.5,30574000,-36.9,January - May
2001-06-01,2001,6,5462000,5153000,6.0,24743000,22608000,9.4,38706000,-36.1,January - June
2001-07-01,2001,7,6293000,6204000,1.4,31036000,28812000,7.7,47280000,-34.4,January - July
2001-08-01,2001,8,5889000,5883000,0.1,36925000,34695000,6.4,56004000,-34.1,January - August
2001-09-01,2001,9,4396000,4554000,-3.5,41321000,39249000,5.3,63392000,-34.8,January - September
2001-10-01,2001,10,4651000,3806000,22.2,45972000,43055000,6.8,70427000,-34.7,January - October
2001-11-01,2001,11,3594000,3247000,10.7,49566000,46302000,7.0,77079000,-35.7,January - November
2001-12-01,2001,12,3792000,3352000,13.1,53358000,49654000,7.5,83891000,-36.4,January - December
2002-01-01,2002,1,3133000,3213000,-2.5,3133000,3213000,-2.5,5250000,-40.3,January - January
2002-02-01,2002,2,3036000,3509000,-13.5,6169000,6722000,-8.2,10619000,-41.9,January - February
2002-03-01,2002,3,3526000,4231000,-16.7,9695000,10953000,-11.5,17063000,-43.2,January - March
2002-04-01,2002,4,3617000,3922000,-7.8,13312000,14875000,-10.5,23307000,-42.9,January - April
2002-05-01,2002,5,4245000,4406000,-3.7,17557000,19281000,-8.9,30574000,-42.6,January - May
2002-06-01,2002,6,4950000,5462000,-9.4,22507000,24743000,-9.0,38706000,-41.9,January - June
2002-07-01,2002,7,5878000,6293000,-6.6,28385000,31036000,-8.5,47280000,-40.0,January - July
2002-08-01,2002,8,5073000,5889000,-13.9,33458000,36925000,-9.4,56004000,-40.3,January - August
2002-09-01,2002,9,4394000,4396000,-0.0,37852000,41321000,-8.4,63392000,-40.3,January - September
2002-10-01,2002,10,4725000,4651000,1.6,42577000,45972000,-7.4,70427000,-39.5,January - October
2002-11-01,2002,11,4339000,3594000,20.7,46916000,49566000,-5.3,77079000,-39.1,January - November
2002-12-01,2002,12,3784000,3792000,-0.2,50700000,53358000,-5.0,83891000,-39.6,January - December
2003-01-01,2003,1,2949000,3133000,-5.9,2949000,3133000,-5.9,5250000,-43.8,January - January
2003-02-01,2003,2,4486000,3036000,47.8,7435000,6169000,20.5,10619000,-30.0,January - February
2003-03-01,2003,3,4895000,3526000,38.8,12330000,9695000,27.2,17063000,-27.7,January - March
2003-04-01,2003,4,3219000,3617000,-11.0,15549000,13312000,16.8,23307000,-33.3,January - April
2003-05-01,2003,5,3713000,4245000,-12.5,19262000,17557000,9.7,30574000,-37.0,January - May
2003-06-01,2003,6,4051000,4950000,-18.2,23313000,22507000,3.6,38706000,-39.8,January - June
2003-07-01,2003,7,4918000,5878000,-16.3,28231000,28385000,-0.5,47280000,-40.3,January - July
2003-08-01,2003,8,4934000,5073000,-2.7,33165000,33458000,-0.9,56004000,-40.8,January - August
2003-09-01,2003,9,5100000,4394000,16.1,38265000,37852000,1.1,63392000,-39.6,January - September
2003-10-01,2003,10,4617000,4725000,-2.3,42882000,42577000,0.7,70427000,-39.1,January - October
2003-11-01,2003,11,4374000,4339000,0.8,47256000,46916000,0.7,77079000,-38.7,January - November
2003-12-01,2003,12,2927000,3784000,-22.6,50183000,50700000,-1.0,83891000,-40.2,January - December
2004-01-01,2004,1,3822000,2949000,29.6,3822000,2949000,29.6,5250000,-27.2,January - January
2004-02-01,2004,2,5200000,4486000,15.9,9022000,7435000,21.3,10619000,-15.0,January - February
2004-03-01,2004,3,5622000,4895000,14.9,14644000,12330000,18.8,17063000,-14.2,January - March
2004-04-01,2004,4,3487000,3219000,8.3,18131000,15549000,16.6,23307000,-22.2,January - April
2004-05-01,2004,5,3879000,3713000,4.5,22010000,19262000,14.3,30574000,-28.0,January - May
2004-06-01,2004,6,4354000,4051000,7.5,26364000,23313000,13.1,38706000,-31.9,January - June
2004-07-01,2004,7,4970000,4918000,1.1,31334000,28231000,11.0,47280000,-33.7,January - July
2004-08-01,2004,8,4918000,4934000,-0.3,36252000,33165000,9.3,56004000,-35.3,January - August
2004-09-01,2004,9,5295000,5100000,3.8,41547000,38265000,8.6,63392000,-34.5,January - September
2004-10-01,2004,10,5053000,4617000,9.4,46600000,42882000,8.7,70427000,-33.8,January - October
