ref_date,year,month,monthly_spending,prev_year_monthly,monthly_percentage_difference,ytd_spending,prev_year_ytd,ytd_percentage_difference,ytd_spending_2019,ytd_percentage_difference_2019,ytd_month_range
1991-01-01,1991,1,10721000,,,10721000,0,,58214000,-81.6,January - January
1991-02-01,1991,2,10300000,,,21021000,0,,113234000,-81.4,January - February
1991-03-01,1991,3,12471000,,,33492000,0,,184852000,-81.9,January - March
1991-04-01,1991,4,13279000,,,46771000,0,,258894000,-81.9,January - April
1991-05-01,1991,5,16923000,,,63694000,0,,345237000,-81.6,January - May
1991-06-01,1991,6,17155000,,,80849000,0,,432229000,-81.3,January - June
1991-07-01,1991,7,17930000,,,98779000,0,,522369000,-81.1,January - July
1991-08-01,1991,8,17611000,,,116390000,0,,611508000,-81.0,January - August
1991-09-01,1991,9,15382000,,,131772000,0,,691494000,-80.9,January - September
1991-10-01,1991,10,15096000,,,146868000,0,,771288000,-81.0,January - October
1991-11-01,1991,11,14834000,,,161702000,0,,842596000,-80.8,January - November
1991-12-01,1991,12,16527000,,,178229000,0,,915606000,-80.5,January - December
1992-01-01,1992,1,13428000,10721000,25.2,13428000,10721000,25.2,58214000,-76.9,January - January
1992-02-01,1992,2,12931000,10300000,25.5,26359000,21021000,25.4,113234000,-76.7,January - February
1992-03-01,1992,3,14869000,12471000,19.2,41228000,33492000,23.1,184852000,-77.7,January - March
1992-04-01,1992,4,15541000,13279000,17.0,56769000,46771000,21.4,258894000,-78.1,January - April
1992-05-01,1992,5,16919000,16923000,0.0,73688000,63694000,15.7,345237000,-78.7,January - May
1992-06-01,1992,6,19530000,17155000,13.8,93218000,80849000,15.3,432229000,-78.4,January - June
1992-07-01,1992,7,20505000,17930000,14.4,113723000,98779000,15.1,522369000,-78.2,January - July
1992-08-01,1992,8,20245000,17611000,15.0,133968000,116390000,15.1,611508000,-78.1,January - August
1992-09-01,1992,9,17520000,15382000,13.9,151488000,131772000,15.0,691494000,-78.1,January - September
1992-10-01,1992,10,17330000,15096000,14.8,168818000,146868000,14.9,771288000,-78.1,January - October
1992-11-01,1992,11,17279000,14834000,16.5,186097000,161702000,15.1,842596000,-77.9,January - November
1992-12-01,1992,12,19018000,16527000,15.1,205115000,178229000,15.1,915606000,-77.6,January - December
1993-01-01,1993,1,13394000,13428000,-0.3,13394000,13428000,-0.3,58214000,-77.0,January - January
1993-02-01,1993,2,13713000,12931000,6.0,27107000,26359000,2.8,113234000,-76.1,January - February
1993-03-01,1993,3,15030000,14869000,1.1,42137000,41228000,2.2,184852000,-77.2,January - March
1993-04-01,1993,4,16318000,15541000,5.0,58455000,56769000,3.0,258894000,-77.4,January - April
1993-05-01,1993,5,18626000,16919000,10.1,77081000,73688000,4.6,345237000,-77.7,January - May
1993-06-01,1993,6,20767000,19530000,6.3,97848000,93218000,5.0,432229000,-77.4,January - June
1993-07-01,1993,7,21982000,20505000,7.2,119830000,113723000,5.4,522369000,-77.1,January - July
1993-08-01,1993,8,19131000,20245000,-5.5,138961000,133968000,3.7,611508000,-77.3,January - August
1993-09-01,1993,9,17741000,17520000,1.3,156702000,151488000,3.4,691494000,-77.3,January - September
1993-10-01,1993,10,17100000,17330000,-1.3,173802000,168818000,3.0,771288000,-77.5,January - October
1993-11-01,1993,11,17747000,17279000,2.7,191549000,186097000,2.9,842596000,-77.3,January - November
1993-12-01,1993,12,19479000,19018000,2.4,211028000,205115000,2.9,915606000,-77.0,January - December
1994-01-01,1994,1,14264000,13394000,6.5,14264000,13394000,6.5,58214000,-75.5,January - January
1994-02-01,1994,2,13541000,13713000,-1.3,27805000,27107000,2.6,113234000,-75.4,January - February
1994-03-01,1994,3,15892000,15030000,5.7,43697000,42137000,3.7,184852000,-76.4,January - March
1994-04-01,1994,4,16739000,16318000,2.6,60436000,58455000,3.4,258894000,-76.7,January - April
1994-05-01,1994,5,19166000,18626000,2.9,79602000,77081000,3.3,345237000,-76.9,January - May
1994-06-01,1994,6,21834000,20767000,5.1,101436000,97848000,3.7,432229000,-76.5,January - June
1994-07-01,1994,7,22906000,21982000,4.2,124342000,119830000,3.8,522369000,-76.2,January - July
1994-08-01,1994,8,21505000,19131000,12.4,145847000,138961000,5.0,611508000,-76.1,January - August
1994-09-01,1994,9,19096000,17741000,7.6,164943000,156702000,5.3,691494000,-76.1,January - September
1994-10-01,1994,10,18410000,17100000,7.7,183353000,173802000,5.5,771288000,-76.2,January - October
1994-11-01,1994,11,17545000,17747000,-1.1,200898000,191549000,4.9,842596000,-76.2,January - November
1994-12-01,1994,12,21516000,19479000,10.5,222414000,211028000,5.4,915606000,-75.7,January - December
1995-01-01,1995,1,14784000,14264000,3.6,14784000,14264000,3.6,58214000,-74.6,January - January
1995-02-01,1995,2,15165000,13541000,12.0,29949000,27805000,7.7,113234000,-73.6,January - February
1995-03-01,1995,3,18756000,15892000,18.0,48705000,43697000,11.5,184852000,-73.7,January - March
1995-04-01,1995,4,18836000,16739000,12.5,67541000,60436000,11.8,258894000,-73.9,January - April
1995-05-01,1995,5,22793000,19166000,18.9,90334000,79602000,13.5,345237000,-73.8,January - May
1995-06-01,1995,6,24822000,21834000,13.7,115156000,101436000,13.5,432229000,-73.4,January - June
1995-07-01,1995,7,24835000,22906000,8.4,139991000,124342000,12.6,522369000,-73.2,January - July
1995-08-01,1995,8,25873000,21505000,20.3,165864000,145847000,13.7,611508000,-72.9,January - August
1995-09-01,1995,9,22327000,19096000,16.9,188191000,164943000,14.1,691494000,-72.8,January - September
1995-10-01,1995,10,21483000,18410000,16.7,209674000,183353000,14.4,771288000,-72.8,January - October
1995-11-01,1995,11,20652000,17545000,17.7,230326000,200898000,14.6,842596000,-72.7,January - November
1995-12-01,1995,12,23687000,21516000,10.1,254013000,222414000,14.2,915606000,-72.3,January - December
1996-01-01,1996,1,16305000,14784000,10.3,16305000,14784000,10.3,58214000,-72.0,January - January
1996-02-01,1996,2,17148000,15165000,13.1,33453000,29949000,11.7,113234000,-70.5,January - February
1996-03-01,1996,3,21409000,18756000,14.1,54862000,48705000,12.6,184852000,-70.3,January - March
1996-04-01,1996,4,24729000,18836000,31.3,79591000,67541000,17.8,258894000,-69.3,January - April
1996-05-01,1996,5,28001000,22793000,22.8,107592000,90334000,19.1,345237000,-68.8,January - May
1996-06-01,1996,6,28583000,24822000,15.2,136175000,115156000,18.3,432229000,-68.5,January - June
1996-07-01,1996,7,29751000,24835000,19.8,165926000,139991000,18.5,522369000,-68.2,January - July
