date,year,month,campground,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_month_range
2021-01-01,2021,1,Congdon Creek,5.0,0.0,,5.0,0.0,,January - January
2021-02-01,2021,2,Congdon Creek,0.0,0.0,,5.0,0.0,,January - February
2021-03-01,2021,3,Congdon Creek,0.0,0.0,,5.0,0.0,,January - March
2021-04-01,2021,4,Congdon Creek,5.0,0.0,,10.0,0.0,,January - April
2021-05-01,2021,5,Congdon Creek,255.0,0.0,,265.0,0.0,,January - May
2021-06-01,2021,6,Congdon Creek,493.0,335.0,47.2,758.0,335.0,126.3,January - June
2021-07-01,2021,7,Congdon Creek,557.0,432.0,28.9,1315.0,767.0,71.4,January - July
2021-08-01,2021,8,Congdon Creek,784.0,320.0,145.0,2099.0,1087.0,93.1,January - August
2021-09-01,2021,9,Congdon Creek,494.0,223.0,121.5,2593.0,1310.0,97.9,January - September
2021-10-01,2021,10,Congdon Creek,9.0,0.0,,2602.0,1310.0,98.6,January - October
2021-11-01,2021,11,Congdon Creek,0.0,0.0,,2602.0,1310.0,98.6,January - November
2021-12-01,2021,12,Congdon Creek,0.0,0.0,,2602.0,1310.0,98.6,January - December
2021-01-01,2021,1,Conrad,0.0,0.0,,0.0,0.0,,January - January
2021-02-01,2021,2,Conrad,0.0,0.0,,0.0,0.0,,January - February
2021-03-01,2021,3,Conrad,0.0,0.0,,0.0,0.0,,January - March
2021-04-01,2021,4,Conrad,14.0,0.0,,14.0,0.0,,January - April
2021-05-01,2021,5,Conrad,343.0,3.0,11333.3,357.0,3.0,11800.0,January - May
2021-06-01,2021,6,Conrad,529.0,521.0,1.5,886.0,524.0,69.1,January - June
2021-07-01,2021,7,Conrad,733.0,637.0,15.1,1619.0,1161.0,39.4,January - July
2021-08-01,2021,8,Conrad,744.0,691.0,7.7,2363.0,1852.0,27.6,January - August
2021-09-01,2021,9,Conrad,481.0,492.0,-2.2,2844.0,2344.0,21.3,January - September
2021-10-01,2021,10,Conrad,0.0,0.0,,2844.0,2344.0,21.3,January - October
2021-11-01,2021,11,Conrad,0.0,0.0,,2844.0,2344.0,21.3,January - November
2021-12-01,2021,12,Conrad,0.0,0.0,,2844.0,2344.0,21.3,January - December
2021-01-01,2021,1,Fox Lake,0.0,0.0,,0.0,0.0,,January - January
2021-02-01,2021,2,Fox Lake,0.0,0.0,,0.0,0.0,,January - February
2021-03-01,2021,3,Fox Lake,0.0,0.0,,0.0,0.0,,January - March
2021-04-01,2021,4,Fox Lake,3.0,0.0,,3.0,0.0,,January - April
2021-05-01,2021,5,Fox Lake,352.0,11.0,3100.0,355.0,11.0,3127.3,January - May
2021-06-01,2021,6,Fox Lake,718.0,618.0,16.2,1073.0,629.0,70.6,January - June
2021-07-01,2021,7,Fox Lake,764.0,700.0,9.1,1837.0,1329.0,38.2,January - July
2021-08-01,2021,8,Fox Lake,570.0,564.0,1.1,2407.0,1893.0,27.2,January - August
2021-09-01,2021,9,Fox Lake,332.0,275.0,20.7,2739.0,2168.0,26.3,January - September
2021-10-01,2021,10,Fox Lake,5.0,2.0,150.0,2744.0,2170.0,26.5,January - October
2021-11-01,2021,11,Fox Lake,2.0,0.0,,2746.0,2170.0,26.5,January - November
2021-12-01,2021,12,Fox Lake,0.0,0.0,,2746.0,2170.0,26.5,January - December
2021-01-01,2021,1,Marsh Lake,0.0,3.0,-100.0,0.0,3.0,-100.0,January - January
2021-02-01,2021,2,Marsh Lake,0.0,0.0,,0.0,3.0,-100.0,January - February
2021-03-01,2021,3,Marsh Lake,3.0,0.0,,3.0,3.0,0.0,January - March
2021-04-01,2021,4,Marsh Lake,16.0,0.0,,19.0,3.0,533.3,January - April
