ref_date,visitors
2012-06-01,12122.0
2019-08-01,24485.0
2014-08-01,15561.0
2015-08-01,17480.0
2016-03-01,35.0
2021-10-01,250.0
2007-06-01,11001.0
2014-10-01,46.0
2018-01-01,3.0
2010-01-01,8.0
2010-11-01,4.0
2015-03-01,2.0
2011-02-01,22.0
2008-08-01,12250.0
2015-07-01,19949.0
2018-10-01,55.0
2008-03-01,16.0
2011-10-01,64.0
2022-01-01,12.0
2009-04-01,15.0
2008-01-01,2.0
2022-03-01,13.0
2016-04-01,64.0
2006-03-01,2.0
2020-08-01,12403.0
2019-07-01,25912.0
2017-05-01,6594.0
2023-07-01,27286.0
2008-06-01,11826.0
2022-10-01,225.0
2015-10-01,129.0
2018-05-01,6999.0
2016-05-01,5892.0
2013-08-01,15379.0
2020-10-01,106.0
2009-11-01,4.0
2007-04-01,6.0
2022-12-01,5.0
2019-01-01,9.0
2017-03-01,12.0
2023-12-01,2.0
2008-11-01,5.0
2006-04-01,2.0
2011-06-01,11896.0
2017-08-01,23190.0
2012-08-01,13190.0
2008-04-01,15.0
2006-09-01,801.0
2010-06-01,12453.0
2021-05-01,4987.0
2016-01-01,3.0
2013-11-01,2.0
2009-02-01,10.0
2010-08-01,14003.0
2022-07-01,22073.0
2016-07-01,22061.0
2007-05-01,1909.0
2013-09-01,4337.0
2023-05-01,7292.0
2014-05-01,3649.0
2020-07-01,12648.0
2015-06-01,15998.0
2020-11-01,2.0
2009-10-01,83.0
2023-02-01,15.0
2013-01-01,4.0
2022-04-01,195.0
2019-02-01,13.0
2018-09-01,7836.0
2011-07-01,14801.0
2006-05-01,1087.0
2009-12-01,7.0
2008-10-01,34.0
2007-12-01,7.0
2011-12-01,3.0
2006-10-01,17.0
2014-04-01,22.0
2021-07-01,12782.0
2007-07-01,15082.0
2009-03-01,3.0
2009-08-01,12049.0
2014-09-01,3993.0
2010-04-01,38.0
2010-10-01,87.0
2008-09-01,4241.0
2014-01-01,10.0
2015-11-01,10.0
2016-11-01,4.0
2011-11-01,6.0
2004-05-01,2.0
2021-12-01,3.0
2018-07-01,28505.0
2022-09-01,10353.0
2023-08-01,25983.0
2006-07-01,8347.0
2006-01-01,7.0
2007-08-01,13245.0
2011-05-01,3023.0
2014-02-01,8.0
2016-10-01,70.0
2013-12-01,5.0
2012-04-01,5.0
2007-02-01,2.0
2017-11-01,2.0
2018-06-01,23676.0
2010-07-01,16711.0
2021-09-01,9066.0
2019-06-01,23776.0
2017-04-01,49.0
2008-05-01,3423.0
2017-09-01,8833.0
2021-04-01,213.0
2023-03-01,41.0
2009-05-01,2902.0
2022-11-01,6.0
2010-12-01,2.0
2013-05-01,2582.0
2013-10-01,45.0
2014-06-01,14016.0
2021-01-01,18.0
2013-04-01,8.0
2018-11-01,6.0
2019-04-01,37.0
2008-07-01,14407.0
2011-03-01,2.0
2020-01-01,11.0
2022-02-01,13.0
2018-12-01,2.0
2016-06-01,20318.0
2009-06-01,11684.0
2016-08-01,19845.0
2018-08-01,23954.0
2017-06-01,19321.0
2019-05-01,7724.0
2023-10-01,244.0
2011-08-01,12750.0
2019-10-01,30.0
2013-03-01,15.0
2014-11-01,5.0
2010-02-01,5.0
2006-11-01,9.0
2007-11-01,3.0
2014-03-01,2.0
2023-04-01,158.0
2010-05-01,3475.0
2019-09-01,9592.0
2020-09-01,5297.0
2023-06-01,22967.0
2013-07-01,15043.0
2012-07-01,14042.0
2021-11-01,11.0
2020-04-01,9.0
2021-02-01,5.0
2010-09-01,5115.0
2015-05-01,5300.0
2021-06-01,10822.0
2022-08-01,22463.0
2020-05-01,109.0
2017-07-01,23976.0
2023-01-01,24.0
2018-03-01,7.0
2013-02-01,11.0
2012-05-01,2864.0
2011-09-01,4520.0
2015-09-01,6000.0
2021-08-01,15177.0
2020-06-01,9758.0
2013-06-01,12773.0
2016-09-01,5656.0
2006-06-01,6699.0
2009-09-01,5029.0
2012-10-01,43.0
2011-04-01,34.0
2019-03-01,20.0
2017-12-01,2.0
2010-03-01,16.0
2015-12-01,5.0
2000-07-01,2.0
2022-06-01,21985.0
2009-07-01,16270.0
2016-02-01,6.0
2018-04-01,32.0
2018-02-01,5.0
2007-10-01,36.0
2023-11-01,15.0
2020-02-01,3.0
2017-02-01,6.0
2009-01-01,3.0
2022-05-01,6593.0
2014-07-01,16926.0
2023-09-01,10825.0
2012-09-01,4130.0
2006-08-01,5975.0
2007-09-01,3506.0
2021-03-01,17.0
2017-10-01,228.0
2007-01-01,5.0
2012-03-01,2.0
2008-02-01,2.0
