date,year,month,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_month_range
2006-01-01,2006,1,7.0,,,7.0,0.0,,January - January
2006-02-01,2006,2,0.0,,,7.0,0.0,,January - February
2006-03-01,2006,3,2.0,,,9.0,0.0,,January - March
2006-04-01,2006,4,2.0,,,11.0,0.0,,January - April
2006-05-01,2006,5,1087.0,,,1098.0,0.0,,January - May
2006-06-01,2006,6,6699.0,,,7797.0,0.0,,January - June
2006-07-01,2006,7,8347.0,,,16144.0,0.0,,January - July
2006-08-01,2006,8,5975.0,,,22119.0,0.0,,January - August
2006-09-01,2006,9,801.0,,,22920.0,0.0,,January - September
2006-10-01,2006,10,17.0,,,22937.0,0.0,,January - October
2006-11-01,2006,11,9.0,,,22946.0,0.0,,January - November
2006-12-01,2006,12,0.0,,,22946.0,0.0,,January - December
2007-01-01,2007,1,5.0,7.0,-28.6,5.0,7.0,-28.6,January - January
2007-02-01,2007,2,2.0,0.0,,7.0,7.0,0.0,January - February
2007-03-01,2007,3,0.0,2.0,-100.0,7.0,9.0,-22.2,January - March
2007-04-01,2007,4,6.0,2.0,200.0,13.0,11.0,18.2,January - April
2007-05-01,2007,5,1909.0,1087.0,75.6,1922.0,1098.0,75.0,January - May
2007-06-01,2007,6,11001.0,6699.0,64.2,12923.0,7797.0,65.7,January - June
2007-07-01,2007,7,15082.0,8347.0,80.7,28005.0,16144.0,73.5,January - July
2007-08-01,2007,8,13245.0,5975.0,121.7,41250.0,22119.0,86.5,January - August
2007-09-01,2007,9,3506.0,801.0,337.7,44756.0,22920.0,95.3,January - September
2007-10-01,2007,10,36.0,17.0,111.8,44792.0,22937.0,95.3,January - October
2007-11-01,2007,11,3.0,9.0,-66.7,44795.0,22946.0,95.2,January - November
2007-12-01,2007,12,7.0,0.0,,44802.0,22946.0,95.2,January - December
2008-01-01,2008,1,2.0,5.0,-60.0,2.0,5.0,-60.0,January - January
2008-02-01,2008,2,2.0,2.0,0.0,4.0,7.0,-42.9,January - February
2008-03-01,2008,3,16.0,0.0,,20.0,7.0,185.7,January - March
2008-04-01,2008,4,15.0,6.0,150.0,35.0,13.0,169.2,January - April
2008-05-01,2008,5,3423.0,1909.0,79.3,3458.0,1922.0,79.9,January - May
2008-06-01,2008,6,11826.0,11001.0,7.5,15284.0,12923.0,18.3,January - June
