date,year,month,origin,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_total_2019,c2019_percentage_difference,ytd_month_range
2019-01-01,2019,1,All,0.0,,,0.0,0.0,,0.0,,January - January
2019-02-01,2019,2,All,0.0,,,0.0,0.0,,0.0,,January - February
2019-03-01,2019,3,All,0.0,,,0.0,0.0,,0.0,,January - March
2019-04-01,2019,4,All,0.0,,,0.0,0.0,,0.0,,January - April
2019-05-01,2019,5,All,0.0,,,0.0,0.0,,0.0,,January - May
2019-06-01,2019,6,All,0.0,,,0.0,0.0,,0.0,,January - June
2019-07-01,2019,7,All,0.0,,,0.0,0.0,,0.0,,January - July
2019-08-01,2019,8,All,0.0,,,0.0,0.0,,0.0,,January - August
2019-09-01,2019,9,All,0.0,,,0.0,0.0,,0.0,,January - September
2019-10-01,2019,10,All,0.0,,,0.0,0.0,,0.0,,January - October
2019-11-01,2019,11,All,6500.0,,,6500.0,0.0,,6500.0,0.0,January - November
2019-12-01,2019,12,All,7400.0,,,13900.0,0.0,,13900.0,0.0,January - December
2019-01-01,2019,1,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - January
2019-02-01,2019,2,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - February
2019-03-01,2019,3,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - March
2019-04-01,2019,4,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - April
2019-05-01,2019,5,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - May
2019-06-01,2019,6,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - June
2019-07-01,2019,7,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - July
2019-08-01,2019,8,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - August
2019-09-01,2019,9,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - September
2019-10-01,2019,10,Inter-provincial,0.0,,,0.0,0.0,,0.0,,January - October
2019-11-01,2019,11,Inter-provincial,2600.0,,,2600.0,0.0,,2600.0,0.0,January - November
2019-12-01,2019,12,Inter-provincial,2800.0,,,5400.0,0.0,,5400.0,0.0,January - December
2019-01-01,2019,1,Intra-provincial,0.0,,,0.0,0.0,,0.0,,January - January
2019-02-01,2019,2,Intra-provincial,0.0,,,0.0,0.0,,0.0,,January - February
2019-03-01,2019,3,Intra-provincial,0.0,,,0.0,0.0,,0.0,,January - March
