"date","year","month","transportation_type","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"2018-01-01",2018,1,All,6100.0,,,6100.0,0.0,,January - January
"2018-02-01",2018,2,All,6700.0,,,12800.0,0.0,,January - February
"2018-03-01",2018,3,All,6000.0,,,18800.0,0.0,,January - March
"2018-04-01",2018,4,All,10000.0,,,28800.0,0.0,,January - April
"2018-05-01",2018,5,All,48400.0,,,77200.0,0.0,,January - May
"2018-06-01",2018,6,All,86900.0,,,164100.0,0.0,,January - June
"2018-07-01",2018,7,All,112900.0,,,277000.0,0.0,,January - July
"2018-08-01",2018,8,All,116000.0,,,393000.0,0.0,,January - August
"2018-09-01",2018,9,All,67000.0,,,460000.0,0.0,,January - September
"2018-10-01",2018,10,All,15800.0,,,475800.0,0.0,,January - October
"2018-11-01",2018,11,All,7700.0,,,483500.0,0.0,,January - November
"2018-12-01",2018,12,All,7100.0,,,490600.0,0.0,,January - December
"2018-01-01",2018,1,automobile,2700.0,,,2700.0,0.0,,January - January
"2018-02-01",2018,2,automobile,2600.0,,,5300.0,0.0,,January - February
"2018-03-01",2018,3,automobile,3100.0,,,8400.0,0.0,,January - March
"2018-04-01",2018,4,automobile,7100.0,,,15500.0,0.0,,January - April
"2018-05-01",2018,5,automobile,31600.0,,,47100.0,0.0,,January - May
"2018-06-01",2018,6,automobile,57700.0,,,104800.0,0.0,,January - June
"2018-07-01",2018,7,automobile,84300.0,,,189100.0,0.0,,January - July
"2018-08-01",2018,8,automobile,82000.0,,,271100.0,0.0,,January - August
"2018-09-01",2018,9,automobile,49100.0,,,320200.0,0.0,,January - September
"2018-10-01",2018,10,automobile,12700.0,,,332900.0,0.0,,January - October
"2018-11-01",2018,11,automobile,4000.0,,,336900.0,0.0,,January - November
"2018-12-01",2018,12,automobile,3100.0,,,340000.0,0.0,,January - December
"2018-01-01",2018,1,bus,0.0,,,0.0,0.0,,January - January
"2018-02-01",2018,2,bus,0.0,,,0.0,0.0,,January - February
"2018-03-01",2018,3,bus,0.0,,,0.0,0.0,,January - March
"2018-04-01",2018,4,bus,0.0,,,0.0,0.0,,January - April
"2018-05-01",2018,5,bus,6200.0,,,6200.0,0.0,,January - May
"2018-06-01",2018,6,bus,9400.0,,,15600.0,0.0,,January - June
"2018-07-01",2018,7,bus,8400.0,,,24000.0,0.0,,January - July
"2018-08-01",2018,8,bus,13200.0,,,37200.0,0.0,,January - August
"2018-09-01",2018,9,bus,6600.0,,,43800.0,0.0,,January - September
"2018-10-01",2018,10,bus,0.0,,,43800.0,0.0,,January - October
"2018-11-01",2018,11,bus,0.0,,,43800.0,0.0,,January - November
"2018-12-01",2018,12,bus,0.0,,,43800.0,0.0,,January - December
"2018-01-01",2018,1,plane,3400.0,,,3400.0,0.0,,January - January
"2018-02-01",2018,2,plane,4100.0,,,7500.0,0.0,,January - February
"2018-03-01",2018,3,plane,2900.0,,,10400.0,0.0,,January - March
"2018-04-01",2018,4,plane,2900.0,,,13300.0,0.0,,January - April
"2018-05-01",2018,5,plane,4300.0,,,17600.0,0.0,,January - May
