date,year,month,location,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_total_2019,c2019_percentage_difference,ytd_month_range
1990-01-01,1990,1,Whitehorse,92,119,-22.7,92,119,-22.7,31,196.8,January - January
1990-02-01,1990,2,Whitehorse,243,203,19.7,335,322,4.0,90,272.2,January - February
1990-03-01,1990,3,Whitehorse,220,325,-32.3,555,647,-14.2,139,299.3,January - March
1990-04-01,1990,4,Whitehorse,189,278,-32.0,744,925,-19.6,198,275.8,January - April
1990-05-01,1990,5,Whitehorse,377,286,31.8,1121,1211,-7.4,282,297.5,January - May
1990-06-01,1990,6,Whitehorse,539,445,21.1,1660,1656,0.2,1552,7.0,January - June
1990-07-01,1990,7,Whitehorse,1150,1038,10.8,2810,2694,4.3,2753,2.1,January - July
1990-08-01,1990,8,Whitehorse,926,680,36.2,3736,3374,10.7,3932,-5.0,January - August
1990-09-01,1990,9,Whitehorse,613,535,14.6,4349,3909,11.3,4697,-7.4,January - September
1990-10-01,1990,10,Whitehorse,347,242,43.4,4696,4151,13.1,4750,-1.1,January - October
1990-11-01,1990,11,Whitehorse,180,166,8.4,4876,4317,12.9,4761,2.4,January - November
1990-12-01,1990,12,Whitehorse,65,304,-78.6,4941,4621,6.9,4812,2.7,January - December
1990-01-01,1990,1,Yukon,4105,3943,4.1,4105,3943,4.1,3897,5.3,January - January
1990-02-01,1990,2,Yukon,3889,4066,-4.4,7994,8009,-0.2,7490,6.7,January - February
1990-03-01,1990,3,Yukon,8202,6359,29.0,16196,14368,12.7,14237,13.8,January - March
1990-04-01,1990,4,Yukon,10705,8713,22.9,26901,23081,16.6,24422,10.2,January - April
1990-05-01,1990,5,Yukon,17879,16099,11.1,44780,39180,14.3,83567,-46.4,January - May
1990-06-01,1990,6,Yukon,45649,45258,0.9,90429,84438,7.1,185818,-51.3,January - June
1990-07-01,1990,7,Yukon,76738,78386,-2.1,167167,162824,2.7,306133,-45.4,January - July
1990-08-01,1990,8,Yukon,66405,62581,6.1,233572,225405,3.6,419587,-44.3,January - August
1990-09-01,1990,9,Yukon,28217,25841,9.2,261789,251246,4.2,484785,-46.0,January - September
1990-10-01,1990,10,Yukon,9741,9599,1.5,271530,260845,4.1,496485,-45.3,January - October
1990-11-01,1990,11,Yukon,4977,5214,-4.5,276507,266059,3.9,500857,-44.8,January - November
1990-12-01,1990,12,Yukon,4290,5389,-20.4,280797,271448,3.4,505027,-44.4,January - December
1991-01-01,1991,1,Beaver Creek,1481,1693,-12.5,1481,1693,-12.5,1625,-8.9,January - January
1991-02-01,1991,2,Beaver Creek,1535,1574,-2.5,3016,3267,-7.7,3005,0.4,January - February
1991-03-01,1991,3,Beaver Creek,2645,2628,0.6,5661,5895,-4.0,5391,5.0,January - March
1991-04-01,1991,4,Beaver Creek,2695,2666,1.1,8356,8561,-2.4,8868,-5.8,January - April
1991-05-01,1991,5,Beaver Creek,6077,6021,0.9,14433,14582,-1.0,15410,-6.3,January - May
1991-06-01,1991,6,Beaver Creek,18015,18372,-1.9,32448,32954,-1.5,27597,17.6,January - June
1991-07-01,1991,7,Beaver Creek,31417,31965,-1.7,63865,64919,-1.6,43623,46.4,January - July
1991-08-01,1991,8,Beaver Creek,28840,28412,1.5,92705,93331,-0.7,59387,56.1,January - August
