date,year,month,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_month_range
2019-01-01,2019,1,12213000.000,,,12213000.000,0.000,,January - January
2019-02-01,2019,2,17249000.000,,,29462000.000,0.000,,January - February
2019-03-01,2019,3,17383000.000,,,46845000.000,0.000,,January - March
2019-04-01,2019,4,13767000.000,,,60612000.000,0.000,,January - April
2019-05-01,2019,5,22100000.000,,,82712000.000,0.000,,January - May
2019-06-01,2019,6,35831000.000,,,118543000.000,0.000,,January - June
2019-07-01,2019,7,41999000.000,,,160542000.000,0.000,,January - July
2019-08-01,2019,8,39981000.000,,,200523000.000,0.000,,January - August
2019-09-01,2019,9,29278000.000,,,229801000.000,0.000,,January - September
2019-10-01,2019,10,17075000.000,,,246876000.000,0.000,,January - October
2019-11-01,2019,11,13826000.000,,,260702000.000,0.000,,January - November
2019-12-01,2019,12,15263000.000,,,275965000.000,0.000,,January - December
2020-01-01,2020,1,10876000.000,12213000.000,-10.9,10876000.000,12213000.000,-10.9,January - January
2020-02-01,2020,2,12439000.000,17249000.000,-27.9,23315000.000,29462000.000,-20.9,January - February
2020-03-01,2020,3,8486000.000,17383000.000,-51.2,31801000.000,46845000.000,-32.1,January - March
2020-04-01,2020,4,5395000.000,13767000.000,-60.8,37196000.000,60612000.000,-38.6,January - April
2020-05-01,2020,5,6493000.000,22100000.000,-70.6,43689000.000,82712000.000,-47.2,January - May
2020-06-01,2020,6,8587000.000,35831000.000,-76.0,52276000.000,118543000.000,-55.9,January - June
2020-07-01,2020,7,10914000.000,41999000.000,-74.0,63190000.000,160542000.000,-60.6,January - July
2020-08-01,2020,8,11405000.000,39981000.000,-71.5,74595000.000,200523000.000,-62.8,January - August
2020-09-01,2020,9,9558000.000,29278000.000,-67.4,84153000.000,229801000.000,-63.4,January - September
2020-10-01,2020,10,7979000.000,17075000.000,-53.3,92132000.000,246876000.000,-62.7,January - October
2020-11-01,2020,11,6584000.000,13826000.000,-52.4,98716000.000,260702000.000,-62.1,January - November
2020-12-01,2020,12,7193000.000,15263000.000,-52.9,105909000.000,275965000.000,-61.6,January - December
2021-01-01,2021,1,7696000.000,10876000.000,-29.2,7696000.000,10876000.000,-29.2,January - January
2021-02-01,2021,2,8657000.000,12439000.000,-30.4,16353000.000,23315000.000,-29.9,January - February
2021-03-01,2021,3,10417000.000,8486000.000,22.8,26770000.000,31801000.000,-15.8,January - March
2021-04-01,2021,4,10580000.000,5395000.000,96.1,37350000.000,37196000.000,0.4,January - April
2021-05-01,2021,5,12766000.000,6493000.000,96.6,50116000.000,43689000.000,14.7,January - May
2021-06-01,2021,6,16251000.000,8587000.000,89.3,66367000.000,52276000.000,27.0,January - June
2021-07-01,2021,7,18284000.000,10914000.000,67.5,84651000.000,63190000.000,34.0,January - July
2021-08-01,2021,8,20372000.000,11405000.000,78.6,105023000.000,74595000.000,40.8,January - August
2021-09-01,2021,9,17504000.000,9558000.000,83.1,122527000.000,84153000.000,45.6,January - September
2021-10-01,2021,10,13921000.000,7979000.000,74.5,136448000.000,92132000.000,48.1,January - October
2021-11-01,2021,11,14300000.000,6584000.000,117.2,150748000.000,98716000.000,52.7,January - November
2021-12-01,2021,12,12234000.000,7193000.000,70.1,162982000.000,105909000.000,53.9,January - December
2022-01-01,2022,1,9928000.000,7696000.000,29.0,9928000.000,7696000.000,29.0,January - January
2022-02-01,2022,2,10976000.000,8657000.000,26.8,20904000.000,16353000.000,27.8,January - February
2022-03-01,2022,3,13419000.000,10417000.000,28.8,34323000.000,26770000.000,28.2,January - March
2022-04-01,2022,4,13851000.000,10580000.000,30.9,48174000.000,37350000.000,29.0,January - April
2022-05-01,2022,5,22003000.000,12766000.000,72.4,70177000.000,50116000.000,40.0,January - May
2022-06-01,2022,6,34377000.000,16251000.000,111.5,104554000.000,66367000.000,57.5,January - June
2022-07-01,2022,7,36566000.000,18284000.000,100.0,141120000.000,84651000.000,66.7,January - July
2022-08-01,2022,8,36263000.000,20372000.000,78.0,177383000.000,105023000.000,68.9,January - August
2022-09-01,2022,9,27690000.000,17504000.000,58.2,205073000.000,122527000.000,67.4,January - September
2022-10-01,2022,10,16898000.000,13921000.000,21.4,221971000.000,136448000.000,62.7,January - October
2022-11-01,2022,11,17585000.000,14300000.000,23.0,239556000.000,150748000.000,58.9,January - November
2022-12-01,2022,12,16150000.000,12234000.000,32.0,255706000.000,162982000.000,56.9,January - December
2023-01-01,2023,1,13238000.000,9928000.000,33.3,13238000.000,9928000.000,33.3,January - January
2023-02-01,2023,2,15023000.000,10976000.000,36.9,28261000.000,20904000.000,35.2,January - February
2023-03-01,2023,3,20156000.000,13419000.000,50.2,48417000.000,34323000.000,41.1,January - March
2023-04-01,2023,4,20087000.000,13851000.000,45.0,68504000.000,48174000.000,42.2,January - April
2023-05-01,2023,5,30087000.000,22003000.000,36.7,98591000.000,70177000.000,40.5,January - May
2023-06-01,2023,6,43119000.000,34377000.000,25.4,141710000.000,104554000.000,35.5,January - June
2023-07-01,2023,7,46569000.000,36566000.000,27.4,188279000.000,141120000.000,33.4,January - July
2023-08-01,2023,8,45645000.000,36263000.000,25.9,233924000.000,177383000.000,31.9,January - August
2023-09-01,2023,9,33876000.000,27690000.000,22.3,267800000.000,205073000.000,30.6,January - September
2023-10-01,2023,10,18990000.000,16898000.000,12.4,286790000.000,221971000.000,29.2,January - October
2023-11-01,2023,11,15627000.000,17585000.000,-11.1,302417000.000,239556000.000,26.2,January - November
2023-12-01,2023,12,18359000.000,16150000.000,13.7,320776000.000,255706000.000,25.4,January - December
2024-01-01,2024,1,15551000.000,13238000.000,17.5,15551000.000,13238000.000,17.5,January - January
2024-02-01,2024,2,19898000.000,15023000.000,32.5,35449000.000,28261000.000,25.4,January - February
2024-03-01,2024,3,27230000.000,20156000.000,35.1,62679000.000,48417000.000,29.5,January - March
2024-04-01,2024,4,30208000.000,20087000.000,50.4,92887000.000,68504000.000,35.6,January - April
2024-05-01,2024,5,29659000.000,30087000.000,-1.4,122546000.000,98591000.000,24.3,January - May
2024-06-01,2024,6,43414000.000,43119000.000,0.7,165960000.000,141710000.000,17.1,January - June
2024-07-01,2024,7,49369000.000,46569000.000,6.0,215329000.000,188279000.000,14.4,January - July
2024-08-01,2024,8,49164000.000,45645000.000,7.7,264493000.000,233924000.000,13.1,January - August
2024-09-01,2024,9,43571000.000,33876000.000,28.6,308064000.000,267800000.000,15.0,January - September
2024-10-01,2024,10,24042000.000,18990000.000,26.6,332106000.000,286790000.000,15.8,January - October
