"date","year","month","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"2025-01-01",2025,1,9073000.00,,,9073000.00,0.00,,January - January
"2025-02-01",2025,2,8549000.00,,,17622000.00,0.00,,January - February
"2025-03-01",2025,3,9893000.00,,,27515000.00,0.00,,January - March
"2025-04-01",2025,4,10377000.00,,,37892000.00,0.00,,January - April
"2025-05-01",2025,5,14907000.00,,,52799000.00,0.00,,January - May
"2025-06-01",2025,6,15403000.00,,,68202000.00,0.00,,January - June
"2025-07-01",2025,7,16865000.00,,,85067000.00,0.00,,January - July
"2025-08-01",2025,8,16733000.00,,,101800000.00,0.00,,January - August
"2025-09-01",2025,9,13723000.00,,,115523000.00,0.00,,January - September
"2025-10-01",2025,10,10988000.00,,,126511000.00,0.00,,January - October
"2025-11-01",2025,11,7995000.00,,,134506000.00,0.00,,January - November
"2025-12-01",2025,12,7952000.00,,,142458000.00,0.00,,January - December
"2026-01-01",2026,1,9256000.00,9073000.00,2.0,9256000.00,9073000.00,2.0,January - January
"2026-02-01",2026,2,8530000.00,8549000.00,-0.2,17786000.00,17622000.00,0.9,January - February
"2026-03-01",2026,3,11949000.00,9893000.00,20.8,29735000.00,27515000.00,8.1,January - March
"2026-04-01",2026,4,11273000.00,10377000.00,8.6,41008000.00,37892000.00,8.2,January - April
"2026-05-01",2026,5,14987000.00,14907000.00,0.5,55995000.00,52799000.00,6.1,January - May
"2026-06-01",2026,6,20680000.00,15403000.00,34.3,76675000.00,68202000.00,12.4,January - June
"2026-07-01",2026,7,23120000.00,16865000.00,37.1,99795000.00,85067000.00,17.3,January - July
