"ref_date","year","month","site","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"1971-04-01",1971,4,All,0,,,0,0,,April - April
"1971-05-01",1971,5,All,0,,,0,0,,April - May
"1971-06-01",1971,6,All,3603,,,3603,0,,April - June
"1971-07-01",1971,7,All,6392,,,9995,0,,April - July
"1971-08-01",1971,8,All,4777,,,14772,0,,April - August
"1971-09-01",1971,9,All,656,,,15428,0,,April - September
"1971-10-01",1971,10,All,10,,,15438,0,,April - October
"1971-11-01",1971,11,All,0,,,15438,0,,April - November
"1971-12-01",1971,12,All,0,,,15438,0,,April - December
"1971-04-01",1971,4,SS Klondike,0,,,0,0,,April - April
"1971-05-01",1971,5,SS Klondike,0,,,0,0,,April - May
"1971-06-01",1971,6,SS Klondike,3603,,,3603,0,,April - June
"1971-07-01",1971,7,SS Klondike,6392,,,9995,0,,April - July
"1971-08-01",1971,8,SS Klondike,4777,,,14772,0,,April - August
"1971-09-01",1971,9,SS Klondike,656,,,15428,0,,April - September
"1971-10-01",1971,10,SS Klondike,10,,,15438,0,,April - October
"1971-11-01",1971,11,SS Klondike,0,,,15438,0,,April - November
"1971-12-01",1971,12,SS Klondike,0,,,15438,0,,April - December
"1972-01-01",1972,1,All,0,,,0,0,,January - January
"1972-02-01",1972,2,All,0,,,0,0,,January - February
"1972-03-01",1972,3,All,310,,,310,0,,January - March
"1972-04-01",1972,4,All,144,0,,454,0,,January - April
"1972-05-01",1972,5,All,40,0,,494,0,,January - May
"1972-06-01",1972,6,All,9229,3603,156.1,9723,3603,169.9,January - June
"1972-07-01",1972,7,All,13684,6392,114.1,23407,9995,134.2,January - July
"1972-08-01",1972,8,All,9086,4777,90.2,32493,14772,120.0,January - August
"1972-09-01",1972,9,All,906,656,38.1,33399,15428,116.5,January - September
"1972-10-01",1972,10,All,0,10,-100.0,33399,15438,116.3,January - October
"1972-11-01",1972,11,All,11,0,,33410,15438,116.4,January - November
"1972-12-01",1972,12,All,0,0,,33410,15438,116.4,January - December
"1972-01-01",1972,1,SS Klondike,0,,,0,0,,January - January
"1972-02-01",1972,2,SS Klondike,0,,,0,0,,January - February
"1972-03-01",1972,3,SS Klondike,310,,,310,0,,January - March
"1972-04-01",1972,4,SS Klondike,144,0,,454,0,,January - April
"1972-05-01",1972,5,SS Klondike,40,0,,494,0,,January - May
