date,year,month,monthly_avg_price,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_price,prev_year_ytd_avg,ytd_percentage_difference,ytd_month_range
1990-01-01,1990,1,57.0,,,57.0,0.0,,January - January
1990-02-01,1990,2,57.4,,,57.2,0.0,,January - February
1990-03-01,1990,3,57.6,,,57.33,0.0,,January - March
1990-04-01,1990,4,58.0,,,57.5,0.0,,January - April
1990-05-01,1990,5,57.9,,,57.58,0.0,,January - May
1990-06-01,1990,6,57.9,,,57.63,0.0,,January - June
1990-07-01,1990,7,57.9,,,57.67,0.0,,January - July
1990-08-01,1990,8,57.9,,,57.7,0.0,,January - August
1990-09-01,1990,9,59.1,,,57.86,0.0,,January - September
1990-10-01,1990,10,64.4,,,58.51,0.0,,January - October
1990-11-01,1990,11,66.3,,,59.22,0.0,,January - November
1990-12-01,1990,12,66.9,,,59.86,0.0,,January - December
1991-01-01,1991,1,70.4,57.0,23.51,70.4,57.0,23.51,January - January
1991-02-01,1991,2,68.2,57.4,18.82,69.3,57.2,21.15,January - February
1991-03-01,1991,3,63.8,57.6,10.76,67.47,57.33,17.69,January - March
1991-04-01,1991,4,61.3,58.0,5.69,65.93,57.5,14.66,January - April
1991-05-01,1991,5,60.5,57.9,4.49,64.84,57.58,12.61,January - May
1991-06-01,1991,6,60.3,57.9,4.15,64.08,57.63,11.19,January - June
1991-07-01,1991,7,60.3,57.9,4.15,63.54,57.67,10.18,January - July
1991-08-01,1991,8,60.1,57.9,3.8,63.11,57.7,9.38,January - August
1991-09-01,1991,9,60.1,59.1,1.69,62.78,57.86,8.5,January - September
1991-10-01,1991,10,60.1,64.4,-6.68,62.51,58.51,6.84,January - October
1991-11-01,1991,11,60.1,66.3,-9.35,62.29,59.22,5.18,January - November
1991-12-01,1991,12,60.0,66.9,-10.31,62.1,59.86,3.74,January - December
1992-01-01,1992,1,59.9,70.4,-14.91,59.9,70.4,-14.91,January - January
1992-02-01,1992,2,59.9,68.2,-12.17,59.9,69.3,-13.56,January - February
1992-03-01,1992,3,60.3,63.8,-5.49,60.03,67.47,-11.03,January - March
1992-04-01,1992,4,59.9,61.3,-2.28,60.0,65.93,-8.99,January - April
1992-05-01,1992,5,59.9,60.5,-0.99,59.98,64.84,-7.5,January - May
1992-06-01,1992,6,58.7,60.3,-2.65,59.77,64.08,-6.73,January - June
1992-07-01,1992,7,58.7,60.3,-2.65,59.61,63.54,-6.19,January - July
1992-08-01,1992,8,57.9,60.1,-3.66,59.4,63.11,-5.88,January - August
1992-09-01,1992,9,57.1,60.1,-4.99,59.14,62.78,-5.8,January - September
1992-10-01,1992,10,56.3,60.1,-6.32,58.86,62.51,-5.84,January - October
1992-11-01,1992,11,56.3,60.1,-6.32,58.63,62.29,-5.88,January - November
1992-12-01,1992,12,56.5,60.0,-5.83,58.45,62.1,-5.88,January - December
