date,year,month,industry,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_avg,prev_year_ytd_avg,ytd_percentage_difference,ytd_total_2019,c2019_percentage_difference,ytd_month_range
2015-01-01,2015,1,Accommodation (tourism),49,,,49,0,,60,-18.3,January - January
2015-02-01,2015,2,Accommodation (tourism),54,,,51,0,,59,-13.6,January - February
2015-03-01,2015,3,Accommodation (tourism),54,,,52,0,,60,-13.3,January - March
2015-04-01,2015,4,Accommodation (tourism),54,,,52,0,,60,-13.3,January - April
2015-05-01,2015,5,Accommodation (tourism),55,,,53,0,,61,-13.1,January - May
2015-06-01,2015,6,Accommodation (tourism),53,,,53,0,,62,-14.5,January - June
2015-07-01,2015,7,Accommodation (tourism),54,,,53,0,,62,-14.5,January - July
2015-08-01,2015,8,Accommodation (tourism),57,,,53,0,,62,-14.5,January - August
2015-09-01,2015,9,Accommodation (tourism),55,,,53,0,,62,-14.5,January - September
2015-10-01,2015,10,Accommodation (tourism),54,,,53,0,,62,-14.5,January - October
2015-11-01,2015,11,Accommodation (tourism),51,,,53,0,,62,-14.5,January - November
2015-12-01,2015,12,Accommodation (tourism),55,,,53,0,,62,-14.5,January - December
2015-01-01,2015,1,Air transportation (tourism),15,,,15,0,,16,-6.3,January - January
2015-02-01,2015,2,Air transportation (tourism),13,,,14,0,,16,-12.5,January - February
2015-03-01,2015,3,Air transportation (tourism),13,,,13,0,,16,-18.8,January - March
2015-04-01,2015,4,Air transportation (tourism),13,,,13,0,,16,-18.8,January - April
2015-05-01,2015,5,Air transportation (tourism),14,,,13,0,,16,-18.8,January - May
2015-06-01,2015,6,Air transportation (tourism),14,,,13,0,,16,-18.8,January - June
2015-07-01,2015,7,Air transportation (tourism),14,,,13,0,,16,-18.8,January - July
2015-08-01,2015,8,Air transportation (tourism),14,,,13,0,,16,-18.8,January - August
2015-09-01,2015,9,Air transportation (tourism),14,,,13,0,,16,-18.8,January - September
2015-10-01,2015,10,Air transportation (tourism),14,,,13,0,,16,-18.8,January - October
2015-11-01,2015,11,Air transportation (tourism),14,,,13,0,,16,-18.8,January - November
2015-12-01,2015,12,Air transportation (tourism),15,,,13,0,,15,-13.3,January - December
2015-01-01,2015,1,Food and beverage services (tourism),60,,,60,0,,69,-13.0,January - January
2015-02-01,2015,2,Food and beverage services (tourism),62,,,61,0,,68,-10.3,January - February
2015-03-01,2015,3,Food and beverage services (tourism),61,,,61,0,,68,-10.3,January - March
2015-04-01,2015,4,Food and beverage services (tourism),62,,,61,0,,68,-10.3,January - April
2015-05-01,2015,5,Food and beverage services (tourism),60,,,61,0,,69,-11.6,January - May
2015-06-01,2015,6,Food and beverage services (tourism),61,,,61,0,,69,-11.6,January - June
