date,year,month,monthly_avg_adr,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_adr,prev_year_ytd_avg,ytd_percentage_difference,monthly_avg_adr_2019,c2019_percentage_difference,ytd_month_range
2025-01-01,2025,1,173.99,,,173.99,0.0,,,,January - January
2025-02-01,2025,2,171.42,,,172.7,0.0,,,,January - February
2025-03-01,2025,3,177.96,,,174.46,0.0,,,,January - March
2025-04-01,2025,4,170.26,,,173.41,0.0,,,,January - April
2025-05-01,2025,5,176.69,,,174.06,0.0,,,,January - May
2025-06-01,2025,6,192.8,,,177.19,0.0,,,,January - June
2025-07-01,2025,7,199.62,,,180.39,0.0,,,,January - July
2025-08-01,2025,8,193.52,,,182.03,0.0,,,,January - August
2025-09-01,2025,9,185.21,,,182.39,0.0,,,,January - September
2025-10-01,2025,10,175.36,,,181.68,0.0,,,,January - October
2025-11-01,2025,11,180.87,,,181.61,0.0,,,,January - November
2025-12-01,2025,12,180.41,,,181.51,0.0,,,,January - December
