date,year,month,monthly_avg_available_listings,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_available_listings,prev_year_ytd_avg,ytd_percentage_difference,ytd_month_range
2015-01-01,2015,1,5,,,5,0,,January - January
2015-02-01,2015,2,8,,,6,0,,January - February
2015-03-01,2015,3,10,,,7,0,,January - March
2015-04-01,2015,4,10,,,8,0,,January - April
2015-05-01,2015,5,13,,,9,0,,January - May
2015-06-01,2015,6,22,,,11,0,,January - June
2015-07-01,2015,7,29,,,13,0,,January - July
2015-08-01,2015,8,30,,,15,0,,January - August
2015-09-01,2015,9,26,,,17,0,,January - September
2015-10-01,2015,10,20,,,17,0,,January - October
2015-11-01,2015,11,24,,,17,0,,January - November
2015-12-01,2015,12,25,,,18,0,,January - December
2016-01-01,2016,1,29,5,480.0,29,5,480.0,January - January
2016-02-01,2016,2,29,8,262.5,29,6,383.33,January - February
2016-03-01,2016,3,31,10,210.0,29,7,314.29,January - March
2016-04-01,2016,4,25,10,150.0,28,8,250.0,January - April
2016-05-01,2016,5,22,13,69.23,27,9,200.0,January - May
2016-06-01,2016,6,28,22,27.27,27,11,145.45,January - June
2016-07-01,2016,7,36,29,24.14,28,13,115.38,January - July
2016-08-01,2016,8,39,30,30.0,29,15,93.33,January - August
2016-09-01,2016,9,46,26,76.92,31,17,82.35,January - September
2016-10-01,2016,10,49,20,145.0,33,17,94.12,January - October
2016-11-01,2016,11,45,24,87.5,34,17,100.0,January - November
2016-12-01,2016,12,45,25,80.0,35,18,94.44,January - December
2017-01-01,2017,1,41,29,41.38,41,29,41.38,January - January
2017-02-01,2017,2,45,29,55.17,43,29,48.28,January - February
2017-03-01,2017,3,46,31,48.39,44,29,51.72,January - March
2017-04-01,2017,4,45,25,80.0,44,28,57.14,January - April
2017-05-01,2017,5,55,22,150.0,46,27,70.37,January - May
2017-06-01,2017,6,85,28,203.57,52,27,92.59,January - June
2017-07-01,2017,7,108,36,200.0,60,28,114.29,January - July
2017-08-01,2017,8,109,39,179.49,66,29,127.59,January - August
2017-09-01,2017,9,96,46,108.7,70,31,125.81,January - September
2017-10-01,2017,10,76,49,55.1,70,33,112.12,January - October
2017-11-01,2017,11,63,45,40.0,69,34,102.94,January - November
2017-12-01,2017,12,65,45,44.44,69,35,97.14,January - December
2018-01-01,2018,1,69,41,68.29,69,41,68.29,January - January
2018-02-01,2018,2,71,45,57.78,70,43,62.79,January - February
2018-03-01,2018,3,81,46,76.09,73,44,65.91,January - March
2018-04-01,2018,4,78,45,73.33,74,44,68.18,January - April
2018-05-01,2018,5,88,55,60.0,77,46,67.39,January - May
2018-06-01,2018,6,110,85,29.41,82,52,57.69,January - June
2018-07-01,2018,7,120,108,11.11,88,60,46.67,January - July
2018-08-01,2018,8,142,109,30.28,94,66,42.42,January - August
2018-09-01,2018,9,141,96,46.88,100,70,42.86,January - September
2018-10-01,2018,10,119,76,56.58,101,70,44.29,January - October
2018-11-01,2018,11,113,63,79.37,102,69,47.83,January - November
2018-12-01,2018,12,110,65,69.23,103,69,49.28,January - December
2019-01-01,2019,1,109,69,57.97,109,69,57.97,January - January
2019-02-01,2019,2,102,71,43.66,105,70,50.0,January - February
2019-03-01,2019,3,111,81,37.04,107,73,46.58,January - March
2019-04-01,2019,4,111,78,42.31,108,74,45.95,January - April
2019-05-01,2019,5,127,88,44.32,112,77,45.45,January - May
2019-06-01,2019,6,165,110,50.0,120,82,46.34,January - June
2019-07-01,2019,7,186,120,55.0,130,88,47.73,January - July
2019-08-01,2019,8,193,142,35.92,138,94,46.81,January - August
2019-09-01,2019,9,181,141,28.37,142,100,42.0,January - September
2019-10-01,2019,10,155,119,30.25,144,101,42.57,January - October
2019-11-01,2019,11,146,113,29.2,144,102,41.18,January - November
2019-12-01,2019,12,149,110,35.45,144,103,39.81,January - December
2020-01-01,2020,1,138,109,26.61,138,109,26.61,January - January
2020-02-01,2020,2,132,102,29.41,135,105,28.57,January - February
2020-03-01,2020,3,142,111,27.93,137,107,28.04,January - March
2020-04-01,2020,4,131,111,18.02,135,108,25.0,January - April
2020-05-01,2020,5,96,127,-24.41,127,112,13.39,January - May
2020-06-01,2020,6,111,165,-32.73,125,120,4.17,January - June
2020-07-01,2020,7,123,186,-33.87,124,130,-4.62,January - July
2020-08-01,2020,8,132,193,-31.61,125,138,-9.42,January - August
2020-09-01,2020,9,129,181,-28.73,126,142,-11.27,January - September
2020-10-01,2020,10,112,155,-27.74,124,144,-13.89,January - October
2020-11-01,2020,11,99,146,-32.19,122,144,-15.28,January - November
2020-12-01,2020,12,100,149,-32.89,120,144,-16.67,January - December
2021-01-01,2021,1,95,138,-31.16,95,138,-31.16,January - January
2021-02-01,2021,2,94,132,-28.79,94,135,-30.37,January - February
2021-03-01,2021,3,101,142,-28.87,96,137,-29.93,January - March
2021-04-01,2021,4,95,131,-27.48,96,135,-28.89,January - April
2021-05-01,2021,5,97,96,1.04,96,127,-24.41,January - May
2021-06-01,2021,6,113,111,1.8,99,125,-20.8,January - June
2021-07-01,2021,7,121,123,-1.63,102,124,-17.74,January - July
2021-08-01,2021,8,130,132,-1.52,105,125,-16.0,January - August
2021-09-01,2021,9,123,129,-4.65,107,126,-15.08,January - September
2021-10-01,2021,10,116,112,3.57,108,124,-12.9,January - October
2021-11-01,2021,11,109,99,10.1,108,122,-11.48,January - November
2021-12-01,2021,12,126,100,26.0,110,120,-8.33,January - December
2022-01-01,2022,1,120,95,26.32,120,95,26.32,January - January
2022-02-01,2022,2,104,94,10.64,112,94,19.15,January - February
2022-03-01,2022,3,123,101,21.78,115,96,19.79,January - March
2022-04-01,2022,4,123,95,29.47,117,96,21.88,January - April
2022-05-01,2022,5,131,97,35.05,120,96,25.0,January - May
2022-06-01,2022,6,154,113,36.28,125,99,26.26,January - June
2022-07-01,2022,7,170,121,40.5,132,102,29.41,January - July
2022-08-01,2022,8,185,130,42.31,138,105,31.43,January - August
2022-09-01,2022,9,181,123,47.15,143,107,33.64,January - September
2022-10-01,2022,10,183,116,57.76,147,108,36.11,January - October
2022-11-01,2022,11,173,109,58.72,149,108,37.96,January - November
2022-12-01,2022,12,180,126,42.86,152,110,38.18,January - December
2023-01-01,2023,1,178,120,48.33,178,120,48.33,January - January
2023-02-01,2023,2,185,104,77.88,181,112,61.61,January - February
2023-03-01,2023,3,210,123,70.73,191,115,66.09,January - March
2023-04-01,2023,4,204,123,65.85,194,117,65.81,January - April
2023-05-01,2023,5,185,131,41.22,192,120,60.0,January - May
2023-06-01,2023,6,214,154,38.96,196,125,56.8,January - June
2023-07-01,2023,7,241,170,41.76,202,132,53.03,January - July
2023-08-01,2023,8,247,185,33.51,208,138,50.72,January - August
2023-09-01,2023,9,246,181,35.91,212,143,48.25,January - September
2023-10-01,2023,10,239,183,30.6,214,147,45.58,January - October
2023-11-01,2023,11,223,173,28.9,215,149,44.3,January - November
2023-12-01,2023,12,224,180,24.44,216,152,42.11,January - December
2024-01-01,2024,1,224,178,25.84,224,178,25.84,January - January
2024-02-01,2024,2,230,185,24.32,227,181,25.41,January - February
2024-03-01,2024,3,259,210,23.33,237,191,24.08,January - March
2024-04-01,2024,4,246,204,20.59,239,194,23.2,January - April
2024-05-01,2024,5,231,185,24.86,238,192,23.96,January - May
2024-06-01,2024,6,295,214,37.85,247,196,26.02,January - June
2024-07-01,2024,7,302,241,25.31,255,202,26.24,January - July
2024-08-01,2024,8,315,247,27.53,262,208,25.96,January - August
2024-09-01,2024,9,302,246,22.76,267,212,25.94,January - September
2024-10-01,2024,10,268,239,12.13,267,214,24.77,January - October
2024-11-01,2024,11,236,223,5.83,264,215,22.79,January - November
2024-12-01,2024,12,244,224,8.93,262,216,21.3,January - December
2025-01-01,2025,1,242,224,8.04,242,224,8.04,January - January
2025-02-01,2025,2,226,230,-1.74,234,227,3.08,January - February
2025-03-01,2025,3,250,259,-3.47,239,237,0.84,January - March
2025-04-01,2025,4,243,246,-1.22,240,239,0.42,January - April
2025-05-01,2025,5,241,231,4.33,240,238,0.84,January - May
2025-06-01,2025,6,311,295,5.42,252,247,2.02,January - June
2025-07-01,2025,7,325,302,7.62,262,255,2.75,January - July
2025-08-01,2025,8,335,315,6.35,271,262,3.44,January - August
2025-09-01,2025,9,329,302,8.94,278,267,4.12,January - September
2025-10-01,2025,10,316,268,17.91,281,267,5.24,January - October
2025-11-01,2025,11,282,236,19.49,281,264,6.44,January - November
2025-12-01,2025,12,280,244,14.75,281,262,7.25,January - December
