date,year,month,monthly_avg_occupancy_rate,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_occupancy_rate,prev_year_ytd_avg,ytd_percentage_difference,monthly_avg_occupancy_rate_2019,c2019_percentage_difference,ytd_month_range
2025-01-01,2025,1,42.54,,,42.54,0.0,,,,January - January
2025-02-01,2025,2,54.63,,,48.59,0.0,,,,January - February
2025-03-01,2025,3,53.6,,,50.26,0.0,,,,January - March
2025-04-01,2025,4,40.31,,,47.77,0.0,,,,January - April
2025-05-01,2025,5,52.080000000000005,,,48.63,0.0,,,,January - May
2025-06-01,2025,6,63.68000000000001,,,51.14,0.0,,,,January - June
2025-07-01,2025,7,65.38000000000001,,,53.17,0.0,,,,January - July
2025-08-01,2025,8,67.4,,,54.95,0.0,,,,January - August
2025-09-01,2025,9,62.18,,,55.76,0.0,,,,January - September
2025-10-01,2025,10,46.949999999999996,,,54.88,0.0,,,,January - October
2025-11-01,2025,11,49.16,,,54.36,0.0,,,,January - November
2025-12-01,2025,12,52.52,,,54.2,0.0,,,,January - December
