date,year,month,monthly_rev,prev_year_monthly_rev,monthly_percentage_difference,ytd_cumulative_rev,prev_year_ytd_cumulative,ytd_percentage_difference,ytd_rev_2019,c2019_percentage_difference,ytd_month_range
2015-01-01,2015,1,3987.3600,,,3987.3600,0.0000,,185405.2200,-97.850000,January - January
2015-02-01,2015,2,5952.9600,,,9940.3200,0.0000,,377799.5500,-97.370000,January - February
2015-03-01,2015,3,6223.9300,,,16164.2500,0.0000,,622067.4700,-97.400000,January - March
2015-04-01,2015,4,4522.2800,,,20686.5300,0.0000,,788813.5300,-97.380000,January - April
2015-05-01,2015,5,4401.5400,,,25088.0700,0.0000,,1000211.0000,-97.490000,January - May
2015-06-01,2015,6,14229.5400,,,39317.6100,0.0000,,1368293.4700,-97.130000,January - June
2015-07-01,2015,7,26539.8100,,,65857.4200,0.0000,,1873739.0900,-96.490000,January - July
2015-08-01,2015,8,27981.7200,,,93839.1400,0.0000,,2474363.2700,-96.210000,January - August
2015-09-01,2015,9,20884.5000,,,114723.6400,0.0000,,2819915.7500,-95.930000,January - September
2015-10-01,2015,10,27387.8300,,,142111.4700,0.0000,,3087487.2600,-95.400000,January - October
2015-11-01,2015,11,22017.5300,,,164129.0000,0.0000,,3366085.7900,-95.120000,January - November
2015-12-01,2015,12,32567.1800,,,196696.1800,0.0000,,3701578.6100,-94.690000,January - December
2016-01-01,2016,1,34462.5800,3987.3600,764.300000,34462.5800,3987.3600,764.300000,185405.2200,-81.410000,January - January
2016-02-01,2016,2,43769.7000,5952.9600,635.260000,78232.2800,9940.3200,687.020000,377799.5500,-79.290000,January - February
2016-03-01,2016,3,59762.6600,6223.9300,860.210000,137994.9400,16164.2500,753.700000,622067.4700,-77.820000,January - March
2016-04-01,2016,4,11606.8700,4522.2800,156.660000,149601.8100,20686.5300,623.180000,788813.5300,-81.030000,January - April
2016-05-01,2016,5,28758.1300,4401.5400,553.370000,178359.9400,25088.0700,610.940000,1000211.0000,-82.170000,January - May
2016-06-01,2016,6,62473.7900,14229.5400,339.040000,240833.7300,39317.6100,512.530000,1368293.4700,-82.400000,January - June
2016-07-01,2016,7,69788.6300,26539.8100,162.960000,310622.3600,65857.4200,371.660000,1873739.0900,-83.420000,January - July
2016-08-01,2016,8,86941.3000,27981.7200,210.710000,397563.6600,93839.1400,323.670000,2474363.2700,-83.930000,January - August
2016-09-01,2016,9,53888.3300,20884.5000,158.030000,451451.9900,114723.6400,293.510000,2819915.7500,-83.990000,January - September
2016-10-01,2016,10,63577.3300,27387.8300,132.140000,515029.3200,142111.4700,262.410000,3087487.2600,-83.320000,January - October
2016-11-01,2016,11,63092.9500,22017.5300,186.560000,578122.2700,164129.0000,252.240000,3366085.7900,-82.830000,January - November
2016-12-01,2016,12,68853.5600,32567.1800,111.420000,646975.8300,196696.1800,228.920000,3701578.6100,-82.520000,January - December
2017-01-01,2017,1,42768.6500,34462.5800,24.100000,42768.6500,34462.5800,24.100000,185405.2200,-76.930000,January - January
2017-02-01,2017,2,85874.2600,43769.7000,96.200000,128642.9100,78232.2800,64.440000,377799.5500,-65.950000,January - February
2017-03-01,2017,3,81711.4000,59762.6600,36.730000,210354.3100,137994.9400,52.440000,622067.4700,-66.180000,January - March
2017-04-01,2017,4,52366.3900,11606.8700,351.170000,262720.7000,149601.8100,75.610000,788813.5300,-66.690000,January - April
2017-05-01,2017,5,85132.9400,28758.1300,196.030000,347853.6400,178359.9400,95.030000,1000211.0000,-65.220000,January - May
2017-06-01,2017,6,166510.1900,62473.7900,166.530000,514363.8300,240833.7300,113.580000,1368293.4700,-62.410000,January - June
2017-07-01,2017,7,297501.9800,69788.6300,326.290000,811865.8100,310622.3600,161.370000,1873739.0900,-56.670000,January - July
2017-08-01,2017,8,296712.9400,86941.3000,241.280000,1108578.7500,397563.6600,178.840000,2474363.2700,-55.200000,January - August
2017-09-01,2017,9,165719.7400,53888.3300,207.520000,1274298.4900,451451.9900,182.270000,2819915.7500,-54.810000,January - September
2017-10-01,2017,10,135985.8200,63577.3300,113.890000,1410284.3100,515029.3200,173.830000,3087487.2600,-54.320000,January - October
2017-11-01,2017,11,92231.5700,63092.9500,46.180000,1502515.8800,578122.2700,159.900000,3366085.7900,-55.360000,January - November
2017-12-01,2017,12,117622.9100,68853.5600,70.830000,1620138.7900,646975.8300,150.420000,3701578.6100,-56.230000,January - December
2018-01-01,2018,1,96984.1100,42768.6500,126.760000,96984.1100,42768.6500,126.760000,185405.2200,-47.690000,January - January
2018-02-01,2018,2,114798.0600,85874.2600,33.680000,211782.1700,128642.9100,64.630000,377799.5500,-43.940000,January - February
2018-03-01,2018,3,144290.4800,81711.4000,76.590000,356072.6500,210354.3100,69.270000,622067.4700,-42.760000,January - March
2018-04-01,2018,4,109347.7300,52366.3900,108.810000,465420.3800,262720.7000,77.150000,788813.5300,-41.000000,January - April
2018-05-01,2018,5,132404.2200,85132.9400,55.530000,597824.6000,347853.6400,71.860000,1000211.0000,-40.230000,January - May
2018-06-01,2018,6,286386.5200,166510.1900,71.990000,884211.1200,514363.8300,71.900000,1368293.4700,-35.380000,January - June
2018-07-01,2018,7,338069.1600,297501.9800,13.640000,1222280.2800,811865.8100,50.550000,1873739.0900,-34.770000,January - July
2018-08-01,2018,8,397900.6200,296712.9400,34.100000,1620180.9000,1108578.7500,46.150000,2474363.2700,-34.520000,January - August
2018-09-01,2018,9,298323.3200,165719.7400,80.020000,1918504.2200,1274298.4900,50.550000,2819915.7500,-31.970000,January - September
2018-10-01,2018,10,181913.4700,135985.8200,33.770000,2100417.6900,1410284.3100,48.940000,3087487.2600,-31.970000,January - October
2018-11-01,2018,11,178452.6100,92231.5700,93.480000,2278870.3000,1502515.8800,51.670000,3366085.7900,-32.300000,January - November
2018-12-01,2018,12,183300.6200,117622.9100,55.840000,2462170.9200,1620138.7900,51.970000,3701578.6100,-33.480000,January - December
2019-01-01,2019,1,185405.2200,96984.1100,91.170000,185405.2200,96984.1100,91.170000,185405.2200,0.000000,January - January
2019-02-01,2019,2,192394.3300,114798.0600,67.590000,377799.5500,211782.1700,78.390000,377799.5500,0.000000,January - February
2019-03-01,2019,3,244267.9200,144290.4800,69.290000,622067.4700,356072.6500,74.700000,622067.4700,0.000000,January - March
2019-04-01,2019,4,166746.0600,109347.7300,52.490000,788813.5300,465420.3800,69.480000,788813.5300,0.000000,January - April
2019-05-01,2019,5,211397.4700,132404.2200,59.660000,1000211.0000,597824.6000,67.310000,1000211.0000,0.000000,January - May
2019-06-01,2019,6,368082.4700,286386.5200,28.530000,1368293.4700,884211.1200,54.750000,1368293.4700,0.000000,January - June
2019-07-01,2019,7,505445.6200,338069.1600,49.510000,1873739.0900,1222280.2800,53.300000,1873739.0900,0.000000,January - July
2019-08-01,2019,8,600624.1800,397900.6200,50.950000,2474363.2700,1620180.9000,52.720000,2474363.2700,0.000000,January - August
2019-09-01,2019,9,345552.4800,298323.3200,15.830000,2819915.7500,1918504.2200,46.990000,2819915.7500,0.000000,January - September
2019-10-01,2019,10,267571.5100,181913.4700,47.090000,3087487.2600,2100417.6900,46.990000,3087487.2600,0.000000,January - October
2019-11-01,2019,11,278598.5300,178452.6100,56.120000,3366085.7900,2278870.3000,47.710000,3366085.7900,0.000000,January - November
2019-12-01,2019,12,335492.8200,183300.6200,83.030000,3701578.6100,2462170.9200,50.340000,3701578.6100,0.000000,January - December
2020-01-01,2020,1,278803.5100,185405.2200,50.380000,278803.5100,185405.2200,50.380000,185405.2200,50.380000,January - January
2020-02-01,2020,2,308276.2800,192394.3300,60.230000,587079.7900,377799.5500,55.390000,377799.5500,55.390000,January - February
2020-03-01,2020,3,293042.8800,244267.9200,19.970000,880122.6700,622067.4700,41.480000,622067.4700,41.480000,January - March
2020-04-01,2020,4,189940.1400,166746.0600,13.910000,1070062.8100,788813.5300,35.650000,788813.5300,35.650000,January - April
2020-05-01,2020,5,136099.5500,211397.4700,-35.620000,1206162.3600,1000211.0000,20.590000,1000211.0000,20.590000,January - May
2020-06-01,2020,6,230376.7400,368082.4700,-37.410000,1436539.1000,1368293.4700,4.990000,1368293.4700,4.990000,January - June
2020-07-01,2020,7,319516.7000,505445.6200,-36.790000,1756055.8000,1873739.0900,-6.280000,1873739.0900,-6.280000,January - July
2020-08-01,2020,8,358736.0400,600624.1800,-40.270000,2114791.8400,2474363.2700,-14.530000,2474363.2700,-14.530000,January - August
2020-09-01,2020,9,291880.3700,345552.4800,-15.530000,2406672.2100,2819915.7500,-14.650000,2819915.7500,-14.650000,January - September
2020-10-01,2020,10,242699.6500,267571.5100,-9.300000,2649371.8600,3087487.2600,-14.190000,3087487.2600,-14.190000,January - October
2020-11-01,2020,11,189920.4800,278598.5300,-31.830000,2839292.3400,3366085.7900,-15.650000,3366085.7900,-15.650000,January - November
2020-12-01,2020,12,222713.7100,335492.8200,-33.620000,3062006.0500,3701578.6100,-17.280000,3701578.6100,-17.280000,January - December
2021-01-01,2021,1,218359.9100,278803.5100,-21.680000,218359.9100,278803.5100,-21.680000,185405.2200,17.770000,January - January
2021-02-01,2021,2,259596.7900,308276.2800,-15.790000,477956.7000,587079.7900,-18.590000,377799.5500,26.510000,January - February
2021-03-01,2021,3,353656.3700,293042.8800,20.680000,831613.0700,880122.6700,-5.510000,622067.4700,33.690000,January - March
2021-04-01,2021,4,229497.8400,189940.1400,20.830000,1061110.9100,1070062.8100,-0.840000,788813.5300,34.520000,January - April
2021-05-01,2021,5,233038.7300,136099.5500,71.230000,1294149.6400,1206162.3600,7.290000,1000211.0000,29.390000,January - May
2021-06-01,2021,6,315669.7400,230376.7400,37.020000,1609819.3800,1436539.1000,12.060000,1368293.4700,17.650000,January - June
2021-07-01,2021,7,375617.7400,319516.7000,17.560000,1985437.1200,1756055.8000,13.060000,1873739.0900,5.960000,January - July
2021-08-01,2021,8,507864.7100,358736.0400,41.570000,2493301.8300,2114791.8400,17.900000,2474363.2700,0.770000,January - August
2021-09-01,2021,9,396281.8100,291880.3700,35.770000,2889583.6400,2406672.2100,20.070000,2819915.7500,2.470000,January - September
