date,year,month,monthly_avg_revpar,prev_year_monthly_avg,monthly_percentage_difference,ytd_avg_revpar,prev_year_ytd_avg,ytd_percentage_difference,monthly_avg_revpar_2019,c2019_percentage_difference,ytd_month_range
2015-01-01,2015,1,40.57,,,40.57,0.0,,73.69,-44.95,January - January
2015-02-01,2015,2,53.85,,,47.21,0.0,,87.02,-38.12,January - February
2015-03-01,2015,3,30.4,,,41.61,0.0,,93.37,-67.44,January - March
2015-04-01,2015,4,19.9,,,36.18,0.0,,64.57,-69.18,January - April
2015-05-01,2015,5,19.11,,,32.77,0.0,,73.69,-74.07,January - May
2015-06-01,2015,6,43.44,,,34.54,0.0,,104.76,-58.53,January - June
2015-07-01,2015,7,62.18,,,38.49,0.0,,116.96,-46.84,January - July
2015-08-01,2015,8,49.08,,,39.82,0.0,,122.79,-60.03,January - August
2015-09-01,2015,9,43.22,,,40.19,0.0,,97.62,-55.73,January - September
2015-10-01,2015,10,66.55,,,42.83,0.0,,78.56,-15.29,January - October
2015-11-01,2015,11,45.97,,,43.12,0.0,,81.18,-43.37,January - November
2015-12-01,2015,12,68.72,,,45.25,0.0,,91.6,-24.98,January - December
2016-01-01,2016,1,51.33,40.57,26.52,51.33,40.57,26.52,73.69,-30.34,January - January
2016-02-01,2016,2,61.44,53.85,14.09,56.38,47.21,19.42,87.02,-29.4,January - February
2016-03-01,2016,3,76.92,30.4,153.03,63.23,41.61,51.96,93.37,-17.62,January - March
2016-04-01,2016,4,20.85,19.9,4.77,52.63,36.18,45.47,64.57,-67.71,January - April
2016-05-01,2016,5,74.73,19.11,291.05,57.05,32.77,74.09,73.69,1.41,January - May
2016-06-01,2016,6,97.97,43.44,125.53,63.87,34.54,84.92,104.76,-6.48,January - June
2016-07-01,2016,7,83.45,62.18,34.21,66.67,38.49,73.21,116.96,-28.65,January - July
2016-08-01,2016,8,91.93,49.08,87.31,69.83,39.82,75.36,122.79,-25.13,January - August
2016-09-01,2016,9,76.09,43.22,76.05,70.52,40.19,75.47,97.62,-22.05,January - September
2016-10-01,2016,10,61.93,66.55,-6.94,69.66,42.83,62.64,78.56,-21.17,January - October
2016-11-01,2016,11,58.87,45.97,28.06,68.68,43.12,59.28,81.18,-27.48,January - November
2016-12-01,2016,12,65.95,68.72,-4.03,68.45,45.25,51.27,91.6,-28.0,January - December
2017-01-01,2017,1,41.49,51.33,-19.17,41.49,51.33,-19.17,73.69,-43.7,January - January
2017-02-01,2017,2,79.75,61.44,29.8,60.62,56.38,7.52,87.02,-8.35,January - February
2017-03-01,2017,3,70.03,76.92,-8.96,63.76,63.23,0.84,93.37,-25.0,January - March
2017-04-01,2017,4,47.32,20.85,126.95,59.65,52.63,13.34,64.57,-26.72,January - April
2017-05-01,2017,5,72.33,74.73,-3.21,62.18,57.05,8.99,73.69,-1.85,January - May
2017-06-01,2017,6,102.05,97.97,4.16,68.83,63.87,7.77,104.76,-2.59,January - June
