year,value,type,notes,updated,percent_change
2008,173.5,Actual revenue,,2024-12-01,
2009,197.0,Actual revenue,,2024-12-01,13.54
2012,249.5,Actual revenue,,2024-12-01,26.65
2014,226.9,Actual revenue,,2024-12-01,-9.06
2016,262.9,Actual revenue,,2024-12-01,15.87
2018,367.8,Actual revenue,,2024-12-01,39.9
2020,146.2,Actual revenue,,2024-12-01,-60.25
2022,400.7,Actual revenue,,2024-12-01,174.08
2019,432.5,Estimated revenue,,2024-12-01,
2020,166.0,Estimated revenue,,2024-12-01,-61.62
2021,255.4,Estimated revenue,,2024-12-01,53.86
2022,400.7,Estimated revenue,,2024-12-01,56.89
2023,502.7,Estimated revenue,,2024-12-01,25.46
2024,627.0,Estimated revenue,,2024-12-01,24.73
2016,262.9,Target Revenue,,2024-12-01,
2017,278.5,Target Revenue,,2024-12-01,5.93
2018,295.0,Target Revenue,,2024-12-01,5.92
2019,312.5,Target Revenue,,2024-12-01,5.93
2020,331.0,Target Revenue,,2024-12-01,5.92
2021,350.7,Target Revenue,,2024-12-01,5.95
2022,371.5,Target Revenue,,2024-12-01,5.93
2023,393.5,Target Revenue,,2024-12-01,5.92
2024,416.8,Target Revenue,,2024-12-01,5.92
2025,441.5,Target Revenue,,2024-12-01,5.93
2026,467.7,Target Revenue,,2024-12-01,5.93
2027,495.4,Target Revenue,,2024-12-01,5.92
2028,525.8,Target Revenue,,2024-12-01,6.14
