year,value,adjusted_value,type,notes
2024,416.8,416.8,Target Revenue,
2024,599.6,599.6,Forecast revenue,This calculation is an estimate based on spending data from January through October
2021,350.7,398.3,Target Revenue,
2021,255.4,290.1,Estimated revenue,
2008,173.5,244.6,Actual revenue,
2022,371.5,395.1,Target Revenue,
2022,400.7,426.2,Actual revenue,
2022,400.7,426.2,Estimated revenue,
2016,262.9,329.4,Target Revenue,
2016,262.9,329.4,Actual revenue,
2019,312.5,369.7,Target Revenue,
2019,432.5,511.6,Estimated revenue,
2014,226.9,291.6,Actual revenue,
2020,331.0,388.7,Target Revenue,
2020,146.2,171.7,Actual revenue,
2020,166.0,195.0,Estimated revenue,
2023,393.5,402.9,Target Revenue,
2023,502.7,514.7,Estimated revenue,
2017,278.5,343.5,Target Revenue,
2012,249.5,329.8,Actual revenue,
2018,295.0,355.8,Target Revenue,
2018,367.8,443.5,Actual revenue,
2009,197.0,276.9,Actual revenue,
