"date","year","month","transportation_type","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_total_2019","c2019_percentage_difference","ytd_month_range"
"2025-01-01",2025,1,Air,5567.000000,,,5567.000000,0.000000,,,,January - January
"2025-02-01",2025,2,Air,5516.000000,,,11083.000000,0.000000,,,,January - February
"2025-03-01",2025,3,Air,9918.000000,,,21001.000000,0.000000,,,,January - March
"2025-04-01",2025,4,Air,8327.000000,,,29328.000000,0.000000,,,,January - April
"2025-05-01",2025,5,Air,14884.000000,,,44212.000000,0.000000,,,,January - May
"2025-06-01",2025,6,Air,19286.000000,,,63498.000000,0.000000,,,,January - June
"2025-07-01",2025,7,Air,22906.000000,,,86404.000000,0.000000,,,,January - July
"2025-08-01",2025,8,Air,23058.000000,,,109462.000000,0.000000,,,,January - August
"2025-09-01",2025,9,Air,18018.000000,,,127480.000000,0.000000,,,,January - September
"2025-10-01",2025,10,Air,9353.000000,,,136833.000000,0.000000,,,,January - October
"2025-11-01",2025,11,Air,5492.000000,,,142325.000000,0.000000,,,,January - November
"2025-12-01",2025,12,Air,6264.000000,,,148589.000000,0.000000,,,,January - December
"2025-01-01",2025,1,Bus,6.000000,,,6.000000,0.000000,,,,January - January
"2025-02-01",2025,2,Bus,77.000000,,,83.000000,0.000000,,,,January - February
"2025-03-01",2025,3,Bus,22.000000,,,105.000000,0.000000,,,,January - March
"2025-04-01",2025,4,Bus,438.000000,,,543.000000,0.000000,,,,January - April
"2025-05-01",2025,5,Bus,28051.000000,,,28594.000000,0.000000,,,,January - May
"2025-06-01",2025,6,Bus,46451.000000,,,75045.000000,0.000000,,,,January - June
"2025-07-01",2025,7,Bus,52235.000000,,,127280.000000,0.000000,,,,January - July
"2025-08-01",2025,8,Bus,44905.000000,,,172185.000000,0.000000,,,,January - August
"2025-09-01",2025,9,Bus,29143.000000,,,201328.000000,0.000000,,,,January - September
"2025-10-01",2025,10,Bus,914.000000,,,202242.000000,0.000000,,,,January - October
"2025-11-01",2025,11,Bus,11.000000,,,202253.000000,0.000000,,,,January - November
"2025-12-01",2025,12,Bus,0.000000,,,202253.000000,0.000000,,,,January - December
"2025-01-01",2025,1,Train,0.000000,,,0.000000,0.000000,,,,January - January
"2025-02-01",2025,2,Train,0.000000,,,0.000000,0.000000,,,,January - February
"2025-03-01",2025,3,Train,0.000000,,,0.000000,0.000000,,,,January - March
"2025-04-01",2025,4,Train,0.000000,,,0.000000,0.000000,,,,January - April
"2025-05-01",2025,5,Train,15610.000000,,,15610.000000,0.000000,,,,January - May
"2025-06-01",2025,6,Train,24459.000000,,,40069.000000,0.000000,,,,January - June
"2025-07-01",2025,7,Train,26906.000000,,,66975.000000,0.000000,,,,January - July
"2025-08-01",2025,8,Train,24204.000000,,,91179.000000,0.000000,,,,January - August
"2025-09-01",2025,9,Train,16976.000000,,,108155.000000,0.000000,,,,January - September
"2025-10-01",2025,10,Train,255.000000,,,108410.000000,0.000000,,,,January - October
"2025-11-01",2025,11,Train,0.000000,,,108410.000000,0.000000,,,,January - November
"2025-12-01",2025,12,Train,0.000000,,,108410.000000,0.000000,,,,January - December
"2025-01-01",2025,1,Vehicles,4016.000000,,,4016.000000,0.000000,,,,January - January
"2025-02-01",2025,2,Vehicles,3929.000000,,,7945.000000,0.000000,,,,January - February
"2025-03-01",2025,3,Vehicles,7948.000000,,,15893.000000,0.000000,,,,January - March
"2025-04-01",2025,4,Vehicles,9802.000000,,,25695.000000,0.000000,,,,January - April
"2025-05-01",2025,5,Vehicles,23691.000000,,,49386.000000,0.000000,,,,January - May
"2025-06-01",2025,6,Vehicles,34768.000000,,,84154.000000,0.000000,,,,January - June
"2025-07-01",2025,7,Vehicles,46485.000000,,,130639.000000,0.000000,,,,January - July
"2025-08-01",2025,8,Vehicles,45261.000000,,,175900.000000,0.000000,,,,January - August
"2025-09-01",2025,9,Vehicles,34805.000000,,,210705.000000,0.000000,,,,January - September
"2025-10-01",2025,10,Vehicles,12388.000000,,,223093.000000,0.000000,,,,January - October
"2025-11-01",2025,11,Vehicles,4514.000000,,,227607.000000,0.000000,,,,January - November
"2025-12-01",2025,12,Vehicles,3427.000000,,,231034.000000,0.000000,,,,January - December
"2026-01-01",2026,1,Air,5504.000000,5567.000000,-1.1,5504.000000,5567.000000,-1.1,,,January - January
"2026-02-01",2026,2,Air,5972.000000,5516.000000,8.3,11476.000000,11083.000000,3.5,,,January - February
"2026-03-01",2026,3,Air,11157.000000,9918.000000,12.5,22633.000000,21001.000000,7.8,,,January - March
"2026-01-01",2026,1,Bus,8.000000,6.000000,33.3,8.000000,6.000000,33.3,,,January - January
"2026-02-01",2026,2,Bus,53.000000,77.000000,-31.2,61.000000,83.000000,-26.5,,,January - February
"2026-03-01",2026,3,Bus,16.000000,22.000000,-27.3,77.000000,105.000000,-26.7,,,January - March
"2026-01-01",2026,1,Train,0.000000,0.000000,,0.000000,0.000000,,,,January - January
"2026-02-01",2026,2,Train,0.000000,0.000000,,0.000000,0.000000,,,,January - February
"2026-03-01",2026,3,Train,0.000000,0.000000,,0.000000,0.000000,,,,January - March
"2026-01-01",2026,1,Vehicles,3586.000000,4016.000000,-10.7,3586.000000,4016.000000,-10.7,,,January - January
"2026-02-01",2026,2,Vehicles,3604.000000,3929.000000,-8.3,7190.000000,7945.000000,-9.5,,,January - February
"2026-03-01",2026,3,Vehicles,7134.000000,7948.000000,-10.2,14324.000000,15893.000000,-9.9,,,January - March
