date,year,month,location,monthly_total_visitors,prev_year_monthly_total,monthly_percentage_difference,ytd_total_visitors,prev_year_ytd_total,ytd_percentage_difference,ytd_month_range
2013-05-01,2013,5,Beaver Creek VIC,1359,,,1359,0,,May - May
2013-06-01,2013,6,Beaver Creek VIC,3979,,,5338,0,,May - June
2013-07-01,2013,7,Beaver Creek VIC,4378,,,9716,0,,May - July
2013-08-01,2013,8,Beaver Creek VIC,4197,,,13913,0,,May - August
2013-09-01,2013,9,Beaver Creek VIC,1121,,,15034,0,,May - September
2013-05-01,2013,5,Carcross VIC,8164,,,8164,0,,May - May
2013-06-01,2013,6,Carcross VIC,14377,,,22541,0,,May - June
2013-07-01,2013,7,Carcross VIC,20807,,,43348,0,,May - July
2013-08-01,2013,8,Carcross VIC,20012,,,63360,0,,May - August
2013-09-01,2013,9,Carcross VIC,10669,,,74029,0,,May - September
2013-05-01,2013,5,Dawson VIC,2169,,,2169,0,,May - May
2013-06-01,2013,6,Dawson VIC,9296,,,11465,0,,May - June
2013-07-01,2013,7,Dawson VIC,9742,,,21207,0,,May - July
2013-08-01,2013,8,Dawson VIC,9225,,,30432,0,,May - August
2013-09-01,2013,9,Dawson VIC,2498,,,32930,0,,May - September
2013-05-01,2013,5,Haines Junction VIC,1617,,,1617,0,,May - May
2013-06-01,2013,6,Haines Junction VIC,6037,,,7654,0,,May - June
2013-07-01,2013,7,Haines Junction VIC,8026,,,15680,0,,May - July
2013-08-01,2013,8,Haines Junction VIC,8220,,,23900,0,,May - August
2013-09-01,2013,9,Haines Junction VIC,2556,,,26456,0,,May - September
2013-05-01,2013,5,Watson Lake VIC,1939,,,1939,0,,May - May
2013-06-01,2013,6,Watson Lake VIC,5897,,,7836,0,,May - June
2013-07-01,2013,7,Watson Lake VIC,6460,,,14296,0,,May - July
2013-08-01,2013,8,Watson Lake VIC,4463,,,18759,0,,May - August
2013-09-01,2013,9,Watson Lake VIC,1550,,,20309,0,,May - September
2013-05-01,2013,5,Whitehorse VIC,6703,,,6703,0,,May - May
2013-06-01,2013,6,Whitehorse VIC,17086,,,23789,0,,May - June
2013-07-01,2013,7,Whitehorse VIC,18312,,,42101,0,,May - July
2013-08-01,2013,8,Whitehorse VIC,14886,,,56987,0,,May - August
2013-09-01,2013,9,Whitehorse VIC,6627,,,63614,0,,May - September
2013-10-01,2013,10,Whitehorse VIC,2071,,,65685,0,,May - October
2013-11-01,2013,11,Whitehorse VIC,1227,,,66912,0,,May - November
2013-12-01,2013,12,Whitehorse VIC,1243,,,68155,0,,May - December
2014-05-01,2014,5,Beaver Creek VIC,968,,,968,0,,May - May
2014-06-01,2014,6,Beaver Creek VIC,2381,,,3349,0,,May - June
2014-07-01,2014,7,Beaver Creek VIC,3889,,,7238,0,,May - July
2014-08-01,2014,8,Beaver Creek VIC,3646,,,10884,0,,May - August
2014-09-01,2014,9,Beaver Creek VIC,1215,,,12099,0,,May - September
2014-05-01,2014,5,Carcross VIC,9150,,,9150,0,,May - May
2014-06-01,2014,6,Carcross VIC,16762,,,25912,0,,May - June
2014-07-01,2014,7,Carcross VIC,19657,,,45569,0,,May - July
2014-08-01,2014,8,Carcross VIC,19999,,,65568,0,,May - August
2014-09-01,2014,9,Carcross VIC,11390,,,76958,0,,May - September
2014-05-01,2014,5,Dawson VIC,2101,,,2101,0,,May - May
2014-06-01,2014,6,Dawson VIC,6098,,,8199,0,,May - June
2014-07-01,2014,7,Dawson VIC,8888,,,17087,0,,May - July
2014-08-01,2014,8,Dawson VIC,8986,,,26073,0,,May - August
2014-09-01,2014,9,Dawson VIC,3471,,,29544,0,,May - September
2014-05-01,2014,5,Haines Junction VIC,1395,,,1395,0,,May - May
2014-06-01,2014,6,Haines Junction VIC,4682,,,6077,0,,May - June
2014-07-01,2014,7,Haines Junction VIC,6958,,,13035,0,,May - July
2014-08-01,2014,8,Haines Junction VIC,6540,,,19575,0,,May - August
2014-09-01,2014,9,Haines Junction VIC,3010,,,22585,0,,May - September
2014-05-01,2014,5,Watson Lake VIC,1919,,,1919,0,,May - May
2014-06-01,2014,6,Watson Lake VIC,6146,,,8065,0,,May - June
2014-07-01,2014,7,Watson Lake VIC,6178,,,14243,0,,May - July
2014-08-01,2014,8,Watson Lake VIC,5137,,,19380,0,,May - August
