"date","year","month","monthly_total_visitors","prev_year_monthly_total","monthly_percentage_difference","ytd_total_visitors","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"2013-05-01",2013,5,22419,,,22419,0,,May - May
"2013-06-01",2013,6,57854,,,80273,0,,May - June
"2013-07-01",2013,7,69021,,,149294,0,,May - July
"2013-08-01",2013,8,62495,,,211789,0,,May - August
"2013-09-01",2013,9,25698,,,237487,0,,May - September
"2013-10-01",2013,10,2071,,,239558,0,,May - October
"2013-11-01",2013,11,1227,,,240785,0,,May - November
"2013-12-01",2013,12,1243,,,242028,0,,May - December
"2014-01-01",2014,1,917,,,917,0,,January - January
"2014-02-01",2014,2,1266,,,2183,0,,January - February
"2014-03-01",2014,3,866,,,3049,0,,January - March
"2014-04-01",2014,4,949,,,3998,0,,January - April
"2014-05-01",2014,5,22926,22419,2.3,26924,22419,20.1,January - May
"2014-06-01",2014,6,55071,57854,-4.8,81995,80273,2.1,January - June
"2014-07-01",2014,7,66607,69021,-3.5,148602,149294,-0.5,January - July
"2014-08-01",2014,8,60982,62495,-2.4,209584,211789,-1.0,January - August
"2014-09-01",2014,9,30988,25698,20.6,240572,237487,1.3,January - September
"2014-10-01",2014,10,1961,2071,-5.3,242533,239558,1.2,January - October
"2014-11-01",2014,11,1564,1227,27.5,244097,240785,1.4,January - November
"2014-12-01",2014,12,2238,1243,80.0,246335,242028,1.8,January - December
"2015-01-01",2015,1,2022,917,120.5,2022,917,120.5,January - January
"2015-02-01",2015,2,2440,1266,92.7,4462,2183,104.4,January - February
"2015-03-01",2015,3,2831,866,226.9,7293,3049,139.2,January - March
"2015-04-01",2015,4,2662,949,180.5,9955,3998,149.0,January - April
"2015-05-01",2015,5,21699,22926,-5.4,31654,26924,17.6,January - May
"2015-06-01",2015,6,55396,55071,0.6,87050,81995,6.2,January - June
"2015-07-01",2015,7,66781,66607,0.3,153831,148602,3.5,January - July
"2015-08-01",2015,8,59119,60982,-3.1,212950,209584,1.6,January - August
"2015-09-01",2015,9,31342,30988,1.1,244292,240572,1.5,January - September
"2015-10-01",2015,10,3815,1961,94.5,248107,242533,2.3,January - October
"2015-11-01",2015,11,2175,1564,39.1,250282,244097,2.5,January - November
"2015-12-01",2015,12,2241,2238,0.1,252523,246335,2.5,January - December
"2016-01-01",2016,1,2490,2022,23.1,2490,2022,23.1,January - January
"2016-02-01",2016,2,3004,2440,23.1,5494,4462,23.1,January - February
"2016-03-01",2016,3,2935,2831,3.7,8429,7293,15.6,January - March
"2016-04-01",2016,4,2909,2662,9.3,11338,9955,13.9,January - April
"2016-05-01",2016,5,29360,21699,35.3,40698,31654,28.6,January - May
"2016-06-01",2016,6,69184,55396,24.9,109882,87050,26.2,January - June
"2016-07-01",2016,7,87157,66781,30.5,197039,153831,28.1,January - July
"2016-08-01",2016,8,79989,59119,35.3,277028,212950,30.1,January - August
