"date","year","month","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"2014-11-01",2014,11,90,,,90,0,,November - November
"2014-12-01",2014,12,1730,,,1820,0,,November - December
"2015-01-01",2015,1,2795,,,2795,0,,January - January
"2015-02-01",2015,2,3014,,,5809,0,,January - February
"2015-03-01",2015,3,3237,,,9046,0,,January - March
"2015-04-01",2015,4,3391,,,12437,0,,January - April
"2015-05-01",2015,5,4243,,,16680,0,,January - May
"2015-06-01",2015,6,7516,,,24196,0,,January - June
"2015-07-01",2015,7,9978,,,34174,0,,January - July
"2015-08-01",2015,8,11309,,,45483,0,,January - August
"2015-09-01",2015,9,9359,,,54842,0,,January - September
"2015-10-01",2015,10,6515,,,61357,0,,January - October
"2015-11-01",2015,11,5180,90,5655.6,66537,90,73830.0,January - November
"2015-12-01",2015,12,3783,1730,118.7,70320,1820,3763.7,January - December
"2016-01-01",2016,1,4699,2795,68.1,4699,2795,68.1,January - January
"2016-02-01",2016,2,4370,3014,45.0,9069,5809,56.1,January - February
"2016-03-01",2016,3,5278,3237,63.1,14347,9046,58.6,January - March
"2016-04-01",2016,4,5786,3391,70.6,20133,12437,61.9,January - April
"2016-05-01",2016,5,8416,4243,98.4,28549,16680,71.2,January - May
"2016-06-01",2016,6,11003,7516,46.4,39552,24196,63.5,January - June
"2016-07-01",2016,7,11462,9978,14.9,51014,34174,49.3,January - July
"2016-08-01",2016,8,7778,11309,-31.2,58792,45483,29.3,January - August
"2016-09-01",2016,9,9968,9359,6.5,68760,54842,25.4,January - September
"2016-10-01",2016,10,7953,6515,22.1,76713,61357,25.0,January - October
"2016-11-01",2016,11,5752,5180,11.0,82465,66537,23.9,January - November
"2016-12-01",2016,12,4682,3783,23.8,87147,70320,23.9,January - December
"2017-01-01",2017,1,5535,4699,17.8,5535,4699,17.8,January - January
"2017-02-01",2017,2,4653,4370,6.5,10188,9069,12.3,January - February
"2017-03-01",2017,3,4906,5278,-7.0,15094,14347,5.2,January - March
"2017-04-01",2017,4,6086,5786,5.2,21180,20133,5.2,January - April
"2017-05-01",2017,5,7749,8416,-7.9,28929,28549,1.3,January - May
"2017-06-01",2017,6,9677,11003,-12.1,38606,39552,-2.4,January - June
"2017-07-01",2017,7,12235,11462,6.7,50841,51014,-0.3,January - July
"2017-08-01",2017,8,12285,7778,57.9,63126,58792,7.4,January - August
"2017-09-01",2017,9,11045,9968,10.8,74171,68760,7.9,January - September
"2017-10-01",2017,10,7779,7953,-2.2,81950,76713,6.8,January - October
"2017-11-01",2017,11,5254,5752,-8.7,87204,82465,5.7,January - November
"2017-12-01",2017,12,4508,4682,-3.7,91712,87147,5.2,January - December
"2018-01-01",2018,1,4653,5535,-15.9,4653,5535,-15.9,January - January
"2018-02-01",2018,2,4251,4653,-8.6,8904,10188,-12.6,January - February
"2018-03-01",2018,3,5512,4906,12.4,14416,15094,-4.5,January - March
"2018-04-01",2018,4,5725,6086,-5.9,20141,21180,-4.9,January - April
"2018-05-01",2018,5,6141,7749,-20.8,26282,28929,-9.1,January - May
"2018-06-01",2018,6,10008,9677,3.4,36290,38606,-6.0,January - June
"2018-07-01",2018,7,11938,12235,-2.4,48228,50841,-5.1,January - July
"2018-08-01",2018,8,13333,12285,8.5,61561,63126,-2.5,January - August
"2018-09-01",2018,9,10731,11045,-2.8,72292,74171,-2.5,January - September
"2018-10-01",2018,10,7585,7779,-2.5,79877,81950,-2.5,January - October
"2018-11-01",2018,11,5389,5254,2.6,85266,87204,-2.2,January - November
"2018-12-01",2018,12,5063,4508,12.3,90329,91712,-1.5,January - December
"2019-01-01",2019,1,4704,4653,1.1,4704,4653,1.1,January - January
"2019-02-01",2019,2,4518,4251,6.3,9222,8904,3.6,January - February
"2019-03-01",2019,3,5709,5512,3.6,14931,14416,3.6,January - March
"2019-04-01",2019,4,6800,5725,18.8,21731,20141,7.9,January - April
"2019-05-01",2019,5,8560,6141,39.4,30291,26282,15.3,January - May
"2019-06-01",2019,6,10817,10008,8.1,41108,36290,13.3,January - June
"2019-07-01",2019,7,11150,11938,-6.6,52258,48228,8.4,January - July
"2019-08-01",2019,8,12663,13333,-5.0,64921,61561,5.5,January - August
"2019-09-01",2019,9,11154,10731,3.9,76075,72292,5.2,January - September
"2019-10-01",2019,10,8569,7585,13.0,84644,79877,6.0,January - October
"2019-11-01",2019,11,6016,5389,11.6,90660,85266,6.3,January - November
"2019-12-01",2019,12,5728,5063,13.1,96388,90329,6.7,January - December
"2020-01-01",2020,1,4777,4704,1.6,4777,4704,1.6,January - January
"2020-02-01",2020,2,4952,4518,9.6,9729,9222,5.5,January - February
"2020-03-01",2020,3,5139,5709,-10.0,14868,14931,-0.4,January - March
"2020-04-01",2020,4,3927,6800,-42.3,18795,21731,-13.5,January - April
"2020-05-01",2020,5,4901,8560,-42.7,23696,30291,-21.8,January - May
"2020-06-01",2020,6,6075,10817,-43.8,29771,41108,-27.6,January - June
"2020-07-01",2020,7,8177,11150,-26.7,37948,52258,-27.4,January - July
"2020-08-01",2020,8,8811,12663,-30.4,46759,64921,-28.0,January - August
"2020-09-01",2020,9,8540,11154,-23.4,55299,76075,-27.3,January - September
"2020-10-01",2020,10,7802,8569,-9.0,63101,84644,-25.5,January - October
"2020-11-01",2020,11,6404,6016,6.4,69505,90660,-23.3,January - November
"2020-12-01",2020,12,6035,5728,5.4,75540,96388,-21.6,January - December
"2021-01-01",2021,1,6177,4777,29.3,6177,4777,29.3,January - January
"2021-02-01",2021,2,4073,4952,-17.8,10250,9729,5.4,January - February
"2021-03-01",2021,3,5178,5139,0.8,15428,14868,3.8,January - March
"2021-04-01",2021,4,6284,3927,60.0,21712,18795,15.5,January - April
"2021-05-01",2021,5,7250,4901,47.9,28962,23696,22.2,January - May
"2021-06-01",2021,6,8593,6075,41.4,37555,29771,26.1,January - June
"2021-07-01",2021,7,9510,8177,16.3,47065,37948,24.0,January - July
"2021-08-01",2021,8,10828,8811,22.9,57893,46759,23.8,January - August
"2021-09-01",2021,9,10878,8540,27.4,68771,55299,24.4,January - September
"2021-10-01",2021,10,8312,7802,6.5,77083,63101,22.2,January - October
"2021-11-01",2021,11,6450,6404,0.7,83533,69505,20.2,January - November
"2021-12-01",2021,12,5068,6035,-16.0,88601,75540,17.3,January - December
"2022-01-01",2022,1,4842,6177,-21.6,4842,6177,-21.6,January - January
"2022-02-01",2022,2,4631,4073,13.7,9473,10250,-7.6,January - February
"2022-03-01",2022,3,6151,5178,18.8,15624,15428,1.3,January - March
"2022-04-01",2022,4,6513,6284,3.6,22137,21712,2.0,January - April
"2022-05-01",2022,5,7942,7250,9.5,30079,28962,3.9,January - May
"2022-06-01",2022,6,10991,8593,27.9,41070,37555,9.4,January - June
"2022-07-01",2022,7,12171,9510,28.0,53241,47065,13.1,January - July
"2022-08-01",2022,8,12464,10828,15.1,65705,57893,13.5,January - August
"2022-09-01",2022,9,9892,10878,-9.1,75597,68771,9.9,January - September
"2022-10-01",2022,10,8860,8312,6.6,84457,77083,9.6,January - October
"2022-11-01",2022,11,6118,6450,-5.1,90575,83533,8.4,January - November
"2022-12-01",2022,12,5171,5068,2.0,95746,88601,8.1,January - December
"2023-01-01",2023,1,5588,4842,15.4,5588,4842,15.4,January - January
"2023-02-01",2023,2,5609,4631,21.1,11197,9473,18.2,January - February
"2023-03-01",2023,3,5571,6151,-9.4,16768,15624,7.3,January - March
"2023-04-01",2023,4,7055,6513,8.3,23823,22137,7.6,January - April
"2023-05-01",2023,5,8449,7942,6.4,32272,30079,7.3,January - May
"2023-06-01",2023,6,11104,10991,1.0,43376,41070,5.6,January - June
"2023-07-01",2023,7,13282,12171,9.1,56658,53241,6.4,January - July
"2023-08-01",2023,8,14089,12464,13.0,70747,65705,7.7,January - August
"2023-09-01",2023,9,13420,9892,35.7,84167,75597,11.3,January - September
"2023-10-01",2023,10,9634,8860,8.7,93801,84457,11.1,January - October
"2023-11-01",2023,11,7652,6118,25.1,101453,90575,12.0,January - November
"2023-12-01",2023,12,6873,5171,32.9,108326,95746,13.1,January - December
"2024-01-01",2024,1,6284,5588,12.5,6284,5588,12.5,January - January
"2024-02-01",2024,2,6017,5609,7.3,12301,11197,9.9,January - February
"2024-03-01",2024,3,7268,5571,30.5,19569,16768,16.7,January - March
"2024-04-01",2024,4,7620,7055,8.0,27189,23823,14.1,January - April
"2024-05-01",2024,5,7684,8449,-9.1,34873,32272,8.1,January - May
"2024-06-01",2024,6,13093,11104,17.9,47966,43376,10.6,January - June
"2024-07-01",2024,7,13026,13282,-1.9,60992,56658,7.6,January - July
"2024-08-01",2024,8,14164,14089,0.5,75156,70747,6.2,January - August
"2024-09-01",2024,9,13650,13420,1.7,88806,84167,5.5,January - September
"2024-10-01",2024,10,10834,9634,12.5,99640,93801,6.2,January - October
"2024-11-01",2024,11,5318,7652,-30.5,104958,101453,3.5,January - November
