year,site,value
2007,Chilkoot Trail,2296
1990,Klondike National Historic Site,48171
1989,Kluane National Park,69022
1974,SS Klondike,23597
2014,SS Klondike,19928
2015,Kluane National Park,27026
1981,Chilkoot Trail,2701
2021,Klondike National Historic Site,21138
2007,Klondike National Historic Site,21311
2021,Chilkoot Trail,51
2001,Kluane National Park,48331
1988,SS Klondike,41190
1995,Klondike National Historic Site,43110
1994,Kluane National Park,72411
1977,Kluane National Park,4558
1995,Chilkoot Trail,3648
2020,Kluane National Park,6585
2009,Klondike National Historic Site,20424
1983,Chilkoot Trail,1585
2000,SS Klondike,20385
2009,Chilkoot Trail,2419
2003,Kluane National Park,39078
1981,SS Klondike,38831
2021,SS Klondike,3933
2000,Klondike National Historic Site,36039
1982,Kluane National Park,66512
2000,Chilkoot Trail,3331
2022,Kluane National Park,47001
2012,SS Klondike,13506
2014,Klondike National Historic Site,16738
1988,Chilkoot Trail,1676
1995,SS Klondike,26871
2014,Chilkoot Trail,1953
2008,Kluane National Park,37028
2002,Chilkoot Trail,3069
1976,SS Klondike,23824
1984,Kluane National Park,60021
2019,SS Klondike,39628
1988,Klondike National Historic Site,38214
2007,SS Klondike,14975
1976,Chilkoot Trail,1508
2019,Klondike National Historic Site,50031
2002,Klondike National Historic Site,31822
2019,Chilkoot Trail,3478
2013,Kluane National Park,32632
1996,Kluane National Park,75447
1993,SS Klondike,40913
1971,SS Klondike,15438
2011,SS Klondike,14803
1990,Chilkoot Trail,2358
2012,Kluane National Park,43750
2002,SS Klondike,16719
2004,Klondike National Historic Site,17460
1978,Chilkoot Trail,1948
2018,Chilkoot Trail,3150
1985,SS Klondike,40630
2004,Chilkoot Trail,3075
1998,Kluane National Park,63077
1981,Kluane National Park,52393
1992,Chilkoot Trail,2715
2009,SS Klondike,13544
2018,Klondike National Historic Site,40436
2017,Kluane National Park,29743
2000,Kluane National Park,49480
1997,SS Klondike,20450
1992,Klondike National Historic Site,47121
1986,Kluane National Park,69431
1983,SS Klondike,43481
1997,Chilkoot Trail,3375
2019,Kluane National Park,28955
1979,Kluane National Park,7945
2004,SS Klondike,16058
1980,Chilkoot Trail,2310
2005,Kluane National Park,44383
1992,SS Klondike,47447
2011,Klondike National Historic Site,19401
1997,Klondike National Historic Site,33660
2011,Chilkoot Trail,2331
1991,Kluane National Park,67412
1978,SS Klondike,29102
2016,SS Klondike,26723
1985,Chilkoot Trail,1409
2010,Kluane National Park,47390
1999,Klondike National Historic Site,39215
1973,Chilkoot Trail,981
2016,Klondike National Historic Site,31966
1990,SS Klondike,42050
1999,Chilkoot Trail,3135
1993,Kluane National Park,79180
2016,Chilkoot Trail,2922
1973,SS Klondike,29670
1987,Chilkoot Trail,1705
2009,Kluane National Park,41673
1994,SS Klondike,24960
2013,Klondike National Historic Site,18301
1995,Kluane National Park,66590
1982,SS Klondike,41843
2001,Klondike National Historic Site,33958
2001,Chilkoot Trail,2885
2008,SS Klondike,14322
2015,Klondike National Historic Site,34201
2014,Kluane National Park,25078
2006,SS Klondike,14806
2015,Chilkoot Trail,2468
1989,SS Klondike,40647
1975,Chilkoot Trail,1288
1989,Klondike National Historic Site,41334
2006,Klondike National Historic Site,13884
1980,SS Klondike,31400
2020,SS Klondike,1802
1989,Chilkoot Trail,2079
1983,Kluane National Park,50709
2006,Chilkoot Trail,2236
1977,Chilkoot Trail,1705
2020,Klondike National Historic Site,9258
2001,SS Klondike,17464
2020,Chilkoot Trail,145
2002,Kluane National Park,47497
1994,Klondike National Historic Site,47168
2008,Chilkoot Trail,2371
1975,SS Klondike,23951
1994,Chilkoot Trail,7045
1988,Kluane National Park,80521
2018,SS Klondike,41805
1982,Chilkoot Trail,2366
2021,Kluane National Park,25034
1999,SS Klondike,22687
2008,Klondike National Historic Site,18320
2007,Kluane National Park,40523
1990,Kluane National Park,74720
1987,SS Klondike,42524
1996,Klondike National Historic Site,46063
2013,Chilkoot Trail,2314
1996,Chilkoot Trail,3097
1976,Kluane National Park,2290
2013,SS Klondike,17964
2010,Klondike National Historic Site,19609
2006,Kluane National Park,41537
1991,SS Klondike,41698
2010,Chilkoot Trail,2272
1993,Klondike National Historic Site,45583
1992,Kluane National Park,84700
2022,SS Klondike,4792
1998,Chilkoot Trail,3895
2018,Kluane National Park,32066
2005,SS Klondike,13877
1984,Chilkoot Trail,1968
1978,Kluane National Park,8737
2012,Chilkoot Trail,2148
2011,Kluane National Park,48521
1986,SS Klondike,40312
1998,Klondike National Historic Site,50728
1997,Kluane National Park,70469
1980,Kluane National Park,35337
1977,SS Klondike,31860
2017,SS Klondike,45244
2003,Chilkoot Trail,3103
2012,Klondike National Historic Site,21148
1986,Chilkoot Trail,1596
2003,SS Klondike,17298
2017,Chilkoot Trail,3016
2016,Kluane National Park,27606
1999,Kluane National Park,59416
1984,SS Klondike,46809
2003,Klondike National Historic Site,25551
1985,Kluane National Park,65338
1972,SS Klondike,33410
1991,Klondike National Historic Site,40310
2015,SS Klondike,25188
1974,Chilkoot Trail,1346
2017,Klondike National Historic Site,37351
1991,Chilkoot Trail,2333
1998,SS Klondike,25328
2005,Klondike National Historic Site,15181
2022,Chilkoot Trail,86
2004,Kluane National Park,45609
1996,SS Klondike,24559
2005,Chilkoot Trail,2645
1979,SS Klondike,32769
1987,Kluane National Park,81804
1993,Chilkoot Trail,2977
2010,SS Klondike,15415
1979,Chilkoot Trail,2303
2022,Klondike National Historic Site,60056
