"date","type","geo","count"
2025-01-01 00:00:00.000,Air,Beaver Creek,2
2025-01-01 00:00:00.000,Air,Dawson,11
2025-01-01 00:00:00.000,Air,Whitehorse,1
2025-01-01 00:00:00.000,Automobile,Beaver Creek,990
2025-01-01 00:00:00.000,Automobile,Fraser,723
2025-01-01 00:00:00.000,Automobile,Pleasant Camp,588
2025-01-01 00:00:00.000,Bus,Beaver Creek,8
2025-02-01 00:00:00.000,Air,Whitehorse,21
2025-02-01 00:00:00.000,Automobile,Beaver Creek,1205
2025-02-01 00:00:00.000,Automobile,Fraser,827
2025-02-01 00:00:00.000,Automobile,Pleasant Camp,641
2025-02-01 00:00:00.000,Bus,Beaver Creek,17
2025-02-01 00:00:00.000,Bus,Fraser,29
2025-02-01 00:00:00.000,Bus,Pleasant Camp,38
2025-03-01 00:00:00.000,Air,Whitehorse,26
2025-03-01 00:00:00.000,Automobile,Beaver Creek,1837
2025-03-01 00:00:00.000,Automobile,Fraser,1675
2025-03-01 00:00:00.000,Automobile,Pleasant Camp,1112
2025-03-01 00:00:00.000,Bus,Beaver Creek,26
2025-04-01 00:00:00.000,Air,Dawson,23
2025-04-01 00:00:00.000,Air,Whitehorse,38
2025-04-01 00:00:00.000,Automobile,Beaver Creek,2521
2025-04-01 00:00:00.000,Automobile,Fraser,2568
2025-04-01 00:00:00.000,Automobile,Pleasant Camp,1220
2025-04-01 00:00:00.000,Bus,Fraser,448
2025-04-01 00:00:00.000,Bus,Pleasant Camp,16
2025-05-01 00:00:00.000,Air,Beaver Creek,4
2025-05-01 00:00:00.000,Air,Dawson,795
2025-05-01 00:00:00.000,Air,Whitehorse,32
2025-05-01 00:00:00.000,Automobile,Beaver Creek,5049
2025-05-01 00:00:00.000,Automobile,Fraser,8080
2025-05-01 00:00:00.000,Automobile,Little Gold Creek,311
2025-05-01 00:00:00.000,Automobile,Pleasant Camp,2619
2025-05-01 00:00:00.000,Bus,Beaver Creek,62
2025-05-01 00:00:00.000,Bus,Fraser,29559
2025-05-01 00:00:00.000,Bus,Pleasant Camp,73
2025-05-01 00:00:00.000,Train,Fraser,16522
2025-06-01 00:00:00.000,Air,Beaver Creek,9
2025-06-01 00:00:00.000,Air,Dawson,1672
2025-06-01 00:00:00.000,Air,Fraser,3
2025-06-01 00:00:00.000,Air,Old Crow,9
2025-06-01 00:00:00.000,Air,Whitehorse,35
2025-06-01 00:00:00.000,Automobile,Beaver Creek,8865
2025-06-01 00:00:00.000,Automobile,Fraser,14257
2025-06-01 00:00:00.000,Automobile,Little Gold Creek,1981
2025-06-01 00:00:00.000,Automobile,Pleasant Camp,4546
2025-06-01 00:00:00.000,Bus,Beaver Creek,583
2025-06-01 00:00:00.000,Bus,Fraser,48133
2025-06-01 00:00:00.000,Bus,Little Gold Creek,34
2025-06-01 00:00:00.000,Bus,Pleasant Camp,481
2025-06-01 00:00:00.000,Train,Fraser,25889
2025-07-01 00:00:00.000,Air,Beaver Creek,17
2025-07-01 00:00:00.000,Air,Dawson,1899
2025-07-01 00:00:00.000,Air,Fraser,7
2025-07-01 00:00:00.000,Air,Old Crow,26
2025-07-01 00:00:00.000,Air,Whitehorse,135
2025-07-01 00:00:00.000,Automobile,Beaver Creek,13029
2025-07-01 00:00:00.000,Automobile,Fraser,17392
2025-07-01 00:00:00.000,Automobile,Little Gold Creek,3217
2025-07-01 00:00:00.000,Automobile,Pleasant Camp,5038
2025-07-01 00:00:00.000,Bus,Beaver Creek,363
2025-07-01 00:00:00.000,Bus,Fraser,54171
2025-07-01 00:00:00.000,Bus,Little Gold Creek,43
2025-07-01 00:00:00.000,Bus,Pleasant Camp,773
2025-07-01 00:00:00.000,Train,Fraser,28479
2025-08-01 00:00:00.000,Air,Beaver Creek,23
2025-08-01 00:00:00.000,Air,Dawson,2075
2025-08-01 00:00:00.000,Air,Fraser,4
2025-08-01 00:00:00.000,Air,Whitehorse,143
2025-08-01 00:00:00.000,Automobile,Beaver Creek,13179
