"year","visitors","transportation_type"
2015,99887.000000,Air
2016,107041.000000,Air
2017,115558.000000,Air
2018,121893.000000,Air
2019,128014.000000,Air
2020,22666.000000,Air
2021,39520.000000,Air
2022,92452.000000,Air
2023,114523.000000,Air
2024,136154.000000,Air
2025,148589.000000,Air
2015,105939.000000,Bus
2016,98766.000000,Bus
2017,110901.000000,Bus
2018,139143.000000,Bus
2019,150360.000000,Bus
2020,120.000000,Bus
2021,62.000000,Bus
2022,25530.000000,Bus
2023,154531.000000,Bus
2024,177643.000000,Bus
2025,202253.000000,Bus
2015,70468.000000,Train
2016,69331.000000,Train
2017,63009.000000,Train
2018,84529.000000,Train
2019,62327.000000,Train
2022,16.000000,Train
2023,85636.000000,Train
2024,102119.000000,Train
2025,108410.000000,Train
2015,186558.000000,Vehicles
2016,218405.000000,Vehicles
2017,238007.000000,Vehicles
2018,242914.000000,Vehicles
2019,250874.000000,Vehicles
2020,82649.000000,Vehicles
2021,99060.000000,Vehicles
2022,186583.000000,Vehicles
2023,239946.000000,Vehicles
2024,235276.000000,Vehicles
2025,231034.000000,Vehicles
