"year","visitors","yoy_change_pct","vs_2019_change_pct"
1987,227000.000000,,-58.000000
1994,242000.000000,6.600000,-55.300000
1999,272000.000000,12.400000,-49.700000
2004,294000.000000,8.100000,-45.700000
2012,371000.000000,26.200000,-31.400000
2018,575000.000000,55.000000,6.300000
2019,541000.000000,-5.900000,0.000000
2020,121000.000000,-77.600000,-77.600000
2021,188000.000000,55.400000,-65.200000
2022,337000.000000,79.300000,-37.700000
2023,527000.000000,56.400000,-2.600000
2024,574000.000000,8.900000,6.100000
2025,690286.000000,20.300000,27.600000
