year,measure,sector,value,reference
2022,Gross revenues attributable to tourism,Total,400.7,Yukon Business Survey 2023
2022,Gross revenues attributable to tourism,Retail trade,150.6,Yukon Business Survey 2023
2022,Gross revenues attributable to tourism,Accommodation and food services,102.1,Yukon Business Survey 2023
2022,Gross revenues attributable to tourism,Transportation and warehousing,51.3,Yukon Business Survey 2023
2022,Gross revenues attributable to tourism,Finance and insurance,29.0,Yukon Business Survey 2023
2022,Gross revenues attributable to tourism,Wholesale trade,14.4,Yukon Business Survey 2023
2022,Gross revenues attributable to tourism,Information and cultural industries,12.3,Yukon Business Survey 2023
2022,Gross revenues attributable to tourism,All other industries,41.0,Yukon Business Survey 2023
2022,GDP attributable to tourism,Total,156.7,Yukon Business Survey 2023
2022,GDP attributable to tourism,Retail trade,28.4,Yukon Business Survey 2023
2022,GDP attributable to tourism,Accommodation and food services,53.0,Yukon Business Survey 2023
2022,GDP attributable to tourism,Transportation and warehousing,24.6,Yukon Business Survey 2023
2022,GDP attributable to tourism,Finance and insurance,12.4,Yukon Business Survey 2023
2022,GDP attributable to tourism,Wholesale trade,5.1,Yukon Business Survey 2023
2022,GDP attributable to tourism,Information and cultural industries,8.5,Yukon Business Survey 2023
2022,GDP attributable to tourism,All other industries,24.6,Yukon Business Survey 2023
2020,Gross revenues attributable to tourism,Total,146.2,Yukon Business Survey 2021
2020,Gross revenues attributable to tourism,Retail trade,55.9,Yukon Business Survey 2021
2020,Gross revenues attributable to tourism,Accommodation and food services,29.5,Yukon Business Survey 2021
2020,Gross revenues attributable to tourism,Real estate and rental leasing,23.5,Yukon Business Survey 2021
2020,Gross revenues attributable to tourism,Transportation and warehousing,11.6,Yukon Business Survey 2021
2020,Gross revenues attributable to tourism,Wholesale trade,5.5,Yukon Business Survey 2021
2020,Gross revenues attributable to tourism,"Arts, entertainment and recreation",5.1,Yukon Business Survey 2021
2020,Gross revenues attributable to tourism,All other industries,15.2,Yukon Business Survey 2021
2020,GDP attributable to tourism,Total,63.7,Yukon Business Survey 2021
2020,GDP attributable to tourism,Retail trade,9.8,Yukon Business Survey 2021
2020,GDP attributable to tourism,Accommodation and food services,15.6,Yukon Business Survey 2021
2020,GDP attributable to tourism,Real estate and rental leasing,19.7,Yukon Business Survey 2021
2020,GDP attributable to tourism,Transportation and warehousing,5.4,Yukon Business Survey 2021
2020,GDP attributable to tourism,Wholesale trade,2.0,Yukon Business Survey 2021
2020,GDP attributable to tourism,"Arts, entertainment and recreation",2.5,Yukon Business Survey 2021
2020,GDP attributable to tourism,All other industries,8.7,Yukon Business Survey 2021
2018,Gross revenues attributable to tourism,Total,367.8,Yukon Business Survey 2019
2018,Gross revenues attributable to tourism,Retail trade,118.1,Yukon Business Survey 2019
2018,Gross revenues attributable to tourism,Accommodation and food services,82.5,Yukon Business Survey 2019
2018,Gross revenues attributable to tourism,Transportation and warehousing,73.8,Yukon Business Survey 2019
2018,Gross revenues attributable to tourism,Wholesale trade,21.8,Yukon Business Survey 2019
2018,Gross revenues attributable to tourism,Real estate and rental leasing,16.8,Yukon Business Survey 2019
2018,Gross revenues attributable to tourism,"Arts, entertainment and recreation",10.3,Yukon Business Survey 2019
2018,Gross revenues attributable to tourism,All other industries,44.5,Yukon Business Survey 2019
2018,GDP attributable to tourism,Total,146.1,Yukon Business Survey 2019
2018,GDP attributable to tourism,Retail trade,22.3,Yukon Business Survey 2019
2018,GDP attributable to tourism,Accommodation and food services,42.5,Yukon Business Survey 2019
2018,GDP attributable to tourism,Transportation and warehousing,35.5,Yukon Business Survey 2019
2018,GDP attributable to tourism,Wholesale trade,6.0,Yukon Business Survey 2019
2018,GDP attributable to tourism,Real estate and rental leasing,10.7,Yukon Business Survey 2019
2018,GDP attributable to tourism,"Arts, entertainment and recreation",5.0,Yukon Business Survey 2019
2018,GDP attributable to tourism,All other industries,24.2,Yukon Business Survey 2019
2016,Gross revenues attributable to tourism,Total,262.9,Yukon Business Survey 2017
2016,Gross revenues attributable to tourism,Retail trade,90.0,Yukon Business Survey 2017
2016,Gross revenues attributable to tourism,Accommodation and food services,69.8,Yukon Business Survey 2017
2016,Gross revenues attributable to tourism,Transportation and warehousing,37.5,Yukon Business Survey 2017
2016,Gross revenues attributable to tourism,Real estate and rental leasing,10.5,Yukon Business Survey 2017
2016,Gross revenues attributable to tourism,Finance and insurance,10.1,Yukon Business Survey 2017
