year,sector,percent_of_gdp,reference
2022,Tourism,4.400000095367432,Yukon Business Survey 2023
2022,Mining,14.199999809265137,Yukon Business Survey 2023
2022,Construction,10.600000381469727,Yukon Business Survey 2023
2020,Tourism,2.200000047683716,Yukon Business Survey 2021
2020,Construction,9.699999809265137,Yukon Business Survey 2021
2020,Mining,12.199999809265137,Yukon Business Survey 2021
2018,Tourism,5.0,Yukon Business Survey 2019
2018,Construction,12.899999618530273,Yukon Business Survey 2019
2018,Mining,10.600000381469727,Yukon Business Survey 2019
2016,Tourism,4.400000095367432,Yukon Business Survey 2017
2016,Construction,7.5,Yukon Business Survey 2017
2016,Mining,12.899999618530273,Yukon Business Survey 2017
2014,Tourism,3.9000000953674316,Yukon Business Survey 2015
2014,Construction,8.0,Yukon Business Survey 2015
2014,Mining,12.300000190734863,Yukon Business Survey 2015
2012,Tourism,4.300000190734863,Yukon Business Survey 2013
2012,Construction,7.0,Yukon Business Survey 2013
2012,Mining,18.799999237060547,Yukon Business Survey 2013
2009,Tourism,4.599999904632568,Yukon Business Survey 2010
2008,Tourism,7.199999809265137,Yukon Business Survey 2009
